slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y,difficulty
find-if-digit-game-can-be-won,100.0,Accepted,897.0,897.0,44.455,SUCCESS,34.5023,Accepted,True,Easy,Easy,Easy
using-a-robot-to-print-the-lexicographically-smallest-string,25.2329,Accepted,,,7.93,,71.99,Accepted,True,Medium,Medium,Medium
maximize-number-of-nice-divisors,6.5789,Accepted,213.0,213.0,31.1111,SUCCESS,41.1111,Accepted,True,Hard,Hard,Hard
maximum-number-of-moves-in-a-grid,22.2815,Accepted,814.0,814.0,17.5108,SUCCESS,67.7044,Accepted,True,Medium,Medium,Medium
count-of-matches-in-tournament,93.0781,Accepted,200.0,200.0,89.6698,SUCCESS,29.5512,Accepted,True,Easy,Easy,Easy
minimum-operations-to-exceed-threshold-value-ii,10.478,Accepted,676.0,676.0,5.1952,SUCCESS,8.7664,Accepted,True,Medium,Medium,Medium
total-cost-to-hire-k-workers,23.5575,Accepted,,,14.1,,19.64,Accepted,True,Medium,Medium,Medium
remove-methods-from-project,10.8823,Accepted,775.0,775.0,15.5719,SUCCESS,19.6718,Accepted,True,Medium,Medium,Medium
divide-nodes-into-the-maximum-number-of-groups,23.7761,Accepted,57.0,57.0,20.1378,SUCCESS,66.9967,Accepted,True,Hard,Hard,Hard
sum-of-all-subset-xor-totals,100.0,Accepted,48.0,48.0,13.3008,SUCCESS,42.6807,Accepted,True,Easy,Easy,Easy
reverse-odd-levels-of-binary-tree,33.761,Accepted,57.0,57.0,86.8746,SUCCESS,55.0451,Accepted,True,Medium,Medium,Medium
count-pairs-whose-sum-is-less-than-target,100.0,Accepted,707.0,707.0,29.4609,SUCCESS,56.4174,Accepted,True,Easy,Easy,Easy
apple-redistribution-into-boxes,100.0,Accepted,565.0,565.0,100.0,SUCCESS,84.5606,Accepted,True,Easy,Easy,Easy
construct-the-minimum-bitwise-array-i,,Wrong Answer,658.0,658.0,30.8748,SUCCESS,73.6111,Accepted,True,Easy,Easy,Easy
maximize-amount-after-two-days-of-conversions,21.1696,Accepted,767.0,767.0,30.5033,SUCCESS,44.6541,Accepted,True,Medium,Medium,Medium
find-closest-number-to-zero,86.5683,Accepted,227.0,227.0,22.7052,SUCCESS,45.898,Accepted,True,Easy,Easy,Easy
minimum-number-of-operations-to-make-elements-in-array-distinct,50.8975,Accepted,781.0,781.0,64.8102,SUCCESS,8.2146,Accepted,True,Easy,Easy,Easy
count-complete-subarrays-in-an-array,5.0295,Accepted,1074.0,1074.0,13.1254,SUCCESS,75.4486,Accepted,True,Medium,Medium,Medium
minimum-number-of-operations-to-make-array-empty,28.7833,Accepted,748.0,748.0,31.549,SUCCESS,31.5492,Accepted,True,Medium,Medium,Medium
minimum-number-of-seconds-to-make-mountain-height-zero,80.2716,Accepted,571.0,571.0,13.4305,SUCCESS,84.3284,Accepted,True,Medium,Medium,Medium
closest-nodes-queries-in-a-binary-search-tree,35.3062,Accepted,35.0,35.0,15.177,SUCCESS,85.095,Accepted,True,Medium,Medium,Medium
maximum-and-sum-of-array,14.4253,Accepted,84.0,84.0,9.091,SUCCESS,84.4156,Accepted,True,Hard,Hard,Hard
number-of-black-blocks,20.4967,Accepted,2145.0,2145.0,13.9204,SUCCESS,66.1555,Accepted,True,Medium,Medium,Medium
count-increasing-quadruplets,25.5306,Accepted,121.0,121.0,14.2864,SUCCESS,5.3575,Accepted,True,Hard,Hard,Hard
concatenation-of-array,17.8806,Accepted,92.0,92.0,22.2698,SUCCESS,69.8905,Accepted,True,Easy,Easy,Easy
most-popular-video-creator,68.4208,Accepted,86.0,86.0,15.1774,SUCCESS,23.2135,Accepted,True,Medium,Medium,Medium
count-subtrees-with-max-distance-between-cities,42.2517,Accepted,31.0,31.0,31.2473,SUCCESS,85.7142,Accepted,True,Hard,Hard,Hard
two-furthest-houses-with-different-colors,100.0,Accepted,126.0,126.0,32.7749,SUCCESS,57.1728,Accepted,True,Easy,Easy,Easy
sum-of-total-strength-of-wizards,21.8762,Accepted,82.0,82.0,31.6374,SUCCESS,79.6612,Accepted,True,Hard,Hard,Hard
shortest-and-lexicographically-smallest-beautiful-string,100.0,Accepted,674.0,674.0,9.3749,SUCCESS,89.7321,Accepted,True,Medium,Medium,Medium
count-the-number-of-good-nodes,19.6852,Accepted,621.0,621.0,16.2297,SUCCESS,93.506,Accepted,True,Medium,Medium,Medium
determine-if-a-cell-is-reachable-at-a-given-time,65.0487,Accepted,806.0,806.0,64.4473,SUCCESS,13.8775,Accepted,True,Medium,Medium,Medium
maximum-length-substring-with-two-occurrences,14.2858,Accepted,709.0,709.0,19.8541,SUCCESS,36.6424,Accepted,True,Easy,Easy,Easy
find-the-integer-added-to-array-ii,84.3539,Accepted,560.0,560.0,14.6516,SUCCESS,8.9172,Accepted,True,Medium,Medium,Medium
check-if-the-sentence-is-pangram,16.0896,Accepted,79.0,79.0,100.0,SUCCESS,96.5322,Accepted,True,Easy,Easy,Easy
total-characters-in-string-after-transformations-i,,Wrong Answer,824.0,824.0,7.3836,SUCCESS,44.3115,Accepted,True,Medium,Medium,Medium
make-array-elements-equal-to-zero,,Wrong Answer,584.0,584.0,17.2668,SUCCESS,10.4317,Accepted,True,Easy,Easy,Easy
shift-distance-between-two-strings,,Wrong Answer,741.0,741.0,18.7078,SUCCESS,66.9065,Accepted,True,Medium,Medium,Medium
count-ways-to-group-overlapping-ranges,19.3938,Accepted,32.0,32.0,30.058,SUCCESS,10.9827,Accepted,True,Medium,Medium,Medium
check-if-two-chessboard-squares-have-the-same-color,23.1144,Accepted,506.0,506.0,69.144,SUCCESS,84.9002,Accepted,True,Easy,Easy,Easy
maximum-possible-number-by-binary-concatenation,33.3333,Accepted,752.0,752.0,50.4425,SUCCESS,14.1592,Accepted,True,Medium,Medium,Medium
make-k-subarray-sums-equal,,Runtime Error,1040.0,1040.0,11.1117,SUCCESS,88.889,Accepted,True,Medium,Medium,Medium
longest-strictly-increasing-or-strictly-decreasing-subarray,20.2815,Accepted,868.0,868.0,12.5532,SUCCESS,85.1065,Accepted,True,Easy,Easy,Easy
second-largest-digit-in-a-string,79.936,Accepted,301.0,301.0,100.0,SUCCESS,54.0541,Accepted,True,Easy,Easy,Easy
counting-words-with-a-given-prefix,100.0,Accepted,95.0,95.0,100.0,SUCCESS,44.4235,Accepted,True,Easy,Easy,Easy
minimum-impossible-or,57.7237,Accepted,73.0,73.0,98.374,SUCCESS,12.1953,Accepted,True,Medium,Medium,Medium
distribute-elements-into-two-arrays-i,100.0,Accepted,622.0,622.0,100.0,SUCCESS,49.6184,Accepted,True,Easy,Easy,Easy
design-memory-allocator,23.9299,Accepted,109.0,109.0,23.2312,SUCCESS,29.4051,Accepted,True,Medium,Medium,Medium
movement-of-robots,29.2032,Accepted,2567.0,2567.0,28.9161,SUCCESS,5.2209,Accepted,True,Medium,Medium,Medium
count-the-number-of-complete-components,30.012,Accepted,3356.0,3356.0,7.2452,SUCCESS,61.2106,Accepted,True,Medium,Medium,Medium
count-k-subsequences-of-a-string-with-maximum-beauty,20.7545,Accepted,611.0,611.0,47.1696,SUCCESS,83.0188,Accepted,True,Hard,Hard,Hard
find-the-losers-of-the-circular-game,74.4565,Accepted,1277.0,1277.0,79.0,SUCCESS,48.0,Accepted,True,Easy,Easy,Easy
maximize-greatness-of-an-array,46.8217,Accepted,1072.0,1072.0,33.2884,SUCCESS,54.8994,Accepted,True,Medium,Medium,Medium
maximum-element-sum-of-a-complete-subset-of-indices,46.8076,Accepted,663.0,663.0,10.0,SUCCESS,62.5,Accepted,True,Hard,Hard,Hard
recover-the-original-array,,Wrong Answer,110.0,110.0,23.8622,SUCCESS,52.2726,Accepted,True,Hard,Hard,Hard
substring-xor-queries,66.6667,Accepted,59.0,59.0,13.7248,SUCCESS,45.0976,Accepted,True,Medium,Medium,Medium
maximum-strength-of-k-disjoint-subarrays,37.7356,Accepted,802.0,802.0,22.3898,SUCCESS,22.3887,Accepted,True,Hard,Hard,Hard
sum-of-prefix-scores-of-strings,97.1888,Accepted,38.0,38.0,25.3375,SUCCESS,10.4066,Accepted,True,Hard,Hard,Hard
maximal-score-after-applying-k-operations,83.1169,Accepted,40.0,40.0,15.751,SUCCESS,29.6704,Accepted,True,Medium,Medium,Medium
minimum-moves-to-convert-string,100.0,Accepted,55.0,55.0,100.0,SUCCESS,52.6957,Accepted,True,Easy,Easy,Easy
minimize-the-total-price-of-the-trips,86.2068,Accepted,407.0,407.0,18.8397,SUCCESS,39.1304,Accepted,True,Hard,Hard,Hard
find-the-longest-semi-repetitive-substring,5.1206,Accepted,12264.0,12264.0,10.1638,SUCCESS,36.3934,Accepted,True,Medium,Medium,Medium
furthest-point-from-origin,5.7878,Accepted,1252.0,1252.0,100.0,SUCCESS,57.3426,Accepted,True,Easy,Easy,Easy
partition-array-into-two-arrays-to-minimize-sum-difference,23.1331,Accepted,201.0,201.0,20.8311,SUCCESS,56.9794,Accepted,True,Hard,Hard,Hard
count-tested-devices-after-test-operations,100.0,Accepted,520.0,520.0,21.4072,SUCCESS,86.217,Accepted,True,Easy,Easy,Easy
maximum-strictly-increasing-cells-in-a-matrix,87.5,Accepted,566.0,566.0,31.0792,SUCCESS,43.2425,Accepted,True,Hard,Hard,Hard
minimum-penalty-for-a-shop,76.3443,Accepted,42.0,42.0,30.2923,SUCCESS,12.0389,Accepted,True,Medium,Medium,Medium
check-if-all-characters-have-equal-number-of-occurrences,70.1406,Accepted,134.0,134.0,100.0,SUCCESS,25.7561,Accepted,True,Easy,Easy,Easy
count-subarrays-of-length-three-with-a-condition,94.186,Accepted,1691.0,1691.0,37.081,SUCCESS,93.2328,Accepted,True,Easy,Easy,Easy
longest-even-odd-subarray-with-threshold,84.6155,Accepted,6873.0,6873.0,22.8715,SUCCESS,95.1339,Accepted,True,Easy,Easy,Easy
count-integers-with-even-digit-sum,100.0,Accepted,71.0,71.0,27.77,SUCCESS,89.2005,Accepted,True,Easy,Easy,Easy
minimum-score-by-changing-two-elements,55.4347,Accepted,70.0,70.0,90.5882,SUCCESS,25.8822,Accepted,True,Medium,Medium,Medium
booking-concert-tickets-in-groups,50.9432,Accepted,97.0,97.0,49.9996,SUCCESS,67.4417,Accepted,True,Hard,Hard,Hard
count-items-matching-a-rule,5.37,Accepted,92.0,92.0,100.0,SUCCESS,53.056,Accepted,True,Easy,Easy,Easy
create-sorted-array-through-instructions,20.1385,Accepted,65.0,65.0,27.5726,SUCCESS,61.6217,Accepted,True,Hard,Hard,Hard
check-if-an-original-string-exists-given-two-encoded-strings,52.2374,Accepted,215.0,215.0,35.2517,SUCCESS,65.4231,Accepted,True,Hard,Hard,Hard
second-minimum-time-to-reach-destination,30.5955,Accepted,77.0,77.0,32.9211,SUCCESS,43.4782,Accepted,True,Hard,Hard,Hard
count-substrings-starting-and-ending-with-given-character,49.4184,Accepted,669.0,669.0,100.0,SUCCESS,62.3457,Accepted,True,Medium,Medium,Medium
count-days-without-meetings,57.9029,Accepted,578.0,578.0,35.78,SUCCESS,26.551,Accepted,True,Medium,Medium,Medium
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,92.0865,Accepted,31.0,31.0,33.3315,SUCCESS,71.2118,Accepted,True,Hard,Hard,Hard
minimum-time-to-remove-all-cars-containing-illegal-goods,20.3684,Accepted,89.0,89.0,35.1352,SUCCESS,21.6217,Accepted,True,Hard,Hard,Hard
count-symmetric-integers,80.1422,Accepted,1967.0,1967.0,32.5729,SUCCESS,49.6624,Accepted,True,Easy,Easy,Easy
find-the-original-typed-string-i,71.5576,Accepted,780.0,780.0,11.1446,SUCCESS,6.9277,Accepted,True,Easy,Easy,Easy
count-beautiful-substrings-i,39.8455,Accepted,619.0,619.0,62.6075,SUCCESS,99.1304,Accepted,True,Medium,Medium,Medium
odd-string-difference,100.0,Accepted,,,100.0,,69.52,Accepted,True,Easy,Easy,Easy
count-pairs-of-similar-strings,83.7885,Accepted,225.0,225.0,32.5692,SUCCESS,27.6759,Accepted,True,Easy,Easy,Easy
minimum-number-of-removals-to-make-mountain-array,95.7806,Accepted,91.0,91.0,39.9028,SUCCESS,80.7692,Accepted,True,Hard,Hard,Hard
divisible-and-non-divisible-sums-difference,100.0,Accepted,737.0,737.0,100.0,SUCCESS,98.7063,Accepted,True,Easy,Easy,Easy
find-the-longest-balanced-substring-of-a-binary-string,35.3294,Accepted,1848.0,1848.0,37.1727,SUCCESS,31.9371,Accepted,True,Easy,Easy,Easy
minimum-index-of-a-valid-split,35.9449,Accepted,917.0,917.0,33.1755,SUCCESS,46.9682,Accepted,True,Medium,Medium,Medium
find-the-key-of-the-numbers,100.0,Accepted,757.0,757.0,100.0,SUCCESS,38.0053,Accepted,True,Easy,Easy,Easy
difference-between-element-sum-and-digit-sum-of-an-array,91.0527,Accepted,142.0,142.0,31.8396,SUCCESS,72.0822,Accepted,True,Easy,Easy,Easy
count-special-quadruplets,77.3607,Accepted,211.0,211.0,49.2186,SUCCESS,57.7244,Accepted,True,Easy,Easy,Easy
count-square-sum-triples,88.9555,Accepted,91.0,91.0,28.7265,SUCCESS,81.3285,Accepted,True,Easy,Easy,Easy
total-distance-traveled,45.283,Accepted,10000.0,10000.0,30.6929,SUCCESS,64.6864,Accepted,True,Easy,Easy,Easy
transformed-array,7.3717,Accepted,695.0,695.0,41.4635,SUCCESS,29.8103,Accepted,True,Easy,Easy,Easy
maximum-employees-to-be-invited-to-a-meeting,38.0323,Accepted,99.0,99.0,45.2166,SUCCESS,21.3033,Accepted,True,Hard,Hard,Hard
sum-of-scores-of-built-strings,35.2936,Accepted,150.0,150.0,76.6234,SUCCESS,93.5065,Accepted,True,Hard,Hard,Hard
find-words-containing-character,14.993,Accepted,912.0,912.0,100.0,SUCCESS,90.8227,Accepted,True,Easy,Easy,Easy
last-day-where-you-can-still-cross,29.4425,Accepted,118.0,118.0,33.25,SUCCESS,66.75,Accepted,True,Hard,Hard,Hard
time-needed-to-buy-tickets,56.5537,Accepted,65.0,65.0,52.3086,SUCCESS,36.5127,Accepted,True,Easy,Easy,Easy
maximum-value-of-an-ordered-triplet-i,64.5163,Accepted,564.0,564.0,35.7936,SUCCESS,14.9158,Accepted,True,Easy,Easy,Easy
minimum-time-to-complete-all-tasks,70.7302,Accepted,1059.0,1059.0,42.633,SUCCESS,54.2105,Accepted,True,Hard,Hard,Hard
maximum-units-on-a-truck,79.4883,Accepted,77.0,77.0,92.0565,SUCCESS,96.4696,Accepted,True,Easy,Easy,Easy
divide-intervals-into-minimum-number-of-groups,34.4278,Accepted,,,61.49,,92.24,Accepted,True,Medium,Medium,Medium
match-substring-after-replacement,24.7188,Accepted,116.0,116.0,37.0784,SUCCESS,41.573,Accepted,True,Hard,Hard,Hard
minimum-operations-to-make-the-array-k-increasing,37.3339,Accepted,90.0,90.0,57.9704,SUCCESS,20.2895,Accepted,True,Hard,Hard,Hard
average-value-of-even-numbers-that-are-divisible-by-three,43.2171,Accepted,181.0,181.0,33.5272,SUCCESS,27.7132,Accepted,True,Easy,Easy,Easy
count-pairs-that-form-a-complete-day-ii,46.2582,Accepted,714.0,714.0,37.4183,SUCCESS,6.4514,Accepted,True,Medium,Medium,Medium
length-of-the-longest-valid-substring,54.8785,Accepted,763.0,763.0,66.5473,SUCCESS,74.733,Accepted,True,Hard,Hard,Hard
the-number-of-beautiful-subsets,44.2631,Accepted,1308.0,1308.0,45.3423,SUCCESS,51.447,Accepted,True,Medium,Medium,Medium
defuse-the-bomb,100.0,Accepted,74.0,74.0,42.4908,SUCCESS,53.4799,Accepted,True,Easy,Easy,Easy
count-subarrays-with-score-less-than-k,81.3282,Accepted,167.0,167.0,54.8388,SUCCESS,89.2298,Accepted,True,Hard,Hard,Hard
merge-similar-items,78.0357,Accepted,49.0,49.0,100.0,SUCCESS,80.7228,Accepted,True,Easy,Easy,Easy
distribute-repeating-integers,46.0522,Accepted,109.0,109.0,42.2519,SUCCESS,76.0562,Accepted,True,Hard,Hard,Hard
number-of-changing-keys,100.0,Accepted,802.0,802.0,100.0,SUCCESS,34.357,Accepted,True,Easy,Easy,Easy
semi-ordered-permutation,100.0,Accepted,1977.0,1977.0,100.0,SUCCESS,30.7693,Accepted,True,Easy,Easy,Easy
substrings-of-size-three-with-distinct-characters,54.4599,Accepted,160.0,160.0,100.0,SUCCESS,96.3792,Accepted,True,Easy,Easy,Easy
stone-game-viii,42.0283,Accepted,78.0,78.0,47.7277,SUCCESS,93.1819,Accepted,True,Hard,Hard,Hard
maximum-number-of-darts-inside-of-a-circular-dartboard,52.0544,Accepted,65.0,65.0,34.0899,SUCCESS,79.5454,Accepted,True,Hard,Hard,Hard
maximum-height-of-a-triangle,70.8331,Accepted,857.0,857.0,98.4536,SUCCESS,82.4742,Accepted,True,Easy,Easy,Easy
minimum-number-of-operations-to-sort-a-binary-tree-by-level,27.7776,Accepted,146.0,146.0,50.5088,SUCCESS,16.0894,Accepted,True,Medium,Medium,Medium
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,49.9991,Accepted,932.0,932.0,43.1368,SUCCESS,9.8039,Accepted,True,Medium,Medium,Medium
maximum-sum-of-distinct-subarrays-with-length-k,20.9962,Accepted,93.0,93.0,35.0124,SUCCESS,63.1607,Accepted,True,Medium,Medium,Medium
count-of-substrings-containing-every-vowel-and-k-consonants-i,42.105,Accepted,815.0,815.0,45.0004,SUCCESS,74.9999,Accepted,True,Medium,Medium,Medium
difference-between-ones-and-zeros-in-row-and-column,80.7188,Accepted,85.0,85.0,33.4737,SUCCESS,68.6197,Accepted,True,Medium,Medium,Medium
split-strings-by-separator,7.4554,Accepted,1036.0,1036.0,64.2978,SUCCESS,40.1016,Accepted,True,Easy,Easy,Easy
find-the-sum-of-the-power-of-all-subsequences,42.6964,Accepted,,,56.41,,58.97,Accepted,True,Hard,Hard,Hard
find-the-number-of-winning-players,94.7369,Accepted,839.0,839.0,37.4046,SUCCESS,72.1375,Accepted,True,Easy,Easy,Easy
design-an-ordered-stream,88.785,Accepted,101.0,101.0,6.0775,SUCCESS,26.1511,Accepted,True,Easy,Easy,Easy
choose-k-elements-with-maximum-sum,,Runtime Error,635.0,635.0,64.825,SUCCESS,79.3971,Accepted,True,Medium,Medium,Medium
most-frequent-prime,85.5071,Accepted,974.0,974.0,30.8265,SUCCESS,66.9173,Accepted,True,Medium,Medium,Medium
longest-subarray-with-maximum-bitwise-and,88.5059,Accepted,52.0,52.0,65.625,SUCCESS,34.375,Accepted,True,Medium,Medium,Medium
minimum-space-wasted-from-packaging,31.9154,Accepted,42.0,42.0,48.052,SUCCESS,11.6884,Accepted,True,Hard,Hard,Hard
maximize-happiness-of-selected-children,33.8017,Accepted,,,74.88,,93.6,Accepted,True,Medium,Medium,Medium
count-palindromic-subsequences,70.7864,Accepted,63.0,63.0,36.4987,SUCCESS,18.4922,Accepted,True,Hard,Hard,Hard
count-the-number-of-good-subarrays,49.5112,Accepted,41.0,41.0,70.7684,SUCCESS,93.786,Accepted,True,Medium,Medium,Medium
minimum-equal-sum-of-two-arrays-after-replacing-zeros,64.4284,Accepted,,,10.24,,42.45,Accepted,True,Medium,Medium,Medium
sum-of-imbalance-numbers-of-all-subarrays,55.2629,Accepted,1303.0,1303.0,67.5676,SUCCESS,18.919,Accepted,True,Hard,Hard,Hard
maximum-building-height,39.0249,Accepted,50.0,50.0,82.2224,SUCCESS,91.1111,Accepted,True,Hard,Hard,Hard
find-the-length-of-the-longest-common-prefix,53.6702,Accepted,718.0,718.0,39.8676,SUCCESS,56.1186,Accepted,True,Medium,Medium,Medium
find-all-k-distant-indices-in-an-array,84.0546,Accepted,87.0,87.0,42.9271,SUCCESS,27.317,Accepted,True,Easy,Easy,Easy
visit-array-positions-to-maximize-score,59.0898,Accepted,744.0,744.0,53.7983,SUCCESS,98.1013,Accepted,True,Medium,Medium,Medium
number-of-ways-to-earn-points,60.1058,Accepted,63.0,63.0,40.9648,SUCCESS,97.5904,Accepted,True,Hard,Hard,Hard
longest-alternating-subarray,83.1169,Accepted,2880.0,2880.0,25.2741,SUCCESS,76.3736,Accepted,True,Easy,Easy,Easy
find-xor-beauty-of-array,61.2245,Accepted,32.0,32.0,65.4618,SUCCESS,59.0362,Accepted,True,Medium,Medium,Medium
find-the-pivot-integer,100.0,Accepted,428.0,428.0,55.9171,SUCCESS,39.7435,Accepted,True,Easy,Easy,Easy
sliding-subarray-beauty,92.6071,Accepted,717.0,717.0,39.2565,SUCCESS,97.7779,Accepted,True,Medium,Medium,Medium
insert-greatest-common-divisors-in-linked-list,83.9808,Accepted,582.0,582.0,36.5944,SUCCESS,95.2941,Accepted,True,Medium,Medium,Medium
minimum-seconds-to-equalize-a-circular-array,86.842,Accepted,579.0,579.0,35.3835,SUCCESS,58.4616,Accepted,True,Medium,Medium,Medium
the-score-of-students-solving-math-expression,23.5288,Accepted,274.0,274.0,31.708,SUCCESS,78.0488,Accepted,True,Hard,Hard,Hard
maximum-score-of-a-good-subarray,90.5674,Accepted,73.0,73.0,56.5963,SUCCESS,47.5072,Accepted,True,Hard,Hard,Hard
minimum-operations-to-make-the-integer-zero,100.0,Accepted,542.0,542.0,38.3333,SUCCESS,3.3333,Accepted,True,Medium,Medium,Medium
maximum-palindromes-after-operations,54.9291,Accepted,507.0,507.0,38.0432,SUCCESS,65.2174,Accepted,True,Medium,Medium,Medium
maximum-tastiness-of-candy-basket,43.3213,Accepted,40.0,40.0,47.7342,SUCCESS,78.3919,Accepted,True,Medium,Medium,Medium
the-two-sneaky-numbers-of-digitville,100.0,Accepted,706.0,706.0,24.9852,SUCCESS,99.1202,Accepted,True,Easy,Easy,Easy
find-the-maximum-number-of-marked-indices,,Wrong Answer,68.0,68.0,46.7067,SUCCESS,32.3354,Accepted,True,Medium,Medium,Medium
count-equal-and-divisible-pairs-in-an-array,96.6148,Accepted,238.0,238.0,64.5307,SUCCESS,31.9371,Accepted,True,Easy,Easy,Easy
high-access-employees,61.0666,Accepted,1143.0,1143.0,46.3942,SUCCESS,21.6345,Accepted,True,Medium,Medium,Medium
find-the-largest-area-of-square-inside-two-rectangles,67.1875,Accepted,,,38.39,,44.64,Accepted,True,Medium,Medium,Medium
minimum-number-of-operations-to-make-x-and-y-equal,34.2386,Accepted,948.0,948.0,25.3969,SUCCESS,59.7884,Accepted,True,Medium,Medium,Medium
count-the-number-of-ideal-arrays,,Runtime Error,47.0,47.0,47.0484,SUCCESS,18.2068,Accepted,True,Hard,Hard,Hard
find-missing-and-repeated-values,68.2905,Accepted,584.0,584.0,92.8924,SUCCESS,85.6615,Accepted,True,Easy,Easy,Easy
meeting-rooms-iii,77.7605,Accepted,81.0,81.0,75.4642,SUCCESS,67.6809,Accepted,True,Hard,Hard,Hard
find-the-substring-with-maximum-cost,70.8995,Accepted,1054.0,1054.0,59.6342,SUCCESS,86.6973,Accepted,True,Medium,Medium,Medium
cycle-length-queries-in-a-tree,83.9512,Accepted,27.0,27.0,39.3049,SUCCESS,43.2837,Accepted,True,Hard,Hard,Hard
find-the-punishment-number-of-an-integer,12.677,Accepted,216.0,216.0,46.9596,SUCCESS,72.694,Accepted,True,Medium,Medium,Medium
subarray-with-elements-greater-than-varying-threshold,46.8363,Accepted,68.0,68.0,48.2131,SUCCESS,69.6427,Accepted,True,Hard,Hard,Hard
find-score-of-an-array-after-marking-all-elements,63.9313,Accepted,1044.0,1044.0,37.7982,SUCCESS,72.7426,Accepted,True,Medium,Medium,Medium
permutation-difference-between-two-strings,100.0,Accepted,823.0,823.0,60.076,SUCCESS,51.0774,Accepted,True,Easy,Easy,Easy
make-lexicographically-smallest-array-by-swapping-elements,60.5389,Accepted,523.0,523.0,66.8378,SUCCESS,98.7145,Accepted,True,Medium,Medium,Medium
minimum-moves-to-spread-stones-over-grid,37.5816,Accepted,,,45.04,,55.86,Accepted,True,Medium,Medium,Medium
