slug,runtime_percentile_analysis,result_analysis,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed,difficulty,runtime_percentile,status_msg,Accepted
form-smallest-number-from-two-digit-arrays,100,Accepted,388,388,100,SUCCESS,51.0715,Accepted,TRUE,Easy,11.1112,11.1112,Accepted
make-k-subarray-sums-equal,,Runtime Error,1040,1040,14.2858,SUCCESS,90.1099,Accepted,TRUE,Medium,11.1117,88.889,Accepted
find-the-original-typed-string-i,71.5576,Accepted,780,780,11.2851,SUCCESS,68.6519,Accepted,TRUE,Easy,11.1446,6.9277,Accepted
maximum-running-time-of-n-computers,5.9544,Accepted,52,52,71.9431,SUCCESS,53.9569,Accepted,TRUE,Hard,11.1889,54.5455,Accepted
find-minimum-diameter-after-merging-two-trees,5.1817,Accepted,723,723,6.8019,SUCCESS,37.8658,Accepted,TRUE,Hard,11.5816,40.5163,Accepted
prime-subtraction-operation,83.6363,Accepted,654,654,67.8379,SUCCESS,84.3244,Accepted,TRUE,Medium,11.7977,21.8288,Accepted
longest-strictly-increasing-or-strictly-decreasing-subarray,20.2815,Accepted,868,868,20.9929,SUCCESS,97.4469,Accepted,TRUE,Easy,12.5532,85.1065,Accepted
count-complete-subarrays-in-an-array,5.0295,Accepted,1074,1074,69.9767,SUCCESS,7.833,Accepted,TRUE,Medium,13.1254,75.4486,Accepted
sum-of-all-subset-xor-totals,100,Accepted,48,48,100,SUCCESS,21.8036,Accepted,TRUE,Easy,13.3008,42.6807,Accepted
minimum-number-of-seconds-to-make-mountain-height-zero,80.2716,Accepted,571,571,87.2177,SUCCESS,82.7067,Accepted,TRUE,Medium,13.4305,84.3284,Accepted
substring-xor-queries,66.6667,Accepted,59,59,73.4696,SUCCESS,69.3879,Accepted,TRUE,Medium,13.7248,45.0976,Accepted
range-product-queries-of-powers,5.55,Accepted,70,70,9.5874,SUCCESS,34.2464,Accepted,TRUE,Medium,13.8882,84.7221,Accepted
number-of-black-blocks,20.4967,Accepted,2145,2145,9.6121,SUCCESS,20.704,Accepted,TRUE,Medium,13.9204,66.1555,Accepted
total-cost-to-hire-k-workers,23.5575,Accepted,163,163,17.7103,SUCCESS,18.0706,Accepted,TRUE,Medium,14.1,19.64,Accepted
count-increasing-quadruplets,25.5306,Accepted,121,121,18.5164,SUCCESS,9.2584,Accepted,TRUE,Hard,14.2864,5.3575,Accepted
divide-an-array-into-subarrays-with-minimum-cost-i,,Wrong Answer,988,988,100,SUCCESS,10.5932,Accepted,TRUE,Easy,14.52,52.28,Accepted
find-the-integer-added-to-array-ii,84.3539,Accepted,,,97.06,SUCCESS,8.09,Accepted,TRUE,Medium,14.6516,8.9172,Accepted
cat-and-mouse-ii,5.8135,Accepted,180,180,29.3108,SUCCESS,31.0347,Accepted,TRUE,Hard,15.1502,22.7266,Accepted
closest-nodes-queries-in-a-binary-search-tree,35.3062,Accepted,35,35,18.1814,SUCCESS,80.3031,Accepted,TRUE,Medium,15.177,85.095,Accepted
most-popular-video-creator,68.4208,Accepted,86,86,60.7473,SUCCESS,66.3548,Accepted,TRUE,Medium,15.1774,23.2135,Accepted
remove-methods-from-project,10.8823,Accepted,775,775,28.2052,SUCCESS,16.2394,Accepted,TRUE,Medium,15.5719,19.6718,Accepted
maximal-score-after-applying-k-operations,83.1169,Accepted,40,40,77.5251,SUCCESS,31.9221,Accepted,TRUE,Medium,15.751,29.6704,Accepted
substring-with-largest-variance,,Wrong Answer,138,138,22.8955,SUCCESS,58.8785,Accepted,TRUE,Hard,16.02,16.45,Accepted
largest-number-after-digit-swaps-by-parity,100,Accepted,238,238,100,SUCCESS,93.4599,Accepted,TRUE,Easy,16.04,70,Accepted
closest-prime-numbers-in-range,86.55,Accepted,,,90.86,SUCCESS,5.52,Accepted,TRUE,Medium,16.1327,87.1401,Accepted
count-the-number-of-good-nodes,19.6852,Accepted,621,621,5.9555,SUCCESS,17.8779,Accepted,TRUE,Medium,16.2297,93.506,Accepted
remove-letter-to-equalize-frequency,4.3974,Accepted,,,100,SUCCESS,98.07,Accepted,TRUE,Easy,16.4138,88.4138,Accepted
make-array-elements-equal-to-zero,,Wrong Answer,584,561,,SUCCESS,,Wrong Answer,TRUE,Easy,17.2668,10.4317,Accepted
maximum-number-of-moves-in-a-grid,22.2815,Accepted,814,814,21.9673,SUCCESS,92.0455,Accepted,TRUE,Medium,17.5108,67.7044,Accepted
largest-3-same-digit-number-in-string,100,Accepted,141,141,68.6709,SUCCESS,62.3418,Accepted,TRUE,Easy,18.555,41.0509,Accepted
shift-distance-between-two-strings,,Wrong Answer,741,199,,SUCCESS,,Wrong Answer,TRUE,Medium,18.7078,66.9065,Accepted
minimize-the-total-price-of-the-trips,86.2068,Accepted,407,407,19.444,SUCCESS,63.8888,Accepted,TRUE,Hard,18.8397,39.1304,Accepted
number-of-subarrays-that-match-a-pattern-i,82.2356,Accepted,,,84.97,SUCCESS,17.76,Accepted,TRUE,Medium,18.9258,64.7058,Accepted
best-position-for-a-service-centre,97.2223,Accepted,56,56,87.2835,SUCCESS,61.2717,Accepted,TRUE,Hard,18.936,100,Accepted
find-minimum-time-to-finish-all-jobs,19.7,Accepted,,,15.51,SUCCESS,77.21,Accepted,TRUE,Hard,19.58,54.21,Accepted
goal-parser-interpretation,41.89,Accepted,,,6.89,SUCCESS,89.89,Accepted,TRUE,Easy,19.7825,89.6043,Accepted
maximum-length-substring-with-two-occurrences,14.2858,Accepted,709,709,89.635,SUCCESS,55.3285,Accepted,TRUE,Easy,19.8541,36.6424,Accepted
divide-nodes-into-the-maximum-number-of-groups,23.7761,Accepted,57,57,41.2964,SUCCESS,50.1706,Accepted,TRUE,Hard,20.1378,66.9967,Accepted
faulty-keyboard,59.4988,Accepted,3005,3005,100,SUCCESS,59.675,Accepted,TRUE,Easy,20.5318,15.3618,Accepted
lexicographically-smallest-string-after-operations-with-constraint,88.57,Accepted,,,43.16,SUCCESS,89.47,Accepted,TRUE,Medium,20.83,46.88,Accepted
partition-array-into-two-arrays-to-minimize-sum-difference,23.1331,Accepted,201,201,5.1038,SUCCESS,46.5116,Accepted,TRUE,Hard,20.8311,56.9794,Accepted
alternating-groups-i,79.4378,Accepted,795,795,11.5186,SUCCESS,16.0558,Accepted,TRUE,Easy,20.9427,55.3228,Accepted
count-tested-devices-after-test-operations,100,Accepted,520,520,100,SUCCESS,62.1701,Accepted,TRUE,Easy,21.4072,86.217,Accepted
concatenation-of-array,17.8806,Accepted,92,92,100,SUCCESS,92.0439,Accepted,TRUE,Easy,22.2698,69.8905,Accepted
maximum-strength-of-k-disjoint-subarrays,37.7356,Accepted,802,802,46.0318,SUCCESS,98.4127,Accepted,TRUE,Hard,22.3898,22.3887,Accepted
find-closest-number-to-zero,86.5683,Accepted,227,227,44.79,SUCCESS,74.2631,Accepted,TRUE,Easy,22.7052,45.898,Accepted
longest-even-odd-subarray-with-threshold,84.6155,Accepted,6873,6873,96.5938,SUCCESS,8.7591,Accepted,TRUE,Easy,22.8715,95.1339,Accepted
recover-the-original-array,,Wrong Answer,110,94,,SUCCESS,,Wrong Answer,TRUE,Hard,23.8622,52.2726,Accepted
minimum-deletions-to-make-string-k-special,19.8234,Accepted,732,732,87.5,SUCCESS,44.8215,Accepted,TRUE,Medium,24.21,72.63,Accepted
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,78.8239,Accepted,691,691,81.9637,SUCCESS,75.7991,Accepted,TRUE,Medium,24.242,85.4545,Accepted
the-two-sneaky-numbers-of-digitville,100,Accepted,706,706,51.6667,SUCCESS,91.1594,Accepted,TRUE,Easy,24.9852,99.1202,Accepted
maximum-product-difference-between-two-pairs,91.1196,Accepted,96,96,54.6207,SUCCESS,59.5971,Accepted,TRUE,Easy,25.1457,60.1863,Accepted
longest-alternating-subarray,83.1169,Accepted,2880,2880,66.4834,SUCCESS,52.1978,Accepted,TRUE,Easy,25.2741,76.3736,Accepted
sum-of-prefix-scores-of-strings,97.1888,Accepted,38,38,97.1076,SUCCESS,96.2811,Accepted,TRUE,Hard,25.3375,10.4066,Accepted
minimum-number-of-operations-to-make-x-and-y-equal,34.2386,Accepted,948,948,28.2603,SUCCESS,33.6958,Accepted,TRUE,Medium,25.3969,59.7884,Accepted
min-max-game,65.3125,Accepted,96,96,78.4983,SUCCESS,40.9556,Accepted,TRUE,Easy,25.8171,40.8497,Accepted
make-three-strings-equal,27.1551,Accepted,1935,1935,100,SUCCESS,42.3208,Accepted,TRUE,Easy,25.9385,92.1502,Accepted
neighboring-bitwise-xor,28.82,Accepted,1425,1425,31.0344,SUCCESS,97.2414,Accepted,TRUE,Medium,26.1015,25.7626,Accepted
painting-a-grid-with-three-different-colors,94.4312,Accepted,84,84,94.5436,SUCCESS,55.5834,Accepted,TRUE,Hard,26.5343,82.0956,Accepted
count-vowel-substrings-of-a-string,35.9869,Accepted,88,88,55.6039,SUCCESS,97.18,Accepted,TRUE,Easy,27.0898,82.2388,Accepted
minimum-operations-to-write-the-letter-y-on-a-grid,84.77,Accepted,,,86.6,SUCCESS,89.81,Accepted,TRUE,Medium,27.35,8.92,Accepted
create-sorted-array-through-instructions,20.1385,Accepted,65,65,26.0456,SUCCESS,60.9243,Accepted,TRUE,Hard,27.5726,61.6217,Accepted
count-integers-with-even-digit-sum,100,Accepted,71,71,100,SUCCESS,19.8519,Accepted,TRUE,Easy,27.77,89.2005,Accepted
clear-digits,27.5877,Accepted,688,688,27.989,SUCCESS,46.8319,Accepted,TRUE,Easy,27.989,78.292,Accepted
count-square-sum-triples,88.9555,Accepted,91,91,93.6319,SUCCESS,34.9397,Accepted,TRUE,Easy,28.7265,81.3285,Accepted
movement-of-robots,29.2032,Accepted,2567,2567,35.6584,SUCCESS,32.1703,Accepted,TRUE,Medium,28.9161,5.2209,Accepted
longest-unequal-adjacent-groups-subsequence-ii,88.2839,Accepted,443,443,30.4066,SUCCESS,68.1255,Accepted,TRUE,Medium,29.4491,68.076,Accepted
count-pairs-whose-sum-is-less-than-target,100,Accepted,707,707,100,SUCCESS,56.4174,Accepted,TRUE,Easy,29.4609,56.4174,Accepted
count-ways-to-group-overlapping-ranges,19.3938,Accepted,32,32,39.6552,SUCCESS,15.5173,Accepted,TRUE,Medium,30.058,10.9827,Accepted
minimum-penalty-for-a-shop,76.3443,Accepted,42,42,80.7769,SUCCESS,68.7379,Accepted,TRUE,Medium,30.2923,12.0389,Accepted
maximize-amount-after-two-days-of-conversions,21.1696,Accepted,767,767,17.143,SUCCESS,44.4444,Accepted,TRUE,Medium,30.5033,44.6541,Accepted
total-distance-traveled,45.283,Accepted,10000,10000,36.3035,SUCCESS,64.6864,Accepted,TRUE,Easy,30.6929,64.6864,Accepted
most-frequent-prime,85.5071,Accepted,,,68.18,SUCCESS,43.18,Accepted,TRUE,Medium,30.8265,66.9173,Accepted
construct-the-minimum-bitwise-array-i,,Wrong Answer,658,11,,SUCCESS,,Wrong Answer,TRUE,Easy,30.8748,73.6111,Accepted
maximum-strictly-increasing-cells-in-a-matrix,87.5,Accepted,566,566,100,SUCCESS,59.722,Accepted,TRUE,Hard,31.0792,43.2425,Accepted
maximize-number-of-nice-divisors,6.5789,Accepted,213,213,96.7135,SUCCESS,98.5915,Accepted,TRUE,Hard,31.1111,41.1111,Accepted
count-subtrees-with-max-distance-between-cities,42.2517,Accepted,31,31,63.3914,SUCCESS,85.7142,Accepted,TRUE,Hard,31.2473,85.7142,Accepted
minimum-number-of-operations-to-make-array-empty,28.7833,Accepted,748,748,16.4976,SUCCESS,98.8579,Accepted,TRUE,Medium,31.549,31.5492,Accepted
sum-of-total-strength-of-wizards,21.8762,Accepted,82,82,27.5878,SUCCESS,78.736,Accepted,TRUE,Hard,31.6374,79.6612,Accepted
the-score-of-students-solving-math-expression,23.5288,Accepted,274,274,40.0006,SUCCESS,66.6667,Accepted,TRUE,Hard,31.708,78.0488,Accepted
difference-between-element-sum-and-digit-sum-of-an-array,91.0527,Accepted,142,142,60.2478,SUCCESS,8.2937,Accepted,TRUE,Easy,31.8396,72.0822,Accepted
make-number-of-distinct-characters-equal,,Wrong Answer,99,97,,SUCCESS,,Wrong Answer,TRUE,Medium,32.5306,59.0361,Accepted
count-pairs-of-similar-strings,83.7885,Accepted,225,225,98.4616,SUCCESS,9.0769,Accepted,TRUE,Easy,32.5692,27.6759,Accepted
count-symmetric-integers,80.1422,Accepted,1967,1967,71.643,SUCCESS,11.1608,Accepted,TRUE,Easy,32.5729,49.6624,Accepted
two-furthest-houses-with-different-colors,100,Accepted,126,126,100,SUCCESS,85.5026,Accepted,TRUE,Easy,32.7749,57.1728,Accepted
second-minimum-time-to-reach-destination,30.5955,Accepted,77,77,33.1059,SUCCESS,54.7298,Accepted,TRUE,Hard,32.9211,43.4782,Accepted
minimum-index-of-a-valid-split,35.9449,Accepted,917,917,65.0814,SUCCESS,92.915,Accepted,TRUE,Medium,33.1755,46.9682,Accepted
last-day-where-you-can-still-cross,29.4425,Accepted,118,118,44.0027,SUCCESS,55.4286,Accepted,TRUE,Hard,33.25,66.75,Accepted
maximize-greatness-of-an-array,46.8217,Accepted,1072,1072,68.1215,SUCCESS,32.1427,Accepted,TRUE,Medium,33.2884,54.8994,Accepted
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,92.0865,Accepted,31,31,87.1427,SUCCESS,87.143,Accepted,TRUE,Hard,33.3315,71.2118,Accepted
difference-between-ones-and-zeros-in-row-and-column,80.7188,Accepted,85,85,85.0876,SUCCESS,73.2454,Accepted,TRUE,Medium,33.4737,68.6197,Accepted
average-value-of-even-numbers-that-are-divisible-by-three,43.2171,Accepted,181,181,100,SUCCESS,78.53,Accepted,TRUE,Easy,33.5272,27.7132,Accepted
minimum-deletions-to-make-array-divisible,,Wrong Answer,49,49,25.4548,SUCCESS,7.4748,Accepted,TRUE,Hard,34.0785,80.4469,Accepted
maximum-number-of-darts-inside-of-a-circular-dartboard,52.0544,Accepted,65,65,5.7481,SUCCESS,90.8046,Accepted,TRUE,Hard,34.0899,79.5454,Accepted
difference-of-number-of-distinct-values-on-diagonals,40.19,Accepted,709,709,43.8351,SUCCESS,5.4795,Accepted,TRUE,Medium,34.375,70.3125,Accepted
maximum-sum-of-distinct-subarrays-with-length-k,20.9962,Accepted,93,93,27.0878,SUCCESS,9.6121,Accepted,TRUE,Medium,35.0124,63.1607,Accepted
minimum-time-to-remove-all-cars-containing-illegal-goods,20.3684,Accepted,89,89,38.8884,SUCCESS,52.7777,Accepted,TRUE,Hard,35.1352,21.6217,Accepted
minimum-sum-of-mountain-triplets-i,72.14,Accepted,,,79.84,SUCCESS,17.77,Accepted,TRUE,Easy,35.21,58.88,Accepted
check-if-an-original-string-exists-given-two-encoded-strings,52.2374,Accepted,215,215,56.3842,SUCCESS,67.3766,Accepted,TRUE,Hard,35.2517,65.4231,Accepted
minimum-seconds-to-equalize-a-circular-array,86.842,Accepted,579,579,77.0496,SUCCESS,70.492,Accepted,TRUE,Medium,35.3835,58.4616,Accepted
maximum-subsequence-score,88.4683,Accepted,28,28,84.915,SUCCESS,19.5283,Accepted,TRUE,Medium,35.4399,86.3186,Accepted
maximum-square-area-by-removing-fences-from-a-field,70.643,Accepted,648,648,87.3064,SUCCESS,70.5881,Accepted,TRUE,Medium,35.7118,51.7852,Accepted
count-days-without-meetings,57.9029,Accepted,578,578,27.4769,SUCCESS,53.5282,Accepted,TRUE,Medium,35.78,26.551,Accepted
maximum-value-of-an-ordered-triplet-i,64.5163,Accepted,564,564,75.0914,SUCCESS,14.9158,Accepted,TRUE,Easy,35.7936,14.9158,Accepted
maximum-sum-queries,67.19,Accepted,1415,1415,16.668,SUCCESS,12.501,Accepted,TRUE,Hard,36.3644,18.1824,Accepted
count-palindromic-subsequences,70.7864,Accepted,63,63,72.2426,SUCCESS,18.4307,Accepted,TRUE,Hard,36.4987,18.4922,Accepted
insert-greatest-common-divisors-in-linked-list,83.9808,Accepted,582,582,83.4745,SUCCESS,5.9929,Accepted,TRUE,Medium,36.5944,95.2941,Accepted
count-substrings-that-satisfy-k-constraint-i,46.8691,Accepted,780,780,50.5863,SUCCESS,17.1876,Accepted,TRUE,Easy,36.6224,18.9752,Accepted
match-substring-after-replacement,24.7188,Accepted,116,116,94.186,SUCCESS,6.9766,Accepted,TRUE,Hard,37.0784,41.573,Accepted
count-subarrays-of-length-three-with-a-condition,94.186,Accepted,1691,1691,58.3539,SUCCESS,45.8456,Accepted,TRUE,Easy,37.081,93.2328,Accepted
find-the-longest-balanced-substring-of-a-binary-string,35.3294,Accepted,1848,1848,36.9566,SUCCESS,17.9348,Accepted,TRUE,Easy,37.1727,31.9371,Accepted
find-the-number-of-winning-players,94.7369,Accepted,839,839,77.9026,SUCCESS,27.3408,Accepted,TRUE,Easy,37.4046,72.1375,Accepted
count-pairs-that-form-a-complete-day-ii,46.2582,Accepted,714,714,62.9127,SUCCESS,21.1918,Accepted,TRUE,Medium,37.4183,6.4514,Accepted
find-score-of-an-array-after-marking-all-elements,63.9313,Accepted,1044,1044,46.0436,SUCCESS,51.1555,Accepted,TRUE,Medium,37.7982,72.7426,Accepted
maximum-palindromes-after-operations,54.9291,Accepted,507,507,30.3368,SUCCESS,21.3483,Accepted,TRUE,Medium,38.0432,65.2174,Accepted
find-valid-pair-of-adjacent-digits-in-string,77.6614,Accepted,826,826,73.59,SUCCESS,86.7502,Accepted,TRUE,Easy,38.1985,86.9474,Accepted
minimum-operations-to-make-the-integer-zero,100,Accepted,,,100,SUCCESS,68.57,Accepted,TRUE,Medium,38.3333,3.3333,Accepted
find-the-largest-area-of-square-inside-two-rectangles,67.1875,Accepted,661,127,,SUCCESS,,Wrong Answer,TRUE,Medium,38.39,44.64,Accepted
sliding-subarray-beauty,92.6071,Accepted,717,717,98.4188,SUCCESS,41.8972,Accepted,TRUE,Medium,39.2565,97.7779,Accepted
minimum-operations-to-make-the-array-increasing,87.4505,Accepted,94,94,57.0163,SUCCESS,76.9572,Accepted,TRUE,Easy,39.2724,9.4103,Accepted
cycle-length-queries-in-a-tree,83.9512,Accepted,27,27,75.7288,SUCCESS,42.233,Accepted,TRUE,Hard,39.3049,43.2837,Accepted
check-if-string-is-transformable-with-substring-sort-operations,36,Accepted,138,138,48.718,SUCCESS,67.5214,Accepted,TRUE,Hard,39.3163,57.265,Accepted
find-the-length-of-the-longest-common-prefix,53.6702,Accepted,718,718,58.6869,SUCCESS,60.3282,Accepted,TRUE,Medium,39.8676,56.1186,Accepted
minimum-number-of-removals-to-make-mountain-array,95.7806,Accepted,91,91,94.144,SUCCESS,40.5404,Accepted,TRUE,Hard,39.9028,80.7692,Accepted
number-of-ways-to-earn-points,60.1058,Accepted,63,63,60.1122,SUCCESS,34.8315,Accepted,TRUE,Hard,40.9648,97.5904,Accepted
transformed-array,7.3717,Accepted,695,695,51.3244,SUCCESS,47.0199,Accepted,TRUE,Easy,41.4635,29.8103,Accepted
hash-divided-string,75.08,Accepted,,,61.99,SUCCESS,33.96,Accepted,TRUE,Medium,41.83,54.9,Accepted
find-indices-with-index-and-value-difference-i,10.3773,Accepted,525,525,100,SUCCESS,37.766,Accepted,TRUE,Easy,42.0212,64.0958,Accepted
distribute-repeating-integers,46.0522,Accepted,109,109,47.7622,SUCCESS,64.1791,Accepted,TRUE,Hard,42.2519,76.0562,Accepted
defuse-the-bomb,100,Accepted,74,74,45.0951,SUCCESS,33.8338,Accepted,TRUE,Easy,42.4908,53.4799,Accepted
minimum-time-to-complete-all-tasks,70.7302,Accepted,1059,1059,62.2002,SUCCESS,80.8612,Accepted,TRUE,Hard,42.633,54.2105,Accepted
distribute-elements-into-two-arrays-ii,16.8832,Accepted,784,784,5.069,SUCCESS,99.0254,Accepted,TRUE,Hard,42.8564,84.2857,Accepted
find-all-k-distant-indices-in-an-array,84.0546,Accepted,87,87,90.2676,SUCCESS,99.0268,Accepted,TRUE,Easy,42.9271,27.317,Accepted
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,49.9991,Accepted,932,932,77.5512,SUCCESS,89.7959,Accepted,TRUE,Medium,43.1368,9.8039,Accepted
find-the-n-th-value-after-k-seconds,62.2645,Accepted,708,708,67.1926,SUCCESS,69.5651,Accepted,TRUE,Medium,44.2409,47.2727,Accepted
paths-in-matrix-whose-sum-is-divisible-by-k,,Wrong Answer,88,88,91.1105,SUCCESS,98.8888,Accepted,TRUE,Hard,44.2541,67.8163,Accepted
find-if-digit-game-can-be-won,100,Accepted,897,897,100,SUCCESS,57.3375,Accepted,TRUE,Easy,44.455,34.5023,Accepted
count-pairs-of-connectable-servers-in-a-weighted-tree-network,39.1284,Accepted,716,716,41.4142,SUCCESS,96.9697,Accepted,TRUE,Medium,44.5632,100,Accepted
maximum-number-of-achievable-transfer-requests,41.48,Accepted,117,117,29.2002,SUCCESS,52.2124,Accepted,TRUE,Hard,44.6174,72.3077,Accepted
find-special-substring-of-length-k,22.9298,Accepted,,,40.59,SUCCESS,37.46,Accepted,TRUE,Easy,44.8231,86.1074,Accepted
count-of-substrings-containing-every-vowel-and-k-consonants-i,42.105,Accepted,815,815,34.9598,SUCCESS,7.3172,Accepted,TRUE,Medium,45.0004,74.9999,Accepted
minimum-moves-to-spread-stones-over-grid,37.5816,Accepted,,,47.56,SUCCESS,87.11,Accepted,TRUE,Medium,45.04,55.86,Accepted
number-of-beautiful-integers-in-the-range,59.2102,Accepted,,,50.55,SUCCESS,34.07,Accepted,TRUE,Hard,45.16,43.01,Accepted
maximum-employees-to-be-invited-to-a-meeting,38.0323,Accepted,99,72,,SUCCESS,,Wrong Answer,TRUE,Hard,45.2166,21.3033,Accepted
the-number-of-beautiful-subsets,44.2631,Accepted,1308,973,,SUCCESS,,Wrong Answer,TRUE,Medium,45.3423,51.447,Accepted
minimum-element-after-replacement-with-digit-sum,58.62,Accepted,,,47.38,SUCCESS,21.94,Accepted,TRUE,Easy,45.4428,21.4102,Accepted
shortest-impossible-sequence-of-rolls,41.4142,Accepted,65,65,74.0738,SUCCESS,7.4074,Accepted,TRUE,Hard,45.4546,58.4416,Accepted
make-array-empty,62.5,Accepted,514,514,66.1967,SUCCESS,18.3091,Accepted,TRUE,Hard,45.9448,68.9187,Accepted
sum-of-matrix-after-queries,98.8636,Accepted,2688,2688,100,SUCCESS,57.3333,Accepted,TRUE,Medium,46.1535,38.4615,Accepted
find-x-sum-of-all-k-long-subarrays-i,66.29,Accepted,906,906,83.7175,SUCCESS,80.1152,Accepted,TRUE,Easy,46.1958,97.0271,Accepted
remove-max-number-of-edges-to-keep-graph-fully-traversable,26.58,Accepted,,,20,SUCCESS,75.14,Accepted,TRUE,Hard,46.29,89.71,Accepted
high-access-employees,61.0666,Accepted,1143,1143,35.8261,SUCCESS,83.8581,Accepted,TRUE,Medium,46.3942,21.6345,Accepted
find-the-maximum-number-of-marked-indices,,Wrong Answer,68,64,,SUCCESS,,Wrong Answer,TRUE,Medium,46.7067,32.3354,Accepted
minimum-levels-to-gain-more-points,23.5303,Accepted,855,855,25.3724,SUCCESS,35.0746,Accepted,TRUE,Medium,46.9236,76.1539,Accepted
find-the-punishment-number-of-an-integer,12.677,Accepted,216,216,14.329,SUCCESS,51.6248,Accepted,TRUE,Medium,46.9596,72.694,Accepted
maximum-number-of-distinct-elements-after-operations,53.7734,Accepted,633,633,63.13,SUCCESS,96.4646,Accepted,TRUE,Medium,46.9678,79.2929,Accepted
right-triangles,64.3272,Accepted,637,637,52.9399,SUCCESS,51.8718,Accepted,TRUE,Medium,46.9966,81.4208,Accepted
count-the-number-of-ideal-arrays,,Runtime Error,47,47,55.5739,SUCCESS,95.8589,Accepted,TRUE,Hard,47.0484,18.2068,Accepted
count-k-subsequences-of-a-string-with-maximum-beauty,20.7545,Accepted,611,611,30.3573,SUCCESS,33.9286,Accepted,TRUE,Hard,47.1696,83.0188,Accepted
minimum-time-to-visit-disappearing-nodes,91.06,Accepted,534,534,45.407,SUCCESS,28.1089,Accepted,TRUE,Medium,47.2205,24.4438,Accepted
find-the-first-player-to-win-k-games-in-a-row,75.3519,Accepted,684,684,60.8693,SUCCESS,33.0435,Accepted,TRUE,Medium,47.4574,85.5932,Accepted
