slug,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed
minimum-moves-to-pick-k-ones,825,821,,SUCCESS,,Time Limit Exceeded,TRUE
count-the-number-of-houses-at-a-certain-distance-ii,549,505,,SUCCESS,,Time Limit Exceeded,TRUE
count-prefix-and-suffix-pairs-ii,597,591,,SUCCESS,,Time Limit Exceeded,TRUE
find-beautiful-indices-in-the-given-array-ii,238,231,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-time-to-revert-word-to-initial-state-ii,911,898,,SUCCESS,,Time Limit Exceeded,TRUE
number-of-subarrays-that-match-a-pattern-ii,792,775,,SUCCESS,,Time Limit Exceeded,TRUE
divide-an-array-into-subarrays-with-minimum-cost-ii,691,687,,SUCCESS,,Time Limit Exceeded,TRUE
find-number-of-coins-to-place-in-tree-nodes,614,612,,SUCCESS,,Time Limit Exceeded,TRUE
maximum-strong-pair-xor-ii,349,237,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-edge-weight-equilibrium-queries-in-a-tree,733,727,,SUCCESS,,Time Limit Exceeded,TRUE
find-a-good-subset-of-the-matrix,685,682,,SUCCESS,,Time Limit Exceeded,TRUE
minimum-reverse-operations,711,698,,SUCCESS,,Time Limit Exceeded,TRUE
handling-sum-queries-after-update,77,73,,SUCCESS,,Time Limit Exceeded,TRUE
groups-of-strings,97,95,,SUCCESS,,Time Limit Exceeded,TRUE
kth-smallest-product-of-two-sorted-arrays,112,98,,SUCCESS,,Time Limit Exceeded,TRUE
find-servers-that-handled-most-number-of-requests,108,100,,SUCCESS,,Time Limit Exceeded,TRUE
stone-game-v,132,131,,SUCCESS,,Time Limit Exceeded,TRUE
double-modular-exponentiation,524,0,,SUCCESS,,Runtime Error,TRUE
number-of-strings-which-can-be-rearranged-to-contain-substring,264,0,,SUCCESS,,Runtime Error,TRUE
count-collisions-of-monkeys-on-a-polygon,83,0,,SUCCESS,,Runtime Error,TRUE
maximum-area-rectangle-with-point-constraints-ii,593,1,,SUCCESS,,Runtime Error,TRUE
smallest-divisible-digit-product-ii,954,2,,SUCCESS,,Runtime Error,TRUE
greatest-common-divisor-traversal,929,0,,SUCCESS,,Runtime Error,TRUE
power-of-heroes,2584,0,,SUCCESS,,Runtime Error,TRUE
maximum-segment-sum-after-removals,42,0,,SUCCESS,,Runtime Error,TRUE
abbreviating-the-product-of-a-range,292,3,,SUCCESS,,Runtime Error,TRUE
sum-of-k-mirror-numbers,97,0,,SUCCESS,,Runtime Error,TRUE
minimum-number-of-days-to-eat-n-oranges,176,0,,SUCCESS,,Runtime Error,TRUE
minimum-number-of-valid-strings-to-form-target-ii,807,799,,SUCCESS,,Memory Limit Exceeded,TRUE
longest-common-suffix-queries,817,751,,SUCCESS,,Memory Limit Exceeded,TRUE
maximum-containers-on-a-ship,686,686,100,SUCCESS,88.0689,Accepted,TRUE
unique-3-digit-even-numbers,930,930,96.3744,SUCCESS,98.3279,Accepted,TRUE
fruits-into-baskets-ii,904,904,49.1796,SUCCESS,56.4251,Accepted,TRUE
transform-array-by-parity,804,804,100,SUCCESS,11.3377,Accepted,TRUE
check-if-digits-are-equal-in-string-after-operations-i,706,706,83.7814,SUCCESS,28.8077,Accepted,TRUE
maximum-difference-between-even-and-odd-frequency-i,805,805,35.5556,SUCCESS,50.7692,Accepted,TRUE
maximum-difference-between-adjacent-elements-in-a-circular-array,962,962,64.9706,SUCCESS,16.047,Accepted,TRUE
find-valid-pair-of-adjacent-digits-in-string,826,826,38.1985,SUCCESS,86.9474,Accepted,TRUE
sum-of-good-numbers,803,803,22.8108,SUCCESS,31.3514,Accepted,TRUE
find-special-substring-of-length-k,812,812,44.8231,SUCCESS,86.1074,Accepted,TRUE
find-the-largest-almost-missing-integer,900,900,35.6877,SUCCESS,25.2788,Accepted,TRUE
count-partitions-with-even-sum-difference,616,616,100,SUCCESS,99.0643,Accepted,TRUE
maximum-subarray-with-equal-products,865,865,57.8803,SUCCESS,54.3478,Accepted,TRUE
minimum-operations-to-make-columns-strictly-increasing,722,722,76.0192,SUCCESS,52.2782,Accepted,TRUE
count-subarrays-of-length-three-with-a-condition,1691,1691,37.081,SUCCESS,93.2328,Accepted,TRUE
minimum-number-of-operations-to-make-elements-in-array-distinct,781,781,64.8102,SUCCESS,8.2146,Accepted,TRUE
transformed-array,695,695,41.4635,SUCCESS,29.8103,Accepted,TRUE
minimum-positive-sum-subarray,889,889,58.9087,SUCCESS,62.8062,Accepted,TRUE
check-balanced-string,868,868,53.125,SUCCESS,38.9706,Accepted,TRUE
button-with-longest-push-time,588,588,100,SUCCESS,11.0311,Accepted,TRUE
smallest-divisible-digit-product-i,1000,1000,100,SUCCESS,42.8572,Accepted,TRUE
find-the-original-typed-string-i,780,780,11.1446,SUCCESS,6.9277,Accepted,TRUE
make-array-elements-equal-to-zero,584,584,17.2668,SUCCESS,10.4317,Accepted,TRUE
find-x-sum-of-all-k-long-subarrays-i,906,906,46.1958,SUCCESS,97.0271,Accepted,TRUE
minimum-element-after-replacement-with-digit-sum,835,835,45.4428,SUCCESS,21.4102,Accepted,TRUE
construct-the-minimum-bitwise-array-i,658,658,30.8748,SUCCESS,73.6111,Accepted,TRUE
find-the-k-th-character-in-string-game-i,502,502,57.1428,SUCCESS,16.7666,Accepted,TRUE
find-indices-of-stable-mountains,805,805,15.3619,SUCCESS,16.5437,Accepted,TRUE
the-two-sneaky-numbers-of-digitville,706,706,24.9852,SUCCESS,99.1202,Accepted,TRUE
find-the-key-of-the-numbers,757,757,100,SUCCESS,38.0053,Accepted,TRUE
convert-date-to-binary,503,503,14.7036,SUCCESS,51.3834,Accepted,TRUE
final-array-state-after-k-multiplication-operations-i,737,737,51.7561,SUCCESS,94.367,Accepted,TRUE
check-if-two-chessboard-squares-have-the-same-color,506,506,69.144,SUCCESS,84.9002,Accepted,TRUE
count-substrings-that-satisfy-k-constraint-i,780,780,36.6224,SUCCESS,18.9752,Accepted,TRUE
snake-in-matrix,983,983,100,SUCCESS,9.8331,Accepted,TRUE
find-the-number-of-winning-players,839,839,37.4046,SUCCESS,72.1375,Accepted,TRUE
design-neighbor-sum-service,652,652,58.9597,SUCCESS,37.2833,Accepted,TRUE
find-if-digit-game-can-be-won,897,897,44.455,SUCCESS,34.5023,Accepted,TRUE
number-of-bit-changes-to-make-two-integers-equal,682,682,100,SUCCESS,59.4654,Accepted,TRUE
lexicographically-smallest-string-after-a-swap,895,895,100,SUCCESS,26.8518,Accepted,TRUE
find-minimum-operations-to-make-all-elements-divisible-by-three,660,660,100,SUCCESS,42.0425,Accepted,TRUE
minimum-average-of-smallest-and-largest-elements,720,720,55.3363,SUCCESS,98.7444,Accepted,TRUE
maximum-height-of-a-triangle,857,857,98.4536,SUCCESS,82.4742,Accepted,TRUE
alternating-groups-i,795,795,20.9427,SUCCESS,55.3228,Accepted,TRUE
find-the-child-who-has-the-ball-after-k-seconds,803,803,100,SUCCESS,25.0896,Accepted,TRUE
clear-digits,688,688,27.989,SUCCESS,78.292,Accepted,TRUE
find-the-number-of-good-pairs-i,783,783,6.6576,SUCCESS,94.0361,Accepted,TRUE
special-array-i,852,852,100,SUCCESS,56.6915,Accepted,TRUE
find-the-xor-of-numbers-which-appear-twice,833,833,100,SUCCESS,33.4024,Accepted,TRUE
minimum-number-of-chairs-in-a-waiting-room,852,852,100,SUCCESS,47.8494,Accepted,TRUE
count-pairs-that-form-a-complete-day-i,667,667,74.87,SUCCESS,82.1491,Accepted,TRUE
check-if-grid-satisfies-conditions,882,882,55.2727,SUCCESS,100,Accepted,TRUE
permutation-difference-between-two-strings,823,823,60.076,SUCCESS,51.0774,Accepted,TRUE
count-the-number-of-special-characters-i,866,866,100,SUCCESS,50.7654,Accepted,TRUE
make-a-square-with-the-same-color,515,515,100,SUCCESS,82.5302,Accepted,TRUE
valid-word,677,677,100,SUCCESS,83.3718,Accepted,TRUE
