slug,difficulty,total_testcases,total_correct,runtime_percentile,state,status_msg,Accepted,processed
maximum-difference-between-adjacent-elements-in-a-circular-array,Easy,962,962,64.9706,SUCCESS,16.047,Accepted,TRUE
minimum-number-of-operations-to-sort-a-binary-tree-by-level,Medium,146,146,50.5088,SUCCESS,16.0894,Accepted,TRUE
minimum-number-of-operations-to-make-array-continuous,Hard,,,77.29,,16.16,Accepted,TRUE
minimum-addition-to-make-integer-beautiful,Medium,92,92,100,SUCCESS,16.279,Accepted,TRUE
count-elements-with-strictly-smaller-and-greater-elements,Easy,127,127,100,SUCCESS,16.3317,Accepted,TRUE
substring-with-largest-variance,Hard,,,16.02,,16.45,Accepted,TRUE
find-indices-of-stable-mountains,Easy,805,805,15.3619,SUCCESS,16.5437,Accepted,TRUE
determine-color-of-a-chessboard-square,Easy,,,100,,16.67,Accepted,TRUE
sort-vowels-in-a-string,Medium,,,82.59,,16.74,Accepted,TRUE
find-the-k-th-character-in-string-game-i,Easy,502,502,57.1428,SUCCESS,16.7666,Accepted,TRUE
sum-of-digit-differences-of-all-pairs,Medium,643,643,77.6,SUCCESS,16.8,Accepted,TRUE
find-the-longest-equal-subarray,Medium,1422,1422,48.9968,SUCCESS,16.8676,Accepted,TRUE
merge-two-2d-arrays-by-summing-values,Easy,39,39,22.483,SUCCESS,16.9568,Accepted,TRUE
maximum-sum-queries,Hard,1415,1415,36.3644,SUCCESS,18.1824,Accepted,TRUE
count-the-number-of-ideal-arrays,Hard,47,47,47.0484,SUCCESS,18.2068,Accepted,TRUE
split-with-minimum-sum,Easy,,,100,,18.44,Accepted,TRUE
three-divisors,Easy,228,228,100,SUCCESS,18.4764,Accepted,TRUE
count-number-of-pairs-with-absolute-difference-k,Easy,237,237,100,SUCCESS,18.4794,Accepted,TRUE
count-palindromic-subsequences,Hard,63,63,36.4987,SUCCESS,18.4922,Accepted,TRUE
find-the-middle-index-in-array,Easy,294,294,100,SUCCESS,18.5876,Accepted,TRUE
number-of-even-and-odd-bits,Easy,1003,1003,100,SUCCESS,18.8992,Accepted,TRUE
sum-of-imbalance-numbers-of-all-subarrays,Hard,1303,1303,67.5676,SUCCESS,18.919,Accepted,TRUE
count-substrings-that-satisfy-k-constraint-i,Easy,780,780,36.6224,SUCCESS,18.9752,Accepted,TRUE
minimum-number-of-flips-to-make-binary-grid-palindromic-i,Medium,625,625,96,SUCCESS,19.2,Accepted,TRUE
total-cost-to-hire-k-workers,Medium,,,14.1,,19.64,Accepted,TRUE
remove-methods-from-project,Medium,775,775,15.5719,SUCCESS,19.6718,Accepted,TRUE
count-paths-that-can-form-a-palindrome-in-a-tree,Hard,666,666,51.1116,SUCCESS,20.0006,Accepted,TRUE
minimum-operations-to-make-the-array-k-increasing,Hard,90,90,57.9704,SUCCESS,20.2895,Accepted,TRUE
append-characters-to-string-to-make-subsequence,Medium,86,86,90.3382,SUCCESS,20.2899,Accepted,TRUE
maximum-sum-of-an-hourglass,Medium,41,41,81.3665,SUCCESS,20.4969,Accepted,TRUE
number-of-senior-citizens,Easy,303,303,100,SUCCESS,20.5001,Accepted,TRUE
largest-odd-number-in-string,Easy,,,89.63,,20.55,Accepted,TRUE
ways-to-split-array-into-good-subarrays,Medium,553,553,59.9996,SUCCESS,20.6448,Accepted,TRUE
distribute-candies-among-children-i,Easy,,,65.1,,20.9,Accepted,TRUE
minimum-possible-integer-after-at-most-k-adjacent-swaps-on-digits,Hard,50,50,84.2104,SUCCESS,21.0524,Accepted,TRUE
minimum-degree-of-a-connected-trio-in-a-graph,Hard,68,68,65.3544,SUCCESS,21.26,Accepted,TRUE
maximum-employees-to-be-invited-to-a-meeting,Hard,99,99,45.2166,SUCCESS,21.3033,Accepted,TRUE
minimum-element-after-replacement-with-digit-sum,Easy,835,835,45.4428,SUCCESS,21.4102,Accepted,TRUE
distribute-money-to-maximum-children,Easy,3802,3802,100,SUCCESS,21.4286,Accepted,TRUE
total-appeal-of-a-string,Hard,77,77,82.38,SUCCESS,21.5104,Accepted,TRUE
minimum-time-to-remove-all-cars-containing-illegal-goods,Hard,89,89,35.1352,SUCCESS,21.6217,Accepted,TRUE
high-access-employees,Medium,1143,1143,46.3942,SUCCESS,21.6345,Accepted,TRUE
prime-subtraction-operation,Medium,654,654,11.7977,SUCCESS,21.8288,Accepted,TRUE
shortest-string-that-contains-three-strings,Medium,5324,5324,69.8626,SUCCESS,21.9179,Accepted,TRUE
minimum-edge-reversals-so-every-node-is-reachable,Hard,421,421,5.8132,SUCCESS,22.0926,Accepted,TRUE
split-the-array-to-make-coprime-products,Hard,75,75,5.1763,SUCCESS,22.0973,Accepted,TRUE
find-the-prefix-common-array-of-two-arrays,Medium,1773,1773,93.1298,SUCCESS,22.3071,Accepted,TRUE
the-employee-that-worked-on-the-longest-task,Easy,514,514,78.5714,SUCCESS,22.3214,Accepted,TRUE
determine-if-string-halves-are-alike,Easy,113,113,100,SUCCESS,22.3663,Accepted,TRUE
maximum-strength-of-k-disjoint-subarrays,Hard,802,802,22.3898,SUCCESS,22.3887,Accepted,TRUE
row-with-maximum-ones,Easy,1049,1049,62.2723,SUCCESS,22.5079,Accepted,TRUE
check-if-point-is-reachable,Hard,60,60,100,SUCCESS,22.5226,Accepted,TRUE
minimum-operations-to-form-subsequence-with-target-sum,Hard,754,754,74.1936,SUCCESS,22.5807,Accepted,TRUE
number-of-common-factors,Easy,76,76,100,SUCCESS,22.6376,Accepted,TRUE
cat-and-mouse-ii,Hard,180,180,15.1502,SUCCESS,22.7266,Accepted,TRUE
find-the-integer-added-to-array-i,Easy,,,100,,22.85,Accepted,TRUE
most-popular-video-creator,Medium,86,86,15.1774,SUCCESS,23.2135,Accepted,TRUE
max-value-of-equation,Hard,,,80.5,,23.65,Accepted,TRUE
count-submatrices-with-top-left-element-and-sum-less-than-k,Medium,859,859,71.8226,SUCCESS,23.7568,Accepted,TRUE
number-of-distinct-averages,Easy,36,36,100,SUCCESS,24.0983,Accepted,TRUE
root-equals-sum-of-children,Easy,309,309,100,SUCCESS,24.162,Accepted,TRUE
count-common-words-with-one-occurrence,Easy,61,61,100,SUCCESS,24.3921,Accepted,TRUE
minimum-time-to-visit-disappearing-nodes,Medium,534,534,47.2205,SUCCESS,24.4438,Accepted,TRUE
minimum-one-bit-operations-to-make-integers-zero,Hard,308,308,100,SUCCESS,24.6574,Accepted,TRUE
find-the-maximum-factor-score-of-array,Medium,752,752,47.7268,SUCCESS,24.9999,Accepted,TRUE
find-the-child-who-has-the-ball-after-k-seconds,Easy,803,803,100,SUCCESS,25.0896,Accepted,TRUE
find-the-largest-almost-missing-integer,Easy,900,900,35.6877,SUCCESS,25.2788,Accepted,TRUE
longest-subsequence-with-limited-sum,Easy,57,57,65.7516,SUCCESS,25.4248,Accepted,TRUE
check-if-all-characters-have-equal-number-of-occurrences,Easy,134,134,100,SUCCESS,25.7561,Accepted,TRUE
maximum-number-of-balls-in-a-box,Easy,97,97,72.7272,SUCCESS,25.7576,Accepted,TRUE
neighboring-bitwise-xor,Medium,1425,1425,26.1015,SUCCESS,25.7626,Accepted,TRUE
shortest-cycle-in-a-graph,Hard,,,83.16,,25.81,Accepted,TRUE
minimum-score-by-changing-two-elements,Medium,70,70,90.5882,SUCCESS,25.8822,Accepted,TRUE
design-an-ordered-stream,Easy,101,101,6.0775,SUCCESS,26.1511,Accepted,TRUE
destroy-sequential-targets,Medium,45,45,71.9624,SUCCESS,26.1679,Accepted,TRUE
maximum-number-of-k-divisible-components,Hard,736,736,80.9885,SUCCESS,26.2356,Accepted,TRUE
count-days-without-meetings,Medium,578,578,35.78,SUCCESS,26.551,Accepted,TRUE
find-the-value-of-the-partition,Medium,806,806,90.9089,SUCCESS,26.6233,Accepted,TRUE
lexicographically-smallest-string-after-a-swap,Easy,895,895,100,SUCCESS,26.8518,Accepted,TRUE
manhattan-distances-of-all-arrangements-of-pieces,Hard,919,919,59.615,SUCCESS,26.9227,Accepted,TRUE
length-of-the-longest-alphabetical-continuous-substring,Medium,123,123,85.4613,SUCCESS,27.305,Accepted,TRUE
find-all-k-distant-indices-in-an-array,Easy,87,87,42.9271,SUCCESS,27.317,Accepted,TRUE
count-pairs-of-similar-strings,Easy,225,225,32.5692,SUCCESS,27.6759,Accepted,TRUE
average-value-of-even-numbers-that-are-divisible-by-three,Easy,181,181,33.5272,SUCCESS,27.7132,Accepted,TRUE
mice-and-cheese,Medium,564,564,52.7206,SUCCESS,28.0338,Accepted,TRUE
lexicographically-smallest-string-after-substring-operation,Medium,,,75.29,,28.16,Accepted,TRUE
check-if-digits-are-equal-in-string-after-operations-i,Easy,706,706,83.7814,SUCCESS,28.8077,Accepted,TRUE
maximum-difference-score-in-a-grid,Medium,,,27.35,,28.91,Accepted,TRUE
number-of-subarrays-with-lcm-equal-to-k,Medium,102,102,83.8707,SUCCESS,29.0323,Accepted,TRUE
minimum-common-value,Easy,41,41,91.2305,SUCCESS,29.0633,Accepted,TRUE
design-a-text-editor,Hard,45,45,63.7865,SUCCESS,29.2059,Accepted,TRUE
count-prefixes-of-a-given-string,Easy,123,123,100,SUCCESS,29.3135,Accepted,TRUE
maximum-nesting-depth-of-the-parentheses,Easy,168,168,100,SUCCESS,29.3257,Accepted,TRUE
largest-positive-integer-that-exists-with-its-negative,Easy,339,339,100,SUCCESS,29.3651,Accepted,TRUE
design-memory-allocator,Medium,109,109,23.2312,SUCCESS,29.4051,Accepted,TRUE
count-of-matches-in-tournament,Easy,200,200,89.6698,SUCCESS,29.5512,Accepted,TRUE
maximal-score-after-applying-k-operations,Medium,40,40,15.751,SUCCESS,29.6704,Accepted,TRUE
minimum-operations-to-make-all-array-elements-equal,Medium,31,31,83.9691,SUCCESS,29.7707,Accepted,TRUE
transformed-array,Easy,695,695,41.4635,SUCCESS,29.8103,Accepted,TRUE
checking-existence-of-edge-length-limited-paths,Hard,,,87.33,,30,Accepted,TRUE
sort-array-by-increasing-frequency,Easy,,,71.22,,30.06,Accepted,TRUE
maximum-score-of-a-node-sequence,Hard,75,75,91.9117,SUCCESS,30.1466,Accepted,TRUE
strong-password-checker-ii,Easy,,,19.67,,30.16,Accepted,TRUE
peaks-in-array,Hard,681,681,97.3684,SUCCESS,30.2627,Accepted,TRUE
string-compression-ii,Hard,,,5.08,,30.51,Accepted,TRUE
design-graph-with-shortest-path-calculator,Hard,36,36,64.119,SUCCESS,30.5882,Accepted,TRUE
semi-ordered-permutation,Easy,1977,1977,100,SUCCESS,30.7693,Accepted,TRUE
rings-and-rods,Easy,66,66,100,SUCCESS,30.8641,Accepted,TRUE
minimum-operations-to-make-median-of-array-equal-to-k,Medium,723,723,83.1521,SUCCESS,30.9779,Accepted,TRUE
find-champion-i,Easy,587,587,100,SUCCESS,31.2355,Accepted,TRUE
sum-of-good-numbers,Easy,803,803,22.8108,SUCCESS,31.3514,Accepted,TRUE
minimum-number-of-increments-on-subarrays-to-form-a-target-array,Hard,129,129,86.6346,SUCCESS,31.4009,Accepted,TRUE
truncate-sentence,Easy,72,72,1.3388,SUCCESS,31.5138,Accepted,TRUE
check-if-numbers-are-ascending-in-a-sentence,Easy,98,98,100,SUCCESS,31.5385,Accepted,TRUE
minimum-number-of-operations-to-make-array-empty,Medium,748,748,31.549,SUCCESS,31.5492,Accepted,TRUE
bitwise-xor-of-all-pairings,Medium,42,42,36.1306,SUCCESS,31.7017,Accepted,TRUE
count-alternating-subarrays,Medium,789,789,93.0771,SUCCESS,31.923,Accepted,TRUE
find-the-longest-balanced-substring-of-a-binary-string,Easy,1848,1848,37.1727,SUCCESS,31.9371,Accepted,TRUE
count-equal-and-divisible-pairs-in-an-array,Easy,238,238,64.5307,SUCCESS,31.9371,Accepted,TRUE
find-the-score-of-all-prefixes-of-an-array,Medium,43,43,73.8888,SUCCESS,32.222,Accepted,TRUE
find-the-maximum-number-of-marked-indices,Medium,68,68,46.7067,SUCCESS,32.3354,Accepted,TRUE
number-of-employees-who-met-the-target,Easy,707,707,10.8911,SUCCESS,32.5082,Accepted,TRUE
build-array-from-permutation,Easy,140,140,54.5647,SUCCESS,32.7798,Accepted,TRUE
find-the-kth-smallest-sum-of-a-matrix-with-sorted-rows,Hard,72,72,71.7949,SUCCESS,32.8205,Accepted,TRUE
robot-collisions,Hard,2433,2433,60.7135,SUCCESS,32.8563,Accepted,TRUE
number-of-ways-to-divide-a-long-corridor,Hard,248,248,70.8865,SUCCESS,32.9115,Accepted,TRUE
stamping-the-grid,Hard,77,77,92.4052,SUCCESS,32.9123,Accepted,TRUE
sum-of-unique-elements,Easy,73,73,100,SUCCESS,33.0769,Accepted,TRUE
count-total-number-of-colored-cells,Medium,94,94,100,SUCCESS,33.1353,Accepted,TRUE
make-the-xor-of-all-segments-equal-to-zero,Hard,,,9.52,,33.33,Accepted,TRUE
minimum-total-cost-to-make-arrays-unequal,Hard,104,104,74.6032,SUCCESS,33.3334,Accepted,TRUE
minimum-interval-to-include-each-query,Hard,,,34.44,,33.4,Accepted,TRUE
find-the-xor-of-numbers-which-appear-twice,Easy,833,833,100,SUCCESS,33.4024,Accepted,TRUE
find-champion-ii,Medium,758,758,54.1174,SUCCESS,33.476,Accepted,TRUE
minimum-bit-flips-to-convert-number,Easy,250,250,100,SUCCESS,33.6156,Accepted,TRUE
check-if-the-number-is-fascinating,Easy,,,100,,33.63,Accepted,TRUE
find-longest-special-substring-that-occurs-thrice-ii,Medium,906,906,79.9061,SUCCESS,33.6443,Accepted,TRUE
count-the-number-of-vowel-strings-in-range,Easy,1053,1053,100,SUCCESS,33.657,Accepted,TRUE
partition-string-into-substrings-with-values-at-most-k,Medium,56,56,75.7352,SUCCESS,33.8235,Accepted,TRUE
find-the-array-concatenation-value,Easy,53,53,72.3493,SUCCESS,34.0957,Accepted,TRUE
minimum-string-length-after-removing-substrings,Easy,,,57.27,,34.2,Accepted,TRUE
number-of-changing-keys,Easy,802,802,100,SUCCESS,34.357,Accepted,TRUE
replace-all-digits-with-characters,Easy,,,100,,34.36,Accepted,TRUE
longest-subarray-with-maximum-bitwise-and,Medium,52,52,65.625,SUCCESS,34.375,Accepted,TRUE
find-if-digit-game-can-be-won,Easy,897,897,44.455,SUCCESS,34.5023,Accepted,TRUE
number-of-different-integers-in-a-string,Easy,85,85,100,SUCCESS,34.9443,Accepted,TRUE
construct-the-longest-new-string,Medium,2003,2003,100,SUCCESS,35.023,Accepted,TRUE
put-marbles-in-bags,Hard,,,76.58,,35.1,Accepted,TRUE
latest-time-you-can-obtain-after-replacing-characters,Easy,908,908,90.1236,SUCCESS,35.3087,Accepted,TRUE
two-out-of-three,Easy,288,288,100,SUCCESS,35.3798,Accepted,TRUE
smallest-value-after-replacing-with-sum-of-prime-factors,Medium,209,209,100,SUCCESS,35.4037,Accepted,TRUE
maximum-prime-difference,Medium,904,904,68.7499,SUCCESS,35.5769,Accepted,TRUE
minimum-operations-to-exceed-threshold-value-i,Easy,724,724,100,SUCCESS,35.9109,Accepted,TRUE
max-pair-sum-in-an-array,Easy,3008,3008,95.9768,SUCCESS,35.9195,Accepted,TRUE
minimum-operations-to-make-a-subsequence,Hard,82,82,89.0625,SUCCESS,35.9375,Accepted,TRUE
naming-a-company,Hard,89,89,81.4434,SUCCESS,36.0823,Accepted,TRUE
count-the-number-of-houses-at-a-certain-distance-i,Medium,880,880,90.5512,SUCCESS,36.2206,Accepted,TRUE
smallest-even-multiple,Easy,150,150,100,SUCCESS,36.2411,Accepted,TRUE
find-the-longest-semi-repetitive-substring,Medium,12264,12264,10.1638,SUCCESS,36.3934,Accepted,TRUE
number-of-valid-clock-times,Easy,53,53,100,SUCCESS,36.478,Accepted,TRUE
time-needed-to-buy-tickets,Easy,65,65,52.3086,SUCCESS,36.5127,Accepted,TRUE
count-the-number-of-beautiful-subarrays,Medium,114,114,53.7639,SUCCESS,36.5592,Accepted,TRUE
keep-multiplying-found-values-by-two,Easy,,,100,,36.57,Accepted,TRUE
longest-substring-of-one-repeating-character,Hard,57,57,78.049,SUCCESS,36.5858,Accepted,TRUE
maximum-length-substring-with-two-occurrences,Easy,709,709,19.8541,SUCCESS,36.6424,Accepted,TRUE
check-distances-between-same-letters,Easy,335,335,100,SUCCESS,36.6438,Accepted,TRUE
check-if-array-is-sorted-and-rotated,Easy,112,112,100,SUCCESS,36.659,Accepted,TRUE
harshad-number,Easy,100,100,2.8219,SUCCESS,36.6843,Accepted,TRUE
categorize-box-according-to-criteria,Easy,50,50,100,SUCCESS,36.8421,Accepted,TRUE
find-the-minimum-area-to-cover-all-ones-i,Medium,712,712,78.9865,SUCCESS,36.9564,Accepted,TRUE
maximum-repeating-substring,Easy,212,212,100,SUCCESS,37.1115,Accepted,TRUE
maximum-number-of-pairs-in-array,Easy,128,128,15.0851,SUCCESS,37.2262,Accepted,TRUE
best-poker-hand,Easy,98,98,100,SUCCESS,37.2602,Accepted,TRUE
design-neighbor-sum-service,Easy,652,652,58.9597,SUCCESS,37.2833,Accepted,TRUE
frequency-tracker,Medium,1118,1118,91.0446,SUCCESS,37.3135,Accepted,TRUE
sum-in-a-matrix,Medium,1057,1057,63.8888,SUCCESS,37.4999,Accepted,TRUE
find-number-of-ways-to-reach-the-k-th-stair,Hard,600,600,61.3206,SUCCESS,37.7358,Accepted,TRUE
find-all-good-indices,Medium,68,68,65.5399,SUCCESS,37.8372,Accepted,TRUE
find-the-key-of-the-numbers,Easy,757,757,100,SUCCESS,38.0053,Accepted,TRUE
get-the-maximum-score,Hard,82,82,95.2381,SUCCESS,38.0951,Accepted,TRUE
sum-of-matrix-after-queries,Medium,2688,2688,46.1535,SUCCESS,38.4615,Accepted,TRUE
minimize-the-maximum-difference-of-pairs,Medium,1582,1582,50.1835,SUCCESS,38.5456,Accepted,TRUE
minimum-operations-to-reduce-an-integer-to-0,Medium,41,41,100,SUCCESS,38.8286,Accepted,TRUE
check-balanced-string,Easy,868,868,53.125,SUCCESS,38.9706,Accepted,TRUE
minimize-the-total-price-of-the-trips,Hard,407,407,18.8397,SUCCESS,39.1304,Accepted,TRUE
count-prefix-and-suffix-pairs-i,Easy,594,594,90.9546,SUCCESS,39.1959,Accepted,TRUE
maximum-elegance-of-a-k-length-subsequence,Hard,2729,2729,80.392,SUCCESS,39.2156,Accepted,TRUE
minimum-increment-operations-to-make-array-beautiful,Medium,570,570,49.495,SUCCESS,39.394,Accepted,TRUE
find-the-pivot-integer,Easy,428,428,55.9171,SUCCESS,39.7435,Accepted,TRUE
string-compression-iii,Medium,744,744,59.142,SUCCESS,39.9996,Accepted,TRUE
longest-nice-substring,Easy,73,73,73.0665,SUCCESS,40.0363,Accepted,TRUE
number-of-adjacent-elements-with-the-same-color,Medium,183,183,72.619,SUCCESS,40.0794,Accepted,TRUE
split-strings-by-separator,Easy,1036,1036,64.2978,SUCCESS,40.1016,Accepted,TRUE
maximum-xor-with-an-element-from-array,Hard,67,67,91.3266,SUCCESS,40.3065,Accepted,TRUE
find-minimum-diameter-after-merging-two-trees,Hard,723,723,11.5816,SUCCESS,40.5163,Accepted,TRUE
find-the-minimum-possible-sum-of-a-beautiful-array,Medium,577,577,100,SUCCESS,40.7407,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-i,Easy,382,382,5.2678,SUCCESS,40.7621,Accepted,TRUE
min-max-game,Easy,96,96,25.8171,SUCCESS,40.8497,Accepted,TRUE
largest-3-same-digit-number-in-string,Easy,141,141,18.555,SUCCESS,41.0509,Accepted,TRUE
maximize-score-after-n-operations,Hard,77,77,83.4426,SUCCESS,41.0588,Accepted,TRUE
find-critical-and-pseudo-critical-edges-in-minimum-spanning-tree,Hard,66,66,76.3644,SUCCESS,41.0909,Accepted,TRUE
maximize-number-of-nice-divisors,Hard,213,213,31.1111,SUCCESS,41.1111,Accepted,TRUE
maximum-enemy-forts-that-can-be-captured,Easy,45,45,100,SUCCESS,41.1951,Accepted,TRUE
match-substring-after-replacement,Hard,116,116,37.0784,SUCCESS,41.573,Accepted,TRUE
double-a-number-represented-as-a-linked-list,Medium,1265,1265,84.0105,SUCCESS,41.8782,Accepted,TRUE
maximize-win-from-two-segments,Medium,72,72,73.9502,SUCCESS,42.0169,Accepted,TRUE
find-minimum-operations-to-make-all-elements-divisible-by-three,Easy,660,660,100,SUCCESS,42.0425,Accepted,TRUE
minimum-equal-sum-of-two-arrays-after-replacing-zeros,Medium,,,10.24,,42.45,Accepted,TRUE
sum-of-all-subset-xor-totals,Easy,48,48,13.3008,SUCCESS,42.6807,Accepted,TRUE
smallest-divisible-digit-product-i,Easy,1000,1000,100,SUCCESS,42.8572,Accepted,TRUE
number-of-beautiful-integers-in-the-range,Hard,,,45.16,,43.01,Accepted,TRUE
kth-largest-sum-in-a-binary-tree,Medium,51,51,92.9121,SUCCESS,43.1433,Accepted,TRUE
maximum-strictly-increasing-cells-in-a-matrix,Hard,566,566,31.0792,SUCCESS,43.2425,Accepted,TRUE
finding-3-digit-even-numbers,Easy,79,79,68.8474,SUCCESS,43.2722,Accepted,TRUE
cycle-length-queries-in-a-tree,Hard,27,27,39.3049,SUCCESS,43.2837,Accepted,TRUE
count-the-number-of-incremovable-subarrays-i,Easy,615,615,63.6375,SUCCESS,43.3884,Accepted,TRUE
second-minimum-time-to-reach-destination,Hard,77,77,32.9211,SUCCESS,43.4782,Accepted,TRUE
convert-an-array-into-a-2d-array-with-conditions,Medium,1035,1035,56.6973,SUCCESS,43.4862,Accepted,TRUE
find-subarrays-with-equal-sum,Easy,42,42,100,SUCCESS,43.5727,Accepted,TRUE
prime-in-diagonal,Easy,82,82,100,SUCCESS,44.156,Accepted,TRUE
