slug,difficulty,total_testcases,total_correct,runtime_percentile,state,memory_percentile,status_msg,processed,generated_code,content
check-if-all-characters-have-equal-number-of-occurrences,Easy,134,134,26.6666,SUCCESS,71.6887,Accepted,True,"```python
class Solution:
    def areOccurrencesEqual(self, s: str) -> bool:
        from collections import Counter
        counts = Counter(s).values()
        return len(set(counts)) == 1
```","Given a string s, return true if s is a good string, or false otherwise.
A string s is good if all the characters that appear in s have the same number of occurrences (i.e., the same frequency).
 
Example 1:

Input: s = ""abacbc""
Output: true
Explanation: The characters that appear in s are 'a', 'b', and 'c'. All characters occur 2 times in s.

Example 2:

Input: s = ""aaabb""
Output: false
Explanation: The characters that appear in s are 'a' and 'b'.
'a' occurs 3 times while 'b' occurs 2 times, which is not the same number of times.

 
Constraints:

1 <= s.length <= 1000
s consists of lowercase English letters.

"
count-subarrays-of-length-three-with-a-condition,Easy,1691,1691,26.8344,SUCCESS,47.5891,Accepted,True,"```python
from typing import List

class Solution:
    def countSubarrays(self, nums: List[int]) -> int:
        count = 0
        for i in range(len(nums) - 2):
            first = nums[i]
            second = nums[i+1]
            third = nums[i+2]
            if first + third == second / 2:
                count += 1
        return count
```","Given an integer array nums, return the number of subarrays of length 3 such that the sum of the first and third numbers equals exactly half of the second number.
 
Example 1:

Input: nums = [1,2,1,4,1]
Output: 1
Explanation:
Only the subarray [1,4,1] contains exactly 3 elements where the sum of the first and third numbers equals half the middle number.

Example 2:

Input: nums = [1,1,1]
Output: 0
Explanation:
[1,1,1] is the only subarray of length 3. However, its first and third numbers do not add to half the middle number.

 
Constraints:

3 <= nums.length <= 100
-100 <= nums[i] <= 100

"
longest-even-odd-subarray-with-threshold,Easy,6873,6873,26.8627,SUCCESS,34.3115,Accepted,True,"```python
from typing import List

class Solution:
    def longestAlternatingSubarray(self, nums: List[int], threshold: int) -> int:
        max_len = 0
        n = len(nums)
        for l in range(n):
            if nums[l] % 2 == 0 and nums[l] <= threshold:
                current_len = 1
                if current_len > max_len:
                    max_len = current_len
                for r in range(l + 1, n):
                    if nums[r] > threshold:
                        break
                    if nums[r-1] % 2 == nums[r] % 2:
                        break
                    current_len += 1
                    if current_len > max_len:
                        max_len = current_len
        return max_len
```","You are given a 0-indexed integer array nums and an integer threshold.
Find the length of the longest subarray of nums starting at index l and ending at index r (0 <= l <= r < nums.length) that satisfies the following conditions:

nums[l] % 2 == 0
For all indices i in the range [l, r - 1], nums[i] % 2 != nums[i + 1] % 2
For all indices i in the range [l, r], nums[i] <= threshold

Return an integer denoting the length of the longest such subarray.
Note: A subarray is a contiguous non-empty sequence of elements within an array.
 
Example 1:

Input: nums = [3,2,5,4], threshold = 5
Output: 3
Explanation: In this example, we can select the subarray that starts at l = 1 and ends at r = 3 => [2,5,4]. This subarray satisfies the conditions.
Hence, the answer is the length of the subarray, 3. We can show that 3 is the maximum possible achievable length.
Example 2:

Input: nums = [1,2], threshold = 2
Output: 1
Explanation: In this example, we can select the subarray that starts at l = 1 and ends at r = 1 => [2]. 
It satisfies all the conditions and we can show that 1 is the maximum possible achievable length.

Example 3:

Input: nums = [2,3,4,5], threshold = 4
Output: 3
Explanation: In this example, we can select the subarray that starts at l = 0 and ends at r = 2 => [2,3,4]. 
It satisfies all the conditions.
Hence, the answer is the length of the subarray, 3. We can show that 3 is the maximum possible achievable length.

 
Constraints:

1 <= nums.length <= 100 
1 <= nums[i] <= 100 
1 <= threshold <= 100

"
count-integers-with-even-digit-sum,Easy,71,71,27.3729,SUCCESS,63.136,Accepted,True,"```python
class Solution:
    def countEven(self, num: int) -> int:
        count = 0
        for i in range(1, num + 1):
            digit_sum = sum(int(d) for d in str(i))
            if digit_sum % 2 == 0:
                count += 1
        return count
```","Given a positive integer num, return the number of positive integers less than or equal to num whose digit sums are even.
The digit sum of a positive integer is the sum of all its digits.
 
Example 1:

Input: num = 4
Output: 2
Explanation:
The only integers less than or equal to 4 whose digit sums are even are 2 and 4.    

Example 2:

Input: num = 30
Output: 14
Explanation:
The 14 integers less than or equal to 30 whose digit sums are even are
2, 4, 6, 8, 11, 13, 15, 17, 19, 20, 22, 24, 26, and 28.

 
Constraints:

1 <= num <= 1000

"
neighboring-bitwise-xor,Medium,1425,1425,27.3816,SUCCESS,60.4166,Accepted,True,"```python
from typing import List

class Solution:
    def doesValidArrayExist(self, derived: List[int]) -> bool:
        n = len(derived)
        original0 = 0
        current = original0
        for i in range(n - 1):
            current = derived[i] ^ current
        if (current ^ original0) == derived[-1]:
            return True
        original0 = 1
        current = original0
        for i in range(n - 1):
            current = derived[i] ^ current
        if (current ^ original0) == derived[-1]:
            return True
        return False
```","A 0-indexed array derived with length n is derived by computing the bitwise XOR (⊕) of adjacent values in a binary array original of length n.
Specifically, for each index i in the range [0, n - 1]:

If i = n - 1, then derived[i] = original[i] ⊕ original[0].
Otherwise, derived[i] = original[i] ⊕ original[i + 1].

Given an array derived, your task is to determine whether there exists a valid binary array original that could have formed derived.
Return true if such an array exists or false otherwise.

A binary array is an array containing only 0's and 1's

 
Example 1:

Input: derived = [1,1,0]
Output: true
Explanation: A valid original array that gives derived is [0,1,0].
derived[0] = original[0] ⊕ original[1] = 0 ⊕ 1 = 1 
derived[1] = original[1] ⊕ original[2] = 1 ⊕ 0 = 1
derived[2] = original[2] ⊕ original[0] = 0 ⊕ 0 = 0

Example 2:

Input: derived = [1,1]
Output: true
Explanation: A valid original array that gives derived is [0,1].
derived[0] = original[0] ⊕ original[1] = 1
derived[1] = original[1] ⊕ original[0] = 1

Example 3:

Input: derived = [1,0]
Output: false
Explanation: There is no valid original array that gives derived.

 
Constraints:

n == derived.length
1 <= n <= 105
The values in derived are either 0's or 1's

"
minimum-score-by-changing-two-elements,Medium,70,70,27.5001,SUCCESS,24.1666,Accepted,True,"```python
from typing import List

class Solution:
    def minimizeSum(self, nums: List[int]) -> int:
        nums.sort()
        option1 = nums[-3] - nums[0]
        option2 = nums[-1] - nums[2]
        option3 = nums[-2] - nums[1]
        min_high = min(option1, option2, option3)
        return min_high
```","You are given an integer array nums.

The low score of nums is the minimum absolute difference between any two integers.
The high score of nums is the maximum absolute difference between any two integers.
The score of nums is the sum of the high and low scores.

Return the minimum score after changing two elements of nums.
 
Example 1:

Input: nums = [1,4,7,8,5]
Output: 3
Explanation:

Change nums[0] and nums[1] to be 6 so that nums becomes [6,6,7,8,5].
The low score is the minimum absolute difference: |6 - 6| = 0.
The high score is the maximum absolute difference: |8 - 5| = 3.
The sum of high and low score is 3.


Example 2:

Input: nums = [1,4,3]
Output: 0
Explanation:

Change nums[1] and nums[2] to 1 so that nums becomes [1,1,1].
The sum of maximum absolute difference and minimum absolute difference is 0.


 
Constraints:

3 <= nums.length <= 105
1 <= nums[i] <= 109

"
booking-concert-tickets-in-groups,Hard,97,97,27.535,SUCCESS,84.0577,Accepted,True,"```python
import bisect

class BookMyShow:

    def __init__(self, n: int, m: int):
        self.n = n
        self.m = m
        self.min_row = 0
        self.rows = [0] * n  # tracks the next available seat in each row
        self.seg_tree = [0] * (4 * n)  # segment tree for max remaining seats in a range
        self.sum_tree = [0] * (4 * n)  # segment tree for sum of remaining seats in a range
        
        def build(node, l, r):
            if l == r:
                self.seg_tree[node] = self.m
                self.sum_tree[node] = self.m
                return
            mid = (l + r) // 2
            build(2 * node + 1, l, mid)
            build(2 * node + 2, mid + 1, r)
            self.seg_tree[node] = max(self.seg_tree[2 * node + 1], self.seg_tree[2 * node + 2])
            self.sum_tree[node] = self.sum_tree[2 * node + 1] + self.sum_tree[2 * node + 2]
        
        build(0, 0, n - 1)

    def gather(self, k: int, maxRow: int) -> List[int]:
        def query_max(node, l, r, max_row, val):
            if l > max_row or self.seg_tree[node] < val:
                return -1
            if l == r:
                return l
            mid = (l + r) // 2
            left = query_max(2 * node + 1, l, mid, max_row, val)
            if left != -1:
                return left
            return query_max(2 * node + 2, mid + 1, r, max_row, val)
        
        row = query_max(0, 0, self.n - 1, maxRow, k)
        if row == -1:
            return []
        seat = self.rows[row]
        self.rows[row] += k
        
        def update_seg(node, l, r, pos):
            if l == r:
                self.seg_tree[node] = self.m - self.rows[pos]
                self.sum_tree[node] = self.m - self.rows[pos]
                return
            mid = (l + r) // 2
            if pos <= mid:
                update_seg(2 * node + 1, l, mid, pos)
            else:
                update_seg(2 * node + 2, mid + 1, r, pos)
            self.seg_tree[node] = max(self.seg_tree[2 * node + 1], self.seg_tree[2 * node + 2])
            self.sum_tree[node] = self.sum_tree[2 * node + 1] + self.sum_tree[2 * node + 2]
        
        update_seg(0, 0, self.n - 1, row)
        return [row, seat]

    def scatter(self, k: int, maxRow: int) -> bool:
        def query_sum(node, l, r, max_row):
            if l > max_row:
                return 0
            if r <= max_row:
                return self.sum_tree[node]
            mid = (l + r) // 2
            return query_sum(2 * node + 1, l, mid, max_row) + query_sum(2 * node + 2, mid + 1, r, max_row)
        
        total = query_sum(0, 0, self.n - 1, maxRow)
        if total < k:
            return False
        
        remaining = k
        while remaining > 0 and self.min_row <= maxRow:
            row = self.min_row
            available = self.m - self.rows[row]
            take = min(available, remaining)
            self.rows[row] += take
            remaining -= take
            if self.rows[row] == self.m:
                self.min_row += 1
            
            def update_seg(node, l, r, pos):
                if l == r:
                    self.seg_tree[node] = self.m - self.rows[pos]
                    self.sum_tree[node] = self.m - self.rows[pos]
                    return
                mid = (l + r) // 2
                if pos <= mid:
                    update_seg(2 * node + 1, l, mid, pos)
                else:
                    update_seg(2 * node + 2, mid + 1, r, pos)
                self.seg_tree[node] = max(self.seg_tree[2 * node + 1], self.seg_tree[2 * node + 2])
                self.sum_tree[node] = self.sum_tree[2 * node + 1] + self.sum_tree[2 * node + 2]
            
            update_seg(0, 0, self.n - 1, row)
        return True
```","A concert hall has n rows numbered from 0 to n - 1, each with m seats, numbered from 0 to m - 1. You need to design a ticketing system that can allocate seats in the following cases:

If a group of k spectators can sit together in a row.
If every member of a group of k spectators can get a seat. They may or may not sit together.

Note that the spectators are very picky. Hence:

They will book seats only if each member of their group can get a seat with row number less than or equal to maxRow. maxRow can vary from group to group.
In case there are multiple rows to choose from, the row with the smallest number is chosen. If there are multiple seats to choose in the same row, the seat with the smallest number is chosen.

Implement the BookMyShow class:

BookMyShow(int n, int m) Initializes the object with n as number of rows and m as number of seats per row.
int[] gather(int k, int maxRow) Returns an array of length 2 denoting the row and seat number (respectively) of the first seat being allocated to the k members of the group, who must sit together. In other words, it returns the smallest possible r and c such that all [c, c + k - 1] seats are valid and empty in row r, and r <= maxRow. Returns [] in case it is not possible to allocate seats to the group.
boolean scatter(int k, int maxRow) Returns true if all k members of the group can be allocated seats in rows 0 to maxRow, who may or may not sit together. If the seats can be allocated, it allocates k seats to the group with the smallest row numbers, and the smallest possible seat numbers in each row. Otherwise, returns false.

 
Example 1:

Input
[""BookMyShow"", ""gather"", ""gather"", ""scatter"", ""scatter""]
[[2, 5], [4, 0], [2, 0], [5, 1], [5, 1]]
Output
[null, [0, 0], [], true, false]

Explanation
BookMyShow bms = new BookMyShow(2, 5); // There are 2 rows with 5 seats each 
bms.gather(4, 0); // return [0, 0]
                  // The group books seats [0, 3] of row 0. 
bms.gather(2, 0); // return []
                  // There is only 1 seat left in row 0,
                  // so it is not possible to book 2 consecutive seats. 
bms.scatter(5, 1); // return True
                   // The group books seat 4 of row 0 and seats [0, 3] of row 1. 
bms.scatter(5, 1); // return False
                   // There is only one seat left in the hall.

 
Constraints:

1 <= n <= 5 * 104
1 <= m, k <= 109
0 <= maxRow <= n - 1
At most 5 * 104 calls in total will be made to gather and scatter.

"
count-items-matching-a-rule,Easy,92,92,27.7925,SUCCESS,84.7074,Accepted,True,"```python
class Solution:
    def countMatches(self, items: List[List[str]], ruleKey: str, ruleValue: str) -> int:
        count = 0
        key_map = {""type"": 0, ""color"": 1, ""name"": 2}
        index = key_map[ruleKey]
        for item in items:
            if item[index] == ruleValue:
                count += 1
        return count
```","You are given an array items, where each items[i] = [typei, colori, namei] describes the type, color, and name of the ith item. You are also given a rule represented by two strings, ruleKey and ruleValue.
The ith item is said to match the rule if one of the following is true:

ruleKey == ""type"" and ruleValue == typei.
ruleKey == ""color"" and ruleValue == colori.
ruleKey == ""name"" and ruleValue == namei.

Return the number of items that match the given rule.
 
Example 1:

Input: items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""lenovo""],[""phone"",""gold"",""iphone""]], ruleKey = ""color"", ruleValue = ""silver""
Output: 1
Explanation: There is only one item matching the given rule, which is [""computer"",""silver"",""lenovo""].

Example 2:

Input: items = [[""phone"",""blue"",""pixel""],[""computer"",""silver"",""phone""],[""phone"",""gold"",""iphone""]], ruleKey = ""type"", ruleValue = ""phone""
Output: 2
Explanation: There are only two items matching the given rule, which are [""phone"",""blue"",""pixel""] and [""phone"",""gold"",""iphone""]. Note that the item [""computer"",""silver"",""phone""] does not match.
 
Constraints:

1 <= items.length <= 104
1 <= typei.length, colori.length, namei.length, ruleValue.length <= 10
ruleKey is equal to either ""type"", ""color"", or ""name"".
All strings consist only of lowercase letters.

"
create-sorted-array-through-instructions,Hard,65,65,27.857,SUCCESS,69.8631,Accepted,True,"```python
import bisect

class Solution:
    def createSortedArray(self, instructions: List[int]) -> int:
        nums = []
        total_cost = 0
        mod = 10**9 + 7
        
        for num in instructions:
            left = bisect.bisect_left(nums, num)
            right = bisect.bisect_right(nums, num)
            cost = min(left, len(nums) - right)
            total_cost = (total_cost + cost) % mod
            bisect.insort(nums, num)
        
        return total_cost
```","Given an integer array instructions, you are asked to create a sorted array from the elements in instructions. You start with an empty container nums. For each element from left to right in instructions, insert it into nums. The cost of each insertion is the minimum of the following:

The number of elements currently in nums that are strictly less than instructions[i].
The number of elements currently in nums that are strictly greater than instructions[i].

For example, if inserting element 3 into nums = [1,2,3,5], the cost of insertion is min(2, 1) (elements 1 and 2 are less than 3, element 5 is greater than 3) and nums will become [1,2,3,3,5].
Return the total cost to insert all elements from instructions into nums. Since the answer may be large, return it modulo 109 + 7
 
Example 1:

Input: instructions = [1,5,6,2]
Output: 1
Explanation: Begin with nums = [].
Insert 1 with cost min(0, 0) = 0, now nums = [1].
Insert 5 with cost min(1, 0) = 0, now nums = [1,5].
Insert 6 with cost min(2, 0) = 0, now nums = [1,5,6].
Insert 2 with cost min(1, 2) = 1, now nums = [1,2,5,6].
The total cost is 0 + 0 + 0 + 1 = 1.
Example 2:

Input: instructions = [1,2,3,6,5,4]
Output: 3
Explanation: Begin with nums = [].
Insert 1 with cost min(0, 0) = 0, now nums = [1].
Insert 2 with cost min(1, 0) = 0, now nums = [1,2].
Insert 3 with cost min(2, 0) = 0, now nums = [1,2,3].
Insert 6 with cost min(3, 0) = 0, now nums = [1,2,3,6].
Insert 5 with cost min(3, 1) = 1, now nums = [1,2,3,5,6].
Insert 4 with cost min(3, 2) = 2, now nums = [1,2,3,4,5,6].
The total cost is 0 + 0 + 0 + 0 + 1 + 2 = 3.

Example 3:

Input: instructions = [1,3,3,3,2,4,2,1,2]
Output: 4
Explanation: Begin with nums = [].
Insert 1 with cost min(0, 0) = 0, now nums = [1].
Insert 3 with cost min(1, 0) = 0, now nums = [1,3].
Insert 3 with cost min(1, 0) = 0, now nums = [1,3,3].
Insert 3 with cost min(1, 0) = 0, now nums = [1,3,3,3].
Insert 2 with cost min(1, 3) = 1, now nums = [1,2,3,3,3].
Insert 4 with cost min(5, 0) = 0, now nums = [1,2,3,3,3,4].
​​​​​​​Insert 2 with cost min(1, 4) = 1, now nums = [1,2,2,3,3,3,4].
​​​​​​​Insert 1 with cost min(0, 6) = 0, now nums = [1,1,2,2,3,3,3,4].
​​​​​​​Insert 2 with cost min(2, 4) = 2, now nums = [1,1,2,2,2,3,3,3,4].
The total cost is 0 + 0 + 0 + 0 + 1 + 0 + 1 + 0 + 2 = 4.

 
Constraints:

1 <= instructions.length <= 105
1 <= instructions[i] <= 105
"
check-if-an-original-string-exists-given-two-encoded-strings,Hard,215,215,27.9651,SUCCESS,66.8253,Accepted,True,"```python
class Solution:
    def possiblyEquals(self, s1: str, s2: str) -> bool:
        from functools import lru_cache

        def get_possible_lengths(s):
            res = [int(s)]
            if len(s) >= 2:
                a, b = s[:1], s[1:]
                for la in get_possible_lengths(a):
                    for lb in get_possible_lengths(b):
                        res.append(la + lb)
            if len(s) >= 3:
                a, b = s[:2], s[2:]
                for la in get_possible_lengths(a):
                    for lb in get_possible_lengths(b):
                        res.append(la + lb)
            return list(set(res))

        @lru_cache(maxsize=None)
        def dfs(i, j, diff):
            if i == len(s1) and j == len(s2):
                return diff == 0
            if i < len(s1) and s1[i].isdigit():
                k = i
                while k < len(s1) and s1[k].isdigit():
                    k += 1
                for l in get_possible_lengths(s1[i:k]):
                    if dfs(k, j, diff - l):
                        return True
                return False
            if j < len(s2) and s2[j].isdigit():
                k = j
                while k < len(s2) and s2[k].isdigit():
                    k += 1
                for l in get_possible_lengths(s2[j:k]):
                    if dfs(i, k, diff + l):
                        return True
                return False
            if diff == 0:
                if i < len(s1) and j < len(s2) and s1[i] == s2[j]:
                    return dfs(i + 1, j + 1, 0)
                else:
                    return False
            elif diff > 0:
                if i < len(s1):
                    return dfs(i + 1, j, diff - 1)
                else:
                    return False
            else:
                if j < len(s2):
                    return dfs(i, j + 1, diff + 1)
                else:
                    return False

        return dfs(0, 0, 0)
```","An original string, consisting of lowercase English letters, can be encoded by the following steps:

Arbitrarily split it into a sequence of some number of non-empty substrings.
Arbitrarily choose some elements (possibly none) of the sequence, and replace each with its length (as a numeric string).
Concatenate the sequence as the encoded string.

For example, one way to encode an original string ""abcdefghijklmnop"" might be:

Split it as a sequence: [""ab"", ""cdefghijklmn"", ""o"", ""p""].
Choose the second and third elements to be replaced by their lengths, respectively. The sequence becomes [""ab"", ""12"", ""1"", ""p""].
Concatenate the elements of the sequence to get the encoded string: ""ab121p"".

Given two encoded strings s1 and s2, consisting of lowercase English letters and digits 1-9 (inclusive), return true if there exists an original string that could be encoded as both s1 and s2. Otherwise, return false.
Note: The test cases are generated such that the number of consecutive digits in s1 and s2 does not exceed 3.
 
Example 1:

Input: s1 = ""internationalization"", s2 = ""i18n""
Output: true
Explanation: It is possible that ""internationalization"" was the original string.
- ""internationalization"" 
  -> Split:       [""internationalization""]
  -> Do not replace any element
  -> Concatenate:  ""internationalization"", which is s1.
- ""internationalization""
  -> Split:       [""i"", ""nternationalizatio"", ""n""]
  -> Replace:     [""i"", ""18"",                 ""n""]
  -> Concatenate:  ""i18n"", which is s2

Example 2:

Input: s1 = ""l123e"", s2 = ""44""
Output: true
Explanation: It is possible that ""leetcode"" was the original string.
- ""leetcode"" 
  -> Split:      [""l"", ""e"", ""et"", ""cod"", ""e""]
  -> Replace:    [""l"", ""1"", ""2"",  ""3"",   ""e""]
  -> Concatenate: ""l123e"", which is s1.
- ""leetcode"" 
  -> Split:      [""leet"", ""code""]
  -> Replace:    [""4"",    ""4""]
  -> Concatenate: ""44"", which is s2.

Example 3:

Input: s1 = ""a5b"", s2 = ""c5b""
Output: false
Explanation: It is impossible.
- The original string encoded as s1 must start with the letter 'a'.
- The original string encoded as s2 must start with the letter 'c'.

 
Constraints:

1 <= s1.length, s2.length <= 40
s1 and s2 consist of digits 1-9 (inclusive), and lowercase English letters only.
The number of consecutive digits in s1 and s2 does not exceed 3.

"
second-minimum-time-to-reach-destination,Hard,77,77,28.8258,SUCCESS,47.0588,Accepted,True,"```python
from typing import List
import heapq

class Solution:
    def secondMinimum(self, n: int, edges: List[List[int]], time: int, change: int) -> int:
        graph = [[] for _ in range(n + 1)]
        for u, v in edges:
            graph[u].append(v)
            graph[v].append(u)
        
        min_times = [[float('inf')] * 2 for _ in range(n + 1)]
        min_times[1][0] = 0
        heap = []
        heapq.heappush(heap, (0, 1))
        
        while heap:
            current_time, node = heapq.heappop(heap)
            if node == n and current_time > min_times[n][0]:
                return current_time
            
            for neighbor in graph[node]:
                total_time = current_time
                if (total_time // change) % 2 == 1:
                    total_time += change - (total_time % change)
                total_time += time
                
                if total_time < min_times[neighbor][0]:
                    min_times[neighbor][1] = min_times[neighbor][0]
                    min_times[neighbor][0] = total_time
                    heapq.heappush(heap, (total_time, neighbor))
                elif min_times[neighbor][0] < total_time < min_times[neighbor][1]:
                    min_times[neighbor][1] = total_time
                    heapq.heappush(heap, (total_time, neighbor))
        
        return min_times[n][1]
```","A city is represented as a bi-directional connected graph with n vertices where each vertex is labeled from 1 to n (inclusive). The edges in the graph are represented as a 2D integer array edges, where each edges[i] = [ui, vi] denotes a bi-directional edge between vertex ui and vertex vi. Every vertex pair is connected by at most one edge, and no vertex has an edge to itself. The time taken to traverse any edge is time minutes.
Each vertex has a traffic signal which changes its color from green to red and vice versa every change minutes. All signals change at the same time. You can enter a vertex at any time, but can leave a vertex only when the signal is green. You cannot wait at a vertex if the signal is green.
The second minimum value is defined as the smallest value strictly larger than the minimum value.

For example the second minimum value of [2, 3, 4] is 3, and the second minimum value of [2, 2, 4] is 4.

Given n, edges, time, and change, return the second minimum time it will take to go from vertex 1 to vertex n.
Notes:

You can go through any vertex any number of times, including 1 and n.
You can assume that when the journey starts, all signals have just turned green.

 
Example 1:
        

Input: n = 5, edges = [[1,2],[1,3],[1,4],[3,4],[4,5]], time = 3, change = 5
Output: 13
Explanation:
The figure on the left shows the given graph.
The blue path in the figure on the right is the minimum time path.
The time taken is:
- Start at 1, time elapsed=0
- 1 -> 4: 3 minutes, time elapsed=3
- 4 -> 5: 3 minutes, time elapsed=6
Hence the minimum time needed is 6 minutes.

The red path shows the path to get the second minimum time.
- Start at 1, time elapsed=0
- 1 -> 3: 3 minutes, time elapsed=3
- 3 -> 4: 3 minutes, time elapsed=6
- Wait at 4 for 4 minutes, time elapsed=10
- 4 -> 5: 3 minutes, time elapsed=13
Hence the second minimum time is 13 minutes.      

Example 2:


Input: n = 2, edges = [[1,2]], time = 3, change = 2
Output: 11
Explanation:
The minimum time path is 1 -> 2 with time = 3 minutes.
The second minimum time path is 1 -> 2 -> 1 -> 2 with time = 11 minutes.
 
Constraints:

2 <= n <= 104
n - 1 <= edges.length <= min(2 * 104, n * (n - 1) / 2)
edges[i].length == 2
1 <= ui, vi <= n
ui != vi
There are no duplicate edges.
Each vertex can be reached directly or indirectly from every other vertex.
1 <= time, change <= 103

"
count-substrings-starting-and-ending-with-given-character,Medium,669,669,29.1469,SUCCESS,69.9052,Accepted,True,"```python
class Solution:
    def countSubstrings(self, s: str, c: str) -> int:
        count = s.count(c)
        return count * (count + 1) // 2
```","You are given a string s and a character c. Return the total number of substrings of s that start and end with c.
 
Example 1:

Input: s = ""abada"", c = ""a""
Output: 6
Explanation: Substrings starting and ending with ""a"" are: ""abada"", ""abada"", ""abada"", ""abada"", ""abada"", ""abada"".

Example 2:

Input: s = ""zzz"", c = ""z""
Output: 6
Explanation: There are a total of 6 substrings in s and all start and end with ""z"".

 
Constraints:

1 <= s.length <= 105
s and c consist only of lowercase English letters.

"
count-days-without-meetings,Medium,578,578,29.8999,SUCCESS,15.8949,Accepted,True,"```python
class Solution:
    def countDays(self, days: int, meetings: List[List[int]]) -> int:
        if not meetings:
            return days
        
        meetings.sort()
        
        merged = []
        for meeting in meetings:
            if not merged:
                merged.append(meeting)
            else:
                last_start, last_end = merged[-1]
                current_start, current_end = meeting
                if current_start <= last_end + 1:
                    new_start = last_start
                    new_end = max(last_end, current_end)
                    merged[-1] = [new_start, new_end]
                else:
                    merged.append(meeting)
        
        total_meeting_days = 0
        for interval in merged:
            start, end = interval
            total_meeting_days += end - start + 1
        
        return days - total_meeting_days
```","You are given a positive integer days representing the total number of days an employee is available for work (starting from day 1). You are also given a 2D array meetings of size n where, meetings[i] = [start_i, end_i] represents the starting and ending days of meeting i (inclusive).
Return the count of days when the employee is available for work but no meetings are scheduled.
Note: The meetings may overlap.
 
Example 1:

Input: days = 10, meetings = [[5,7],[1,3],[9,10]]
Output: 2
Explanation:
There is no meeting scheduled on the 4th and 8th days.

Example 2:

Input: days = 5, meetings = [[2,4],[1,3]]
Output: 1
Explanation:
There is no meeting scheduled on the 5th day.

Example 3:

Input: days = 6, meetings = [[1,6]]
Output: 0
Explanation:
Meetings are scheduled for all working days.

 
Constraints:

1 <= days <= 109
1 <= meetings.length <= 105
meetings[i].length == 2
1 <= meetings[i][0] <= meetings[i][1] <= days

"
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,Hard,31,31,30.1058,SUCCESS,68.8174,Accepted,True,"```python
class Solution:
    def numOfArrays(self, n: int, m: int, k: int) -> int:
        MOD = 10**9 + 7
        if k == 0:
            return 0
        
        dp = [[[0] * (m + 1) for _ in range(k + 1)] for __ in range(n + 1)]
        
        for num in range(1, m + 1):
            dp[1][1][num] = 1
        
        for i in range(2, n + 1):
            for cost in range(1, k + 1):
                for max_num in range(1, m + 1):
                    dp[i][cost][max_num] = dp[i - 1][cost][max_num] * max_num % MOD
                    for prev_max in range(1, max_num):
                        dp[i][cost][max_num] = (dp[i][cost][max_num] + dp[i - 1][cost - 1][prev_max]) % MOD
        
        total = 0
        for num in range(1, m + 1):
            total = (total + dp[n][k][num]) % MOD
        
        return total
```","You are given three integers n, m and k. Consider the following algorithm to find the maximum element of an array of positive integers:

You should build the array arr which has the following properties:

arr has exactly n integers.
1 <= arr[i] <= m where (0 <= i < n).
After applying the mentioned algorithm to arr, the value search_cost is equal to k.

Return the number of ways to build the array arr under the mentioned conditions. As the answer may grow large, the answer must be computed modulo 109 + 7.
 
Example 1:

Input: n = 2, m = 3, k = 1
Output: 6
Explanation: The possible arrays are [1, 1], [2, 1], [2, 2], [3, 1], [3, 2] [3, 3]

Example 2:

Input: n = 5, m = 2, k = 3
Output: 0
Explanation: There are no possible arrays that satisfy the mentioned conditions.

Example 3:

Input: n = 9, m = 1, k = 1
Output: 1
Explanation: The only possible array is [1, 1, 1, 1, 1, 1, 1, 1, 1]

 
Constraints:

1 <= n <= 50
1 <= m <= 100
0 <= k <= n

"
