slug,runtime_percentile_analysis,result_analysis,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed,difficulty,runtime_percentile,status_msg,Accepted
maximum-strength-of-k-disjoint-subarrays,37.7356,Accepted,802.0,802.0,46.0318,SUCCESS,98.4127,Accepted,True,Hard,22.3898,22.3887,Accepted
find-closest-number-to-zero,86.5683,Accepted,227.0,227.0,44.79,SUCCESS,74.2631,Accepted,True,Easy,22.7052,45.898,Accepted
longest-even-odd-subarray-with-threshold,84.6155,Accepted,6873.0,6873.0,96.5938,SUCCESS,8.7591,Accepted,True,Easy,22.8715,95.1339,Accepted
recover-the-original-array,,Wrong Answer,110.0,94.0,,SUCCESS,,Wrong Answer,True,Hard,23.8622,52.2726,Accepted
minimum-deletions-to-make-string-k-special,19.8234,Accepted,732.0,732.0,87.5,SUCCESS,44.8215,Accepted,True,Medium,24.21,72.63,Accepted
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,78.8239,Accepted,691.0,691.0,81.9637,SUCCESS,75.7991,Accepted,True,Medium,24.242,85.4545,Accepted
the-two-sneaky-numbers-of-digitville,100.0,Accepted,706.0,706.0,51.6667,SUCCESS,91.1594,Accepted,True,Easy,24.9852,99.1202,Accepted
maximum-product-difference-between-two-pairs,91.1196,Accepted,96.0,96.0,54.6207,SUCCESS,59.5971,Accepted,True,Easy,25.1457,60.1863,Accepted
longest-alternating-subarray,83.1169,Accepted,2880.0,2880.0,66.4834,SUCCESS,52.1978,Accepted,True,Easy,25.2741,76.3736,Accepted
sum-of-prefix-scores-of-strings,97.1888,Accepted,38.0,38.0,97.1076,SUCCESS,96.2811,Accepted,True,Hard,25.3375,10.4066,Accepted
minimum-number-of-operations-to-make-x-and-y-equal,34.2386,Accepted,948.0,948.0,28.2603,SUCCESS,33.6958,Accepted,True,Medium,25.3969,59.7884,Accepted
min-max-game,65.3125,Accepted,96.0,96.0,78.4983,SUCCESS,40.9556,Accepted,True,Easy,25.8171,40.8497,Accepted
make-three-strings-equal,27.1551,Accepted,1935.0,1935.0,100.0,SUCCESS,42.3208,Accepted,True,Easy,25.9385,92.1502,Accepted
neighboring-bitwise-xor,28.82,Accepted,1425.0,1425.0,31.0344,SUCCESS,97.2414,Accepted,True,Medium,26.1015,25.7626,Accepted
painting-a-grid-with-three-different-colors,94.4312,Accepted,84.0,84.0,94.5436,SUCCESS,55.5834,Accepted,True,Hard,26.5343,82.0956,Accepted
count-vowel-substrings-of-a-string,35.9869,Accepted,88.0,88.0,55.6039,SUCCESS,97.18,Accepted,True,Easy,27.0898,82.2388,Accepted
minimum-operations-to-write-the-letter-y-on-a-grid,84.77,Accepted,,,86.6,SUCCESS,89.81,Accepted,True,Medium,27.35,8.92,Accepted
create-sorted-array-through-instructions,20.1385,Accepted,65.0,65.0,26.0456,SUCCESS,60.9243,Accepted,True,Hard,27.5726,61.6217,Accepted
count-integers-with-even-digit-sum,100.0,Accepted,71.0,71.0,100.0,SUCCESS,19.8519,Accepted,True,Easy,27.77,89.2005,Accepted
clear-digits,27.5877,Accepted,688.0,688.0,27.989,SUCCESS,46.8319,Accepted,True,Easy,27.989,78.292,Accepted
count-square-sum-triples,88.9555,Accepted,91.0,91.0,93.6319,SUCCESS,34.9397,Accepted,True,Easy,28.7265,81.3285,Accepted
movement-of-robots,29.2032,Accepted,2567.0,2567.0,35.6584,SUCCESS,32.1703,Accepted,True,Medium,28.9161,5.2209,Accepted
longest-unequal-adjacent-groups-subsequence-ii,88.2839,Accepted,443.0,443.0,30.4066,SUCCESS,68.1255,Accepted,True,Medium,29.4491,68.076,Accepted
count-pairs-whose-sum-is-less-than-target,100.0,Accepted,707.0,707.0,100.0,SUCCESS,56.4174,Accepted,True,Easy,29.4609,56.4174,Accepted
count-ways-to-group-overlapping-ranges,19.3938,Accepted,32.0,32.0,39.6552,SUCCESS,15.5173,Accepted,True,Medium,30.058,10.9827,Accepted
minimum-penalty-for-a-shop,76.3443,Accepted,42.0,42.0,80.7769,SUCCESS,68.7379,Accepted,True,Medium,30.2923,12.0389,Accepted
maximize-amount-after-two-days-of-conversions,21.1696,Accepted,767.0,767.0,17.143,SUCCESS,44.4444,Accepted,True,Medium,30.5033,44.6541,Accepted
total-distance-traveled,45.283,Accepted,10000.0,10000.0,36.3035,SUCCESS,64.6864,Accepted,True,Easy,30.6929,64.6864,Accepted
most-frequent-prime,85.5071,Accepted,,,68.18,SUCCESS,43.18,Accepted,True,Medium,30.8265,66.9173,Accepted
construct-the-minimum-bitwise-array-i,,Wrong Answer,658.0,11.0,,SUCCESS,,Wrong Answer,True,Easy,30.8748,73.6111,Accepted
maximum-strictly-increasing-cells-in-a-matrix,87.5,Accepted,566.0,566.0,100.0,SUCCESS,59.722,Accepted,True,Hard,31.0792,43.2425,Accepted
maximize-number-of-nice-divisors,6.5789,Accepted,213.0,213.0,96.7135,SUCCESS,98.5915,Accepted,True,Hard,31.1111,41.1111,Accepted
count-subtrees-with-max-distance-between-cities,42.2517,Accepted,31.0,31.0,63.3914,SUCCESS,85.7142,Accepted,True,Hard,31.2473,85.7142,Accepted
minimum-number-of-operations-to-make-array-empty,28.7833,Accepted,748.0,748.0,16.4976,SUCCESS,98.8579,Accepted,True,Medium,31.549,31.5492,Accepted
sum-of-total-strength-of-wizards,21.8762,Accepted,82.0,82.0,27.5878,SUCCESS,78.736,Accepted,True,Hard,31.6374,79.6612,Accepted
the-score-of-students-solving-math-expression,23.5288,Accepted,274.0,274.0,40.0006,SUCCESS,66.6667,Accepted,True,Hard,31.708,78.0488,Accepted
difference-between-element-sum-and-digit-sum-of-an-array,91.0527,Accepted,142.0,142.0,60.2478,SUCCESS,8.2937,Accepted,True,Easy,31.8396,72.0822,Accepted
make-number-of-distinct-characters-equal,,Wrong Answer,99.0,97.0,,SUCCESS,,Wrong Answer,True,Medium,32.5306,59.0361,Accepted
count-pairs-of-similar-strings,83.7885,Accepted,225.0,225.0,98.4616,SUCCESS,9.0769,Accepted,True,Easy,32.5692,27.6759,Accepted
count-symmetric-integers,80.1422,Accepted,1967.0,1967.0,71.643,SUCCESS,11.1608,Accepted,True,Easy,32.5729,49.6624,Accepted
two-furthest-houses-with-different-colors,100.0,Accepted,126.0,126.0,100.0,SUCCESS,85.5026,Accepted,True,Easy,32.7749,57.1728,Accepted
second-minimum-time-to-reach-destination,30.5955,Accepted,77.0,77.0,33.1059,SUCCESS,54.7298,Accepted,True,Hard,32.9211,43.4782,Accepted
minimum-index-of-a-valid-split,35.9449,Accepted,917.0,917.0,65.0814,SUCCESS,92.915,Accepted,True,Medium,33.1755,46.9682,Accepted
last-day-where-you-can-still-cross,29.4425,Accepted,118.0,118.0,44.0027,SUCCESS,55.4286,Accepted,True,Hard,33.25,66.75,Accepted
maximize-greatness-of-an-array,46.8217,Accepted,1072.0,1072.0,68.1215,SUCCESS,32.1427,Accepted,True,Medium,33.2884,54.8994,Accepted
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,92.0865,Accepted,31.0,31.0,87.1427,SUCCESS,87.143,Accepted,True,Hard,33.3315,71.2118,Accepted
difference-between-ones-and-zeros-in-row-and-column,80.7188,Accepted,85.0,85.0,85.0876,SUCCESS,73.2454,Accepted,True,Medium,33.4737,68.6197,Accepted
average-value-of-even-numbers-that-are-divisible-by-three,43.2171,Accepted,181.0,181.0,100.0,SUCCESS,78.53,Accepted,True,Easy,33.5272,27.7132,Accepted
minimum-deletions-to-make-array-divisible,,Wrong Answer,49.0,49.0,25.4548,SUCCESS,7.4748,Accepted,True,Hard,34.0785,80.4469,Accepted
maximum-number-of-darts-inside-of-a-circular-dartboard,52.0544,Accepted,65.0,65.0,5.7481,SUCCESS,90.8046,Accepted,True,Hard,34.0899,79.5454,Accepted
difference-of-number-of-distinct-values-on-diagonals,40.19,Accepted,709.0,709.0,43.8351,SUCCESS,5.4795,Accepted,True,Medium,34.375,70.3125,Accepted
maximum-sum-of-distinct-subarrays-with-length-k,20.9962,Accepted,93.0,93.0,27.0878,SUCCESS,9.6121,Accepted,True,Medium,35.0124,63.1607,Accepted
minimum-time-to-remove-all-cars-containing-illegal-goods,20.3684,Accepted,89.0,89.0,38.8884,SUCCESS,52.7777,Accepted,True,Hard,35.1352,21.6217,Accepted
minimum-sum-of-mountain-triplets-i,72.14,Accepted,,,79.84,SUCCESS,17.77,Accepted,True,Easy,35.21,58.88,Accepted
check-if-an-original-string-exists-given-two-encoded-strings,52.2374,Accepted,215.0,215.0,56.3842,SUCCESS,67.3766,Accepted,True,Hard,35.2517,65.4231,Accepted
minimum-seconds-to-equalize-a-circular-array,86.842,Accepted,579.0,579.0,77.0496,SUCCESS,70.492,Accepted,True,Medium,35.3835,58.4616,Accepted
maximum-subsequence-score,88.4683,Accepted,28.0,28.0,84.915,SUCCESS,19.5283,Accepted,True,Medium,35.4399,86.3186,Accepted
maximum-square-area-by-removing-fences-from-a-field,70.643,Accepted,648.0,648.0,87.3064,SUCCESS,70.5881,Accepted,True,Medium,35.7118,51.7852,Accepted
count-days-without-meetings,57.9029,Accepted,578.0,578.0,27.4769,SUCCESS,53.5282,Accepted,True,Medium,35.78,26.551,Accepted
maximum-value-of-an-ordered-triplet-i,64.5163,Accepted,564.0,564.0,75.0914,SUCCESS,14.9158,Accepted,True,Easy,35.7936,14.9158,Accepted
maximum-sum-queries,67.19,Accepted,1415.0,1415.0,16.668,SUCCESS,12.501,Accepted,True,Hard,36.3644,18.1824,Accepted
count-palindromic-subsequences,70.7864,Accepted,63.0,63.0,72.2426,SUCCESS,18.4307,Accepted,True,Hard,36.4987,18.4922,Accepted
insert-greatest-common-divisors-in-linked-list,83.9808,Accepted,582.0,582.0,83.4745,SUCCESS,5.9929,Accepted,True,Medium,36.5944,95.2941,Accepted
count-substrings-that-satisfy-k-constraint-i,46.8691,Accepted,780.0,780.0,50.5863,SUCCESS,17.1876,Accepted,True,Easy,36.6224,18.9752,Accepted
match-substring-after-replacement,24.7188,Accepted,116.0,116.0,94.186,SUCCESS,6.9766,Accepted,True,Hard,37.0784,41.573,Accepted
count-subarrays-of-length-three-with-a-condition,94.186,Accepted,1691.0,1691.0,58.3539,SUCCESS,45.8456,Accepted,True,Easy,37.081,93.2328,Accepted
find-the-longest-balanced-substring-of-a-binary-string,35.3294,Accepted,1848.0,1848.0,36.9566,SUCCESS,17.9348,Accepted,True,Easy,37.1727,31.9371,Accepted
find-the-number-of-winning-players,94.7369,Accepted,839.0,839.0,77.9026,SUCCESS,27.3408,Accepted,True,Easy,37.4046,72.1375,Accepted
count-pairs-that-form-a-complete-day-ii,46.2582,Accepted,714.0,714.0,62.9127,SUCCESS,21.1918,Accepted,True,Medium,37.4183,6.4514,Accepted
find-score-of-an-array-after-marking-all-elements,63.9313,Accepted,1044.0,1044.0,46.0436,SUCCESS,51.1555,Accepted,True,Medium,37.7982,72.7426,Accepted
maximum-palindromes-after-operations,54.9291,Accepted,507.0,507.0,30.3368,SUCCESS,21.3483,Accepted,True,Medium,38.0432,65.2174,Accepted
find-valid-pair-of-adjacent-digits-in-string,77.6614,Accepted,826.0,826.0,73.59,SUCCESS,86.7502,Accepted,True,Easy,38.1985,86.9474,Accepted
minimum-operations-to-make-the-integer-zero,100.0,Accepted,,,100.0,SUCCESS,68.57,Accepted,True,Medium,38.3333,3.3333,Accepted
find-the-largest-area-of-square-inside-two-rectangles,67.1875,Accepted,661.0,127.0,,SUCCESS,,Wrong Answer,True,Medium,38.39,44.64,Accepted
sliding-subarray-beauty,92.6071,Accepted,717.0,717.0,98.4188,SUCCESS,41.8972,Accepted,True,Medium,39.2565,97.7779,Accepted
minimum-operations-to-make-the-array-increasing,87.4505,Accepted,94.0,94.0,57.0163,SUCCESS,76.9572,Accepted,True,Easy,39.2724,9.4103,Accepted
cycle-length-queries-in-a-tree,83.9512,Accepted,27.0,27.0,75.7288,SUCCESS,42.233,Accepted,True,Hard,39.3049,43.2837,Accepted
check-if-string-is-transformable-with-substring-sort-operations,36.0,Accepted,138.0,138.0,48.718,SUCCESS,67.5214,Accepted,True,Hard,39.3163,57.265,Accepted
find-the-length-of-the-longest-common-prefix,53.6702,Accepted,718.0,718.0,58.6869,SUCCESS,60.3282,Accepted,True,Medium,39.8676,56.1186,Accepted
minimum-number-of-removals-to-make-mountain-array,95.7806,Accepted,91.0,91.0,94.144,SUCCESS,40.5404,Accepted,True,Hard,39.9028,80.7692,Accepted
number-of-ways-to-earn-points,60.1058,Accepted,63.0,63.0,60.1122,SUCCESS,34.8315,Accepted,True,Hard,40.9648,97.5904,Accepted
transformed-array,7.3717,Accepted,695.0,695.0,51.3244,SUCCESS,47.0199,Accepted,True,Easy,41.4635,29.8103,Accepted
hash-divided-string,75.08,Accepted,,,61.99,SUCCESS,33.96,Accepted,True,Medium,41.83,54.9,Accepted
find-indices-with-index-and-value-difference-i,10.3773,Accepted,525.0,525.0,100.0,SUCCESS,37.766,Accepted,True,Easy,42.0212,64.0958,Accepted
distribute-repeating-integers,46.0522,Accepted,109.0,109.0,47.7622,SUCCESS,64.1791,Accepted,True,Hard,42.2519,76.0562,Accepted
defuse-the-bomb,100.0,Accepted,74.0,74.0,45.0951,SUCCESS,33.8338,Accepted,True,Easy,42.4908,53.4799,Accepted
minimum-time-to-complete-all-tasks,70.7302,Accepted,1059.0,1059.0,62.2002,SUCCESS,80.8612,Accepted,True,Hard,42.633,54.2105,Accepted
distribute-elements-into-two-arrays-ii,16.8832,Accepted,784.0,784.0,5.069,SUCCESS,99.0254,Accepted,True,Hard,42.8564,84.2857,Accepted
find-all-k-distant-indices-in-an-array,84.0546,Accepted,87.0,87.0,90.2676,SUCCESS,99.0268,Accepted,True,Easy,42.9271,27.317,Accepted
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,49.9991,Accepted,932.0,932.0,77.5512,SUCCESS,89.7959,Accepted,True,Medium,43.1368,9.8039,Accepted
find-the-n-th-value-after-k-seconds,62.2645,Accepted,708.0,708.0,67.1926,SUCCESS,69.5651,Accepted,True,Medium,44.2409,47.2727,Accepted
paths-in-matrix-whose-sum-is-divisible-by-k,,Wrong Answer,88.0,88.0,91.1105,SUCCESS,98.8888,Accepted,True,Hard,44.2541,67.8163,Accepted
find-if-digit-game-can-be-won,100.0,Accepted,897.0,897.0,100.0,SUCCESS,57.3375,Accepted,True,Easy,44.455,34.5023,Accepted
count-pairs-of-connectable-servers-in-a-weighted-tree-network,39.1284,Accepted,716.0,716.0,41.4142,SUCCESS,96.9697,Accepted,True,Medium,44.5632,100.0,Accepted
maximum-number-of-achievable-transfer-requests,41.48,Accepted,117.0,117.0,29.2002,SUCCESS,52.2124,Accepted,True,Hard,44.6174,72.3077,Accepted
find-special-substring-of-length-k,22.9298,Accepted,,,40.59,SUCCESS,37.46,Accepted,True,Easy,44.8231,86.1074,Accepted
count-of-substrings-containing-every-vowel-and-k-consonants-i,42.105,Accepted,815.0,815.0,34.9598,SUCCESS,7.3172,Accepted,True,Medium,45.0004,74.9999,Accepted
minimum-moves-to-spread-stones-over-grid,37.5816,Accepted,,,47.56,SUCCESS,87.11,Accepted,True,Medium,45.04,55.86,Accepted
number-of-beautiful-integers-in-the-range,59.2102,Accepted,,,50.55,SUCCESS,34.07,Accepted,True,Hard,45.16,43.01,Accepted
maximum-employees-to-be-invited-to-a-meeting,38.0323,Accepted,99.0,72.0,,SUCCESS,,Wrong Answer,True,Hard,45.2166,21.3033,Accepted
the-number-of-beautiful-subsets,44.2631,Accepted,1308.0,973.0,,SUCCESS,,Wrong Answer,True,Medium,45.3423,51.447,Accepted
minimum-element-after-replacement-with-digit-sum,58.62,Accepted,,,47.38,SUCCESS,21.94,Accepted,True,Easy,45.4428,21.4102,Accepted
shortest-impossible-sequence-of-rolls,41.4142,Accepted,65.0,65.0,74.0738,SUCCESS,7.4074,Accepted,True,Hard,45.4546,58.4416,Accepted
make-array-empty,62.5,Accepted,514.0,514.0,66.1967,SUCCESS,18.3091,Accepted,True,Hard,45.9448,68.9187,Accepted
sum-of-matrix-after-queries,98.8636,Accepted,2688.0,2688.0,100.0,SUCCESS,57.3333,Accepted,True,Medium,46.1535,38.4615,Accepted
find-x-sum-of-all-k-long-subarrays-i,66.29,Accepted,906.0,906.0,83.7175,SUCCESS,80.1152,Accepted,True,Easy,46.1958,97.0271,Accepted
remove-max-number-of-edges-to-keep-graph-fully-traversable,26.58,Accepted,,,20.0,SUCCESS,75.14,Accepted,True,Hard,46.29,89.71,Accepted
high-access-employees,61.0666,Accepted,1143.0,1143.0,35.8261,SUCCESS,83.8581,Accepted,True,Medium,46.3942,21.6345,Accepted
find-the-maximum-number-of-marked-indices,,Wrong Answer,68.0,64.0,,SUCCESS,,Wrong Answer,True,Medium,46.7067,32.3354,Accepted
minimum-levels-to-gain-more-points,23.5303,Accepted,855.0,855.0,25.3724,SUCCESS,35.0746,Accepted,True,Medium,46.9236,76.1539,Accepted
find-the-punishment-number-of-an-integer,12.677,Accepted,216.0,216.0,14.329,SUCCESS,51.6248,Accepted,True,Medium,46.9596,72.694,Accepted
maximum-number-of-distinct-elements-after-operations,53.7734,Accepted,633.0,633.0,63.13,SUCCESS,96.4646,Accepted,True,Medium,46.9678,79.2929,Accepted
right-triangles,64.3272,Accepted,637.0,637.0,52.9399,SUCCESS,51.8718,Accepted,True,Medium,46.9966,81.4208,Accepted
count-the-number-of-ideal-arrays,,Runtime Error,47.0,47.0,55.5739,SUCCESS,95.8589,Accepted,True,Hard,47.0484,18.2068,Accepted
