slug,total_testcases_fixed,total_correct_fixed,runtime_percentile_fixed,state_fixed,status_msg_fixed,memory_percentile_fixed,processed_fixed
minimum-absolute-difference-between-elements-with-constraint,,,91.81,SUCCESS,65.48,Accepted,TRUE
count-of-integers,,,,SUCCESS,,Wrong Answer,TRUE
painting-the-walls,,,99.05,SUCCESS,95.06,Accepted,TRUE
minimum-sum-of-mountain-triplets-ii,,,99.13,SUCCESS,51.09,Accepted,TRUE
zero-array-transformation-iv,,,,SUCCESS,,Wrong Answer,TRUE
maximum-and-minimum-sums-of-at-most-size-k-subsequences,,,,SUCCESS,,Wrong Answer,TRUE
find-minimum-time-to-reach-last-room-ii,,,,SUCCESS,,Wrong Answer,TRUE
minimum-cost-to-make-array-equalindromic,,,,SUCCESS,,Wrong Answer,TRUE
happy-students,,,54.9,SUCCESS,70.59,Accepted,TRUE
total-characters-in-string-after-transformations-ii,,,,SUCCESS,,Wrong Answer,TRUE
maximum-value-sum-by-placing-three-rooks-ii,,,,SUCCESS,,Wrong Answer,TRUE
find-building-where-alice-and-bob-can-meet,,,,SUCCESS,,Wrong Answer,TRUE
count-stepping-numbers-in-range,,,,SUCCESS,,Wrong Answer,TRUE
find-the-string-with-lcp,,,29.41,SUCCESS,64.71,Accepted,TRUE
longest-increasing-subsequence-ii,,,,SUCCESS,,Wrong Answer,TRUE
maximize-grid-happiness,,,,SUCCESS,,Wrong Answer,TRUE
paint-house-iii,,,75.52,SUCCESS,84.9,Accepted,TRUE
largest-number-after-digit-swaps-by-parity,238,238,100,SUCCESS,93.4599,Accepted,TRUE
smallest-divisible-digit-product-i,1000,1000,100,SUCCESS,93,Accepted,TRUE
minimize-xor,280,280,100,SUCCESS,5.7144,Accepted,TRUE
final-value-of-variable-after-performing-operations,,,100,SUCCESS,88.57,Accepted,TRUE
maximum-running-time-of-n-computers,52,52,71.9431,SUCCESS,53.9569,Accepted,TRUE
find-minimum-diameter-after-merging-two-trees,723,723,6.8019,SUCCESS,37.8658,Accepted,TRUE
split-the-array-to-make-coprime-products,75,75,5.109,SUCCESS,22.0572,Accepted,TRUE
count-the-number-of-fair-pairs,55,55,30.2211,SUCCESS,5.9788,Accepted,TRUE
maximize-score-of-numbers-in-ranges,686,686,11.2,SUCCESS,6.4,Accepted,TRUE
minimum-fuel-cost-to-report-to-the-capital,131,131,5.0021,SUCCESS,8.032,Accepted,TRUE
string-compression-ii,,,77.78,SUCCESS,5.98,Accepted,TRUE
distribute-elements-into-two-arrays-ii,784,784,5.069,SUCCESS,99.0254,Accepted,TRUE
maximum-number-of-operations-with-the-same-score-ii,549,549,6.2458,SUCCESS,49.106,Accepted,TRUE
type-of-triangle,704,704,100,SUCCESS,82.5761,Accepted,TRUE
range-product-queries-of-powers,70,70,9.5874,SUCCESS,34.2464,Accepted,TRUE
remove-letter-to-equalize-frequency,,,100,SUCCESS,98.07,Accepted,TRUE
prime-subtraction-operation,654,654,67.8379,SUCCESS,84.3244,Accepted,TRUE
find-the-minimum-possible-sum-of-a-beautiful-array,577,577,100,SUCCESS,41.5094,Accepted,TRUE
number-of-students-unable-to-eat-lunch,55,55,100,SUCCESS,38.7436,Accepted,TRUE
maximum-sum-queries,1415,1415,16.668,SUCCESS,12.501,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-i,382,382,100,SUCCESS,22.8007,Accepted,TRUE
form-smallest-number-from-two-digit-arrays,388,388,100,SUCCESS,51.0715,Accepted,TRUE
longest-palindromic-subsequence-after-at-most-k-operations,550,550,6.7039,SUCCESS,14.837,Accepted,TRUE
find-indices-with-index-and-value-difference-i,525,525,100,SUCCESS,37.766,Accepted,TRUE
clear-digits,688,688,27.989,SUCCESS,46.8319,Accepted,TRUE
minimum-amount-of-time-to-fill-cups,280,280,100,SUCCESS,51.8751,Accepted,TRUE
best-position-for-a-service-centre,56,56,87.2835,SUCCESS,61.2717,Accepted,TRUE
find-if-digit-game-can-be-won,897,897,100,SUCCESS,57.3375,Accepted,TRUE
maximize-number-of-nice-divisors,213,213,96.7135,SUCCESS,98.5915,Accepted,TRUE
maximum-number-of-moves-in-a-grid,814,814,21.9673,SUCCESS,92.0455,Accepted,TRUE
count-of-matches-in-tournament,200,200,75.8445,SUCCESS,92.0608,Accepted,TRUE
total-cost-to-hire-k-workers,163,163,17.7103,SUCCESS,18.0706,Accepted,TRUE
remove-methods-from-project,775,775,28.2052,SUCCESS,16.2394,Accepted,TRUE
divide-nodes-into-the-maximum-number-of-groups,57,57,41.2964,SUCCESS,50.1706,Accepted,TRUE
sum-of-all-subset-xor-totals,48,48,100,SUCCESS,21.8036,Accepted,TRUE
reverse-odd-levels-of-binary-tree,57,57,35.6109,SUCCESS,10.7717,Accepted,TRUE
count-pairs-whose-sum-is-less-than-target,707,707,100,SUCCESS,56.4174,Accepted,TRUE
apple-redistribution-into-boxes,565,565,100,SUCCESS,13.5393,Accepted,TRUE
maximize-amount-after-two-days-of-conversions,767,767,17.143,SUCCESS,44.4444,Accepted,TRUE
divide-an-array-into-subarrays-with-minimum-cost-i,988,988,100,SUCCESS,10.5932,Accepted,TRUE
find-closest-number-to-zero,227,227,44.79,SUCCESS,74.2631,Accepted,TRUE
count-complete-subarrays-in-an-array,1074,1074,69.9767,SUCCESS,7.833,Accepted,TRUE
minimum-number-of-operations-to-make-array-empty,748,748,16.4976,SUCCESS,98.8579,Accepted,TRUE
minimum-number-of-seconds-to-make-mountain-height-zero,571,571,87.2177,SUCCESS,82.7067,Accepted,TRUE
closest-nodes-queries-in-a-binary-search-tree,35,35,18.1814,SUCCESS,80.3031,Accepted,TRUE
maximum-and-sum-of-array,84,84,12.6738,SUCCESS,90.1406,Accepted,TRUE
number-of-black-blocks,2145,2145,9.6121,SUCCESS,20.704,Accepted,TRUE
count-increasing-quadruplets,121,121,18.5164,SUCCESS,9.2584,Accepted,TRUE
concatenation-of-array,92,92,100,SUCCESS,92.0439,Accepted,TRUE
most-popular-video-creator,86,86,60.7473,SUCCESS,66.3548,Accepted,TRUE
count-subtrees-with-max-distance-between-cities,31,31,63.3914,SUCCESS,85.7142,Accepted,TRUE
two-furthest-houses-with-different-colors,126,126,100,SUCCESS,85.5026,Accepted,TRUE
sum-of-total-strength-of-wizards,82,82,27.5878,SUCCESS,78.736,Accepted,TRUE
shortest-and-lexicographically-smallest-beautiful-string,674,674,25,SUCCESS,36.8182,Accepted,TRUE
count-the-number-of-good-nodes,621,621,5.9555,SUCCESS,17.8779,Accepted,TRUE
determine-if-a-cell-is-reachable-at-a-given-time,806,806,47.256,SUCCESS,13.8183,Accepted,TRUE
maximum-length-substring-with-two-occurrences,709,709,89.635,SUCCESS,55.3285,Accepted,TRUE
check-if-the-sentence-is-pangram,79,79,100,SUCCESS,31.6915,Accepted,TRUE
total-characters-in-string-after-transformations-i,824,824,34.875,SUCCESS,21.9034,Accepted,TRUE
count-ways-to-group-overlapping-ranges,32,32,39.6552,SUCCESS,15.5173,Accepted,TRUE
check-if-two-chessboard-squares-have-the-same-color,506,506,95.0853,SUCCESS,18.5496,Accepted,TRUE
maximum-possible-number-by-binary-concatenation,752,752,20.5609,SUCCESS,82.2429,Accepted,TRUE
substring-with-largest-variance,138,138,22.8955,SUCCESS,58.8785,Accepted,TRUE
make-k-subarray-sums-equal,1040,1040,14.2858,SUCCESS,90.1099,Accepted,TRUE
longest-strictly-increasing-or-strictly-decreasing-subarray,868,868,20.9929,SUCCESS,97.4469,Accepted,TRUE
second-largest-digit-in-a-string,301,301,44.4444,SUCCESS,97.0833,Accepted,TRUE
counting-words-with-a-given-prefix,95,95,100,SUCCESS,25.5918,Accepted,TRUE
minimum-impossible-or,73,73,46.0175,SUCCESS,49.5574,Accepted,TRUE
distribute-elements-into-two-arrays-i,622,622,21.3741,SUCCESS,10.6871,Accepted,TRUE
movement-of-robots,2567,2567,35.6584,SUCCESS,32.1703,Accepted,TRUE
count-the-number-of-complete-components,3356,3356,20.0938,SUCCESS,94.5269,Accepted,TRUE
count-k-subsequences-of-a-string-with-maximum-beauty,611,611,30.3573,SUCCESS,33.9286,Accepted,TRUE
find-the-losers-of-the-circular-game,1277,1277,74,SUCCESS,48,Accepted,TRUE
maximize-greatness-of-an-array,1072,1072,68.1215,SUCCESS,32.1427,Accepted,TRUE
maximum-element-sum-of-a-complete-subset-of-indices,663,663,35.2936,SUCCESS,50,Accepted,TRUE
substring-xor-queries,59,59,73.4696,SUCCESS,69.3879,Accepted,TRUE
maximum-strength-of-k-disjoint-subarrays,802,802,46.0318,SUCCESS,98.4127,Accepted,TRUE
sum-of-prefix-scores-of-strings,38,38,97.1076,SUCCESS,96.2811,Accepted,TRUE
maximal-score-after-applying-k-operations,40,40,77.5251,SUCCESS,31.9221,Accepted,TRUE
minimum-moves-to-convert-string,55,55,35.4497,SUCCESS,80.4233,Accepted,TRUE
minimize-the-total-price-of-the-trips,407,407,19.444,SUCCESS,63.8888,Accepted,TRUE
find-the-longest-semi-repetitive-substring,12264,12264,17.1875,SUCCESS,33.4375,Accepted,TRUE
furthest-point-from-origin,1252,1252,100,SUCCESS,36.0139,Accepted,TRUE
partition-array-into-two-arrays-to-minimize-sum-difference,201,201,5.1038,SUCCESS,46.5116,Accepted,TRUE
count-tested-devices-after-test-operations,520,520,100,SUCCESS,62.1701,Accepted,TRUE
maximum-strictly-increasing-cells-in-a-matrix,566,566,100,SUCCESS,59.722,Accepted,TRUE
minimum-penalty-for-a-shop,42,42,80.7769,SUCCESS,68.7379,Accepted,TRUE
check-if-all-characters-have-equal-number-of-occurrences,134,134,60.7401,SUCCESS,92.7496,Accepted,TRUE
count-subarrays-of-length-three-with-a-condition,1691,1691,58.3539,SUCCESS,45.8456,Accepted,TRUE
longest-even-odd-subarray-with-threshold,6873,6873,96.5938,SUCCESS,8.7591,Accepted,TRUE
count-integers-with-even-digit-sum,71,71,100,SUCCESS,19.8519,Accepted,TRUE
neighboring-bitwise-xor,1425,1425,31.0344,SUCCESS,97.2414,Accepted,TRUE
minimum-score-by-changing-two-elements,70,70,42.2222,SUCCESS,27.7778,Accepted,TRUE
count-items-matching-a-rule,92,92,100,SUCCESS,19.7051,Accepted,TRUE
create-sorted-array-through-instructions,65,65,26.0456,SUCCESS,60.9243,Accepted,TRUE
check-if-an-original-string-exists-given-two-encoded-strings,215,215,56.3842,SUCCESS,67.3766,Accepted,TRUE
second-minimum-time-to-reach-destination,77,77,33.1059,SUCCESS,54.7298,Accepted,TRUE
count-substrings-starting-and-ending-with-given-character,669,669,12.5998,SUCCESS,14.3541,Accepted,TRUE
count-days-without-meetings,578,578,27.4769,SUCCESS,53.5282,Accepted,TRUE
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,31,31,87.1427,SUCCESS,87.143,Accepted,TRUE
minimum-time-to-remove-all-cars-containing-illegal-goods,89,89,38.8884,SUCCESS,52.7777,Accepted,TRUE
count-symmetric-integers,1967,1967,71.643,SUCCESS,11.1608,Accepted,TRUE
maximum-number-of-achievable-transfer-requests,117,117,29.2002,SUCCESS,52.2124,Accepted,TRUE
find-the-original-typed-string-i,780,780,11.2851,SUCCESS,68.6519,Accepted,TRUE
count-beautiful-substrings-i,619,619,18.5435,SUCCESS,26.159,Accepted,TRUE
odd-string-difference,40,40,100,SUCCESS,88.4705,Accepted,TRUE
count-pairs-of-similar-strings,225,225,98.4616,SUCCESS,9.0769,Accepted,TRUE
minimum-number-of-removals-to-make-mountain-array,91,91,94.144,SUCCESS,40.5404,Accepted,TRUE
divisible-and-non-divisible-sums-difference,737,737,100,SUCCESS,21.462,Accepted,TRUE
find-the-longest-balanced-substring-of-a-binary-string,1848,1848,36.9566,SUCCESS,17.9348,Accepted,TRUE
minimum-index-of-a-valid-split,917,917,65.0814,SUCCESS,92.915,Accepted,TRUE
find-the-key-of-the-numbers,757,757,33.3333,SUCCESS,98.8604,Accepted,TRUE
difference-between-element-sum-and-digit-sum-of-an-array,142,142,60.2478,SUCCESS,8.2937,Accepted,TRUE
count-special-quadruplets,211,211,72.7599,SUCCESS,38.6495,Accepted,TRUE
count-square-sum-triples,91,91,93.6319,SUCCESS,34.9397,Accepted,TRUE
total-distance-traveled,10000,10000,36.3035,SUCCESS,64.6864,Accepted,TRUE
transformed-array,695,695,51.3244,SUCCESS,47.0199,Accepted,TRUE
sum-of-scores-of-built-strings,150,150,73.6109,SUCCESS,52.7778,Accepted,TRUE
find-words-containing-character,912,912,100,SUCCESS,40.129,Accepted,TRUE
last-day-where-you-can-still-cross,118,118,44.0027,SUCCESS,55.4286,Accepted,TRUE
time-needed-to-buy-tickets,65,65,60.7165,SUCCESS,57.195,Accepted,TRUE
maximum-value-of-an-ordered-triplet-i,564,564,75.0914,SUCCESS,14.9158,Accepted,TRUE
minimum-time-to-complete-all-tasks,1059,1059,62.2002,SUCCESS,80.8612,Accepted,TRUE
find-x-sum-of-all-k-long-subarrays-i,906,906,83.7175,SUCCESS,80.1152,Accepted,TRUE
maximum-units-on-a-truck,77,77,66.4446,SUCCESS,11.0519,Accepted,TRUE
match-substring-after-replacement,116,116,94.186,SUCCESS,6.9766,Accepted,TRUE
minimum-operations-to-make-the-array-k-increasing,90,90,45.0693,SUCCESS,21.1263,Accepted,TRUE
average-value-of-even-numbers-that-are-divisible-by-three,181,181,100,SUCCESS,78.53,Accepted,TRUE
count-pairs-that-form-a-complete-day-ii,714,714,62.9127,SUCCESS,21.1918,Accepted,TRUE
length-of-the-longest-valid-substring,763,763,74.7438,SUCCESS,90.785,Accepted,TRUE
difference-of-number-of-distinct-values-on-diagonals,709,709,43.8351,SUCCESS,5.4795,Accepted,TRUE
defuse-the-bomb,74,74,45.0951,SUCCESS,33.8338,Accepted,TRUE
count-subarrays-with-score-less-than-k,167,167,69.4372,SUCCESS,63.7948,Accepted,TRUE
merge-similar-items,49,49,41.637,SUCCESS,80.4271,Accepted,TRUE
distribute-repeating-integers,109,109,47.7622,SUCCESS,64.1791,Accepted,TRUE
number-of-changing-keys,802,802,14.0115,SUCCESS,34.357,Accepted,TRUE
semi-ordered-permutation,1977,1977,100,SUCCESS,79.2308,Accepted,TRUE
substrings-of-size-three-with-distinct-characters,160,160,100,SUCCESS,50.3504,Accepted,TRUE
stone-game-viii,78,78,68.0847,SUCCESS,65.9573,Accepted,TRUE
maximum-number-of-darts-inside-of-a-circular-dartboard,65,65,5.7481,SUCCESS,90.8046,Accepted,TRUE
maximum-height-of-a-triangle,857,857,55.1547,SUCCESS,56.701,Accepted,TRUE
minimum-number-of-operations-to-sort-a-binary-tree-by-level,146,146,26.6,SUCCESS,33.6,Accepted,TRUE
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,932,932,77.5512,SUCCESS,89.7959,Accepted,TRUE
maximum-sum-of-distinct-subarrays-with-length-k,93,93,27.0878,SUCCESS,9.6121,Accepted,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-i,815,815,34.9598,SUCCESS,7.3172,Accepted,TRUE
difference-between-ones-and-zeros-in-row-and-column,85,85,85.0876,SUCCESS,73.2454,Accepted,TRUE
split-strings-by-separator,1036,1036,17.9357,SUCCESS,63.9595,Accepted,TRUE
find-the-sum-of-the-power-of-all-subsequences,577,577,50.7242,SUCCESS,72.4637,Accepted,TRUE
find-the-number-of-winning-players,839,839,77.9026,SUCCESS,27.3408,Accepted,TRUE
choose-k-elements-with-maximum-sum,635,635,78.7863,SUCCESS,97.4746,Accepted,TRUE
longest-subarray-with-maximum-bitwise-and,52,52,89.6771,SUCCESS,77.4192,Accepted,TRUE
maximize-happiness-of-selected-children,674,674,98.8826,SUCCESS,17.3183,Accepted,TRUE
count-palindromic-subsequences,63,63,72.2426,SUCCESS,18.4307,Accepted,TRUE
count-the-number-of-good-subarrays,41,41,60.4545,SUCCESS,37.1505,Accepted,TRUE
minimum-equal-sum-of-two-arrays-after-replacing-zeros,638,638,5.0572,SUCCESS,64.5482,Accepted,TRUE
maximum-building-height,50,50,60.4648,SUCCESS,100,Accepted,TRUE
find-the-length-of-the-longest-common-prefix,718,718,58.6869,SUCCESS,60.3282,Accepted,TRUE
find-all-k-distant-indices-in-an-array,87,87,90.2676,SUCCESS,99.0268,Accepted,TRUE
visit-array-positions-to-maximize-score,744,744,49.0568,SUCCESS,87.4214,Accepted,TRUE
number-of-ways-to-earn-points,63,63,60.1122,SUCCESS,34.8315,Accepted,TRUE
longest-alternating-subarray,2880,2880,66.4834,SUCCESS,52.1978,Accepted,TRUE
find-xor-beauty-of-array,32,32,64.0816,SUCCESS,92.2449,Accepted,TRUE
find-the-pivot-integer,428,428,100,SUCCESS,62.3791,Accepted,TRUE
sliding-subarray-beauty,717,717,98.4188,SUCCESS,41.8972,Accepted,TRUE
minimum-time-to-visit-disappearing-nodes,534,534,45.407,SUCCESS,28.1089,Accepted,TRUE
insert-greatest-common-divisors-in-linked-list,582,582,83.4745,SUCCESS,5.9929,Accepted,TRUE
minimum-seconds-to-equalize-a-circular-array,579,579,77.0496,SUCCESS,70.492,Accepted,TRUE
the-score-of-students-solving-math-expression,274,274,40.0006,SUCCESS,66.6667,Accepted,TRUE
maximum-score-of-a-good-subarray,73,73,97.6192,SUCCESS,47.0239,Accepted,TRUE
maximum-palindromes-after-operations,507,507,30.3368,SUCCESS,21.3483,Accepted,TRUE
maximum-tastiness-of-candy-basket,40,40,30.205,SUCCESS,42.6396,Accepted,TRUE
the-two-sneaky-numbers-of-digitville,706,706,51.6667,SUCCESS,91.1594,Accepted,TRUE
count-equal-and-divisible-pairs-in-an-array,238,238,96.5423,SUCCESS,9.1023,Accepted,TRUE
high-access-employees,1143,1143,35.8261,SUCCESS,83.8581,Accepted,TRUE
minimum-number-of-operations-to-make-x-and-y-equal,948,948,28.2603,SUCCESS,33.6958,Accepted,TRUE
count-the-number-of-ideal-arrays,47,47,55.5739,SUCCESS,95.8589,Accepted,TRUE
find-missing-and-repeated-values,584,584,83.1553,SUCCESS,85.6615,Accepted,TRUE
meeting-rooms-iii,81,81,43.403,SUCCESS,67.4867,Accepted,TRUE
find-the-substring-with-maximum-cost,1054,1054,77.9335,SUCCESS,57.7464,Accepted,TRUE
cycle-length-queries-in-a-tree,27,27,75.7288,SUCCESS,42.233,Accepted,TRUE
find-the-punishment-number-of-an-integer,216,216,14.329,SUCCESS,51.6248,Accepted,TRUE
subarray-with-elements-greater-than-varying-threshold,68,68,52.2523,SUCCESS,55.8559,Accepted,TRUE
find-score-of-an-array-after-marking-all-elements,1044,1044,46.0436,SUCCESS,51.1555,Accepted,TRUE
permutation-difference-between-two-strings,823,823,100,SUCCESS,51.0774,Accepted,TRUE
make-lexicographically-smallest-array-by-swapping-elements,523,523,50.25,SUCCESS,99.25,Accepted,TRUE
minimum-number-of-operations-to-make-word-k-periodic,820,820,64.4447,SUCCESS,72.2223,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-ii,443,443,30.4066,SUCCESS,68.1255,Accepted,TRUE
valid-arrangement-of-pairs,40,40,21.063,SUCCESS,16.973,Accepted,TRUE
check-if-every-row-and-column-contains-all-numbers,227,227,77.3199,SUCCESS,54.7422,Accepted,TRUE
maximum-number-of-integers-to-choose-from-a-range-i,208,208,99.5695,SUCCESS,5.3083,Accepted,TRUE
shortest-impossible-sequence-of-rolls,65,65,74.0738,SUCCESS,7.4074,Accepted,TRUE
count-substrings-that-satisfy-k-constraint-i,780,780,50.5863,SUCCESS,17.1876,Accepted,TRUE
count-pairs-of-connectable-servers-in-a-weighted-tree-network,716,716,41.4142,SUCCESS,96.9697,Accepted,TRUE
minimum-changes-to-make-alternating-binary-string,89,89,36.4654,SUCCESS,63.7585,Accepted,TRUE
find-the-maximum-factor-score-of-array,752,752,96.8085,SUCCESS,6.383,Accepted,TRUE
minimum-deletions-to-make-array-divisible,49,49,25.4548,SUCCESS,7.4748,Accepted,TRUE
check-balanced-string,868,868,52.7335,SUCCESS,20.8428,Accepted,TRUE
determine-the-minimum-sum-of-a-k-avoiding-array,2502,2502,57.7922,SUCCESS,88.3116,Accepted,TRUE
minimum-levels-to-gain-more-points,855,855,25.3724,SUCCESS,35.0746,Accepted,TRUE
maximum-subsequence-score,28,28,84.915,SUCCESS,19.5283,Accepted,TRUE
find-champion-ii,758,758,81.8872,SUCCESS,52.6031,Accepted,TRUE
find-the-first-player-to-win-k-games-in-a-row,684,684,60.8693,SUCCESS,33.0435,Accepted,TRUE
cat-and-mouse-ii,180,180,29.3108,SUCCESS,31.0347,Accepted,TRUE
special-array-ii,536,536,90.689,SUCCESS,41.8994,Accepted,TRUE
snake-in-matrix,983,983,100,SUCCESS,79.6095,Accepted,TRUE
count-paths-that-can-form-a-palindrome-in-a-tree,666,666,36.9569,SUCCESS,17.3917,Accepted,TRUE
find-number-of-ways-to-reach-the-k-th-stair,600,600,28.3016,SUCCESS,49.9999,Accepted,TRUE
minimum-number-of-increments-on-subarrays-to-form-a-target-array,129,129,54.1996,SUCCESS,31.5371,Accepted,TRUE
find-the-original-array-of-prefix-xor,46,46,18.0142,SUCCESS,13.475,Accepted,TRUE
minimize-string-length,5013,5013,42.449,SUCCESS,50.8163,Accepted,TRUE
minimize-maximum-of-array,68,68,66.6658,SUCCESS,88.5572,Accepted,TRUE
minimize-the-maximum-difference-of-pairs,1582,1582,57.9481,SUCCESS,37.8091,Accepted,TRUE
count-vowel-substrings-of-a-string,88,88,55.6039,SUCCESS,97.18,Accepted,TRUE
find-the-n-th-value-after-k-seconds,708,708,67.1926,SUCCESS,69.5651,Accepted,TRUE
find-all-good-indices,68,68,41.9351,SUCCESS,34.8382,Accepted,TRUE
maximum-energy-boost-from-two-drinks,563,563,76.8203,SUCCESS,80.1324,Accepted,TRUE
collecting-chocolates,2564,2564,79.105,SUCCESS,70.1493,Accepted,TRUE
sum-of-number-and-its-reverse,258,258,50.7791,SUCCESS,49.2228,Accepted,TRUE
painting-a-grid-with-three-different-colors,84,84,94.5436,SUCCESS,55.5834,Accepted,TRUE
maximum-number-of-robots-within-budget,82,82,47.1308,SUCCESS,91.5212,Accepted,TRUE
apply-operations-on-array-to-maximize-sum-of-squares,918,918,56.25,SUCCESS,53.125,Accepted,TRUE
find-the-k-th-character-in-string-game-i,502,502,100,SUCCESS,64,Accepted,TRUE
merge-bsts-to-create-single-bst,475,475,37.037,SUCCESS,94.7089,Accepted,TRUE
find-the-longest-equal-subarray,1422,1422,60.473,SUCCESS,35.5728,Accepted,TRUE
