slug,total_testcases_analysis,total_correct_analysis,runtime_percentile_analysis,state,status_msg_analysis,result_analysis,processed
movement-of-robots,2567,2567,29.2032,SUCCESS,43.3628,Accepted,TRUE
count-the-number-of-complete-components,3356,3356,30.012,SUCCESS,36.6552,Accepted,TRUE
count-k-subsequences-of-a-string-with-maximum-beauty,611,611,20.7545,SUCCESS,88.6792,Accepted,TRUE
find-the-losers-of-the-circular-game,1277,1277,74.4565,SUCCESS,82.0653,Accepted,TRUE
maximize-greatness-of-an-array,1072,1072,46.8217,SUCCESS,21.2404,Accepted,TRUE
maximum-element-sum-of-a-complete-subset-of-indices,663,663,46.8076,SUCCESS,48.9361,Accepted,TRUE
recover-the-original-array,110,94,,SUCCESS,,Wrong Answer,TRUE
substring-xor-queries,59,59,66.6667,SUCCESS,61.9048,Accepted,TRUE
maximum-strength-of-k-disjoint-subarrays,802,802,37.7356,SUCCESS,92.4528,Accepted,TRUE
sum-of-prefix-scores-of-strings,38,38,97.1888,SUCCESS,93.976,Accepted,TRUE
maximal-score-after-applying-k-operations,40,40,83.1169,SUCCESS,89.1775,Accepted,TRUE
minimum-moves-to-convert-string,55,55,100,SUCCESS,97.8673,Accepted,TRUE
minimize-the-total-price-of-the-trips,407,407,86.2068,SUCCESS,70.6897,Accepted,TRUE
find-the-longest-semi-repetitive-substring,12264,12264,5.1206,SUCCESS,16.8675,Accepted,TRUE
furthest-point-from-origin,1252,1252,5.7878,SUCCESS,37.2992,Accepted,TRUE
partition-array-into-two-arrays-to-minimize-sum-difference,201,201,23.1331,SUCCESS,44.7917,Accepted,TRUE
count-tested-devices-after-test-operations,520,520,100,SUCCESS,15.7738,Accepted,TRUE
maximum-strictly-increasing-cells-in-a-matrix,566,566,87.5,SUCCESS,54.6875,Accepted,TRUE
minimum-penalty-for-a-shop,42,42,76.3443,SUCCESS,79.3906,Accepted,TRUE
check-if-all-characters-have-equal-number-of-occurrences,134,134,70.1406,SUCCESS,73.9699,Accepted,TRUE
count-subarrays-of-length-three-with-a-condition,1691,1691,94.186,SUCCESS,25.4152,Accepted,TRUE
longest-even-odd-subarray-with-threshold,6873,6873,84.6155,SUCCESS,9.4231,Accepted,TRUE
count-integers-with-even-digit-sum,71,71,100,SUCCESS,89.7436,Accepted,TRUE
minimum-score-by-changing-two-elements,70,70,55.4347,SUCCESS,18.4782,Accepted,TRUE
booking-concert-tickets-in-groups,97,97,50.9432,SUCCESS,56.6036,Accepted,TRUE
count-items-matching-a-rule,92,92,5.37,SUCCESS,17.7804,Accepted,TRUE
create-sorted-array-through-instructions,65,65,20.1385,SUCCESS,51.0067,Accepted,TRUE
check-if-an-original-string-exists-given-two-encoded-strings,215,215,52.2374,SUCCESS,77.6118,Accepted,TRUE
second-minimum-time-to-reach-destination,77,77,30.5955,SUCCESS,44.0298,Accepted,TRUE
count-substrings-starting-and-ending-with-given-character,669,669,49.4184,SUCCESS,98.8372,Accepted,TRUE
count-days-without-meetings,578,578,57.9029,SUCCESS,26.5668,Accepted,TRUE
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,31,31,92.0865,SUCCESS,95.6836,Accepted,TRUE
minimum-time-to-remove-all-cars-containing-illegal-goods,89,89,20.3684,SUCCESS,14.8144,Accepted,TRUE
count-symmetric-integers,1967,1967,80.1422,SUCCESS,94.9589,Accepted,TRUE
find-the-original-typed-string-i,780,780,71.5576,SUCCESS,46.699,Accepted,TRUE
count-beautiful-substrings-i,619,619,39.8455,SUCCESS,11.7188,Accepted,TRUE
odd-string-difference,40,40,100,SUCCESS,23.1198,Accepted,TRUE
count-pairs-of-similar-strings,225,225,83.7885,SUCCESS,9.727,Accepted,TRUE
minimum-number-of-removals-to-make-mountain-array,91,91,95.7806,SUCCESS,81.8565,Accepted,TRUE
divisible-and-non-divisible-sums-difference,737,737,100,SUCCESS,41.0577,Accepted,TRUE
find-the-longest-balanced-substring-of-a-binary-string,1848,1848,35.3294,SUCCESS,14.9701,Accepted,TRUE
minimum-index-of-a-valid-split,917,917,35.9449,SUCCESS,46.5438,Accepted,TRUE
find-the-key-of-the-numbers,757,757,100,SUCCESS,65.1786,Accepted,TRUE
difference-between-element-sum-and-digit-sum-of-an-array,142,142,91.0527,SUCCESS,27.0395,Accepted,TRUE
count-special-quadruplets,211,211,77.3607,SUCCESS,16.3992,Accepted,TRUE
count-square-sum-triples,91,91,88.9555,SUCCESS,55.0296,Accepted,TRUE
total-distance-traveled,10000,10000,45.283,SUCCESS,19.2453,Accepted,TRUE
transformed-array,695,695,7.3717,SUCCESS,29.1666,Accepted,TRUE
maximum-employees-to-be-invited-to-a-meeting,99,99,38.0323,SUCCESS,33.1129,Accepted,TRUE
sum-of-scores-of-built-strings,150,150,35.2936,SUCCESS,58.8235,Accepted,TRUE
find-words-containing-character,912,912,14.993,SUCCESS,98.8654,Accepted,TRUE
last-day-where-you-can-still-cross,118,118,29.4425,SUCCESS,61.6525,Accepted,TRUE
time-needed-to-buy-tickets,65,65,56.5537,SUCCESS,86.5536,Accepted,TRUE
maximum-value-of-an-ordered-triplet-i,564,564,64.5163,SUCCESS,55.5719,Accepted,TRUE
minimum-time-to-complete-all-tasks,1059,1059,70.7302,SUCCESS,10.3658,Accepted,TRUE
maximum-units-on-a-truck,77,77,79.4883,SUCCESS,32.9069,Accepted,TRUE
divide-intervals-into-minimum-number-of-groups,35,35,34.4278,SUCCESS,70.9017,Accepted,TRUE
match-substring-after-replacement,117,117,24.7188,SUCCESS,85.3933,Accepted,TRUE
minimum-operations-to-make-the-array-k-increasing,90,90,37.3339,SUCCESS,48,Accepted,TRUE
average-value-of-even-numbers-that-are-divisible-by-three,181,181,43.2171,SUCCESS,23.2558,Accepted,TRUE
count-pairs-that-form-a-complete-day-ii,714,714,46.2582,SUCCESS,9.5238,Accepted,TRUE
length-of-the-longest-valid-substring,763,763,54.8785,SUCCESS,41.057,Accepted,TRUE
the-number-of-beautiful-subsets,1308,1308,44.2631,SUCCESS,53.8279,Accepted,TRUE
defuse-the-bomb,74,74,100,SUCCESS,52.6947,Accepted,TRUE
count-subarrays-with-score-less-than-k,167,167,81.3282,SUCCESS,64.9911,Accepted,TRUE
merge-similar-items,49,49,78.0357,SUCCESS,81.2499,Accepted,TRUE
distribute-repeating-integers,109,109,46.0522,SUCCESS,57.8947,Accepted,TRUE
number-of-changing-keys,802,802,100,SUCCESS,79.3103,Accepted,TRUE
semi-ordered-permutation,1977,1977,100,SUCCESS,84.3283,Accepted,TRUE
substrings-of-size-three-with-distinct-characters,160,160,54.4599,SUCCESS,96.2349,Accepted,TRUE
stone-game-viii,78,78,42.0283,SUCCESS,88.4057,Accepted,TRUE
maximum-number-of-darts-inside-of-a-circular-dartboard,65,65,52.0544,SUCCESS,84.9315,Accepted,TRUE
maximum-height-of-a-triangle,857,857,70.8331,SUCCESS,60.1852,Accepted,TRUE
minimum-number-of-operations-to-sort-a-binary-tree-by-level,146,146,27.7776,SUCCESS,33.3333,Accepted,TRUE
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,932,932,49.9991,SUCCESS,75,Accepted,TRUE
maximum-sum-of-distinct-subarrays-with-length-k,93,93,20.9962,SUCCESS,10.5259,Accepted,TRUE
count-of-substrings-containing-every-vowel-and-k-consonants-i,815,815,42.105,SUCCESS,64.4737,Accepted,TRUE
difference-between-ones-and-zeros-in-row-and-column,85,85,80.7188,SUCCESS,69.6076,Accepted,TRUE
split-strings-by-separator,1036,1036,7.4554,SUCCESS,21.0696,Accepted,TRUE
find-the-sum-of-the-power-of-all-subsequences,577,577,42.6964,SUCCESS,76.4044,Accepted,TRUE
find-the-number-of-winning-players,839,839,94.7369,SUCCESS,23.1579,Accepted,TRUE
design-an-ordered-stream,101,101,88.785,SUCCESS,76.6355,Accepted,TRUE
choose-k-elements-with-maximum-sum,635,0,,SUCCESS,,Runtime Error,TRUE
most-frequent-prime,974,974,85.5071,SUCCESS,46.3768,Accepted,TRUE
longest-subarray-with-maximum-bitwise-and,52,52,88.5059,SUCCESS,95.977,Accepted,TRUE
minimum-space-wasted-from-packaging,42,42,31.9154,SUCCESS,35.1066,Accepted,TRUE
maximize-happiness-of-selected-children,674,674,33.8017,SUCCESS,36.6197,Accepted,TRUE
count-palindromic-subsequences,63,63,70.7864,SUCCESS,12.8931,Accepted,TRUE
count-the-number-of-good-subarrays,41,41,49.5112,SUCCESS,38.2736,Accepted,TRUE
minimum-equal-sum-of-two-arrays-after-replacing-zeros,638,638,64.4284,SUCCESS,64.5175,Accepted,TRUE
sum-of-imbalance-numbers-of-all-subarrays,1303,1303,55.2629,SUCCESS,15.7894,Accepted,TRUE
maximum-building-height,50,50,39.0249,SUCCESS,56.0975,Accepted,TRUE
find-the-length-of-the-longest-common-prefix,718,718,53.6702,SUCCESS,61.1299,Accepted,TRUE
find-all-k-distant-indices-in-an-array,87,87,84.0546,SUCCESS,42.3811,Accepted,TRUE
visit-array-positions-to-maximize-score,744,744,59.0898,SUCCESS,66.6666,Accepted,TRUE
number-of-ways-to-earn-points,63,63,60.1058,SUCCESS,92.7462,Accepted,TRUE
longest-alternating-subarray,2880,2880,83.1169,SUCCESS,51.5152,Accepted,TRUE
find-xor-beauty-of-array,32,32,61.2245,SUCCESS,58.5035,Accepted,TRUE
find-the-pivot-integer,428,428,100,SUCCESS,37.42,Accepted,TRUE
sliding-subarray-beauty,717,717,92.6071,SUCCESS,96.4981,Accepted,TRUE
insert-greatest-common-divisors-in-linked-list,582,582,83.9808,SUCCESS,48.1108,Accepted,TRUE
minimum-seconds-to-equalize-a-circular-array,579,579,86.842,SUCCESS,42.1052,Accepted,TRUE
the-score-of-students-solving-math-expression,274,274,23.5288,SUCCESS,69.1176,Accepted,TRUE
maximum-score-of-a-good-subarray,73,73,90.5674,SUCCESS,46.6308,Accepted,TRUE
minimum-operations-to-make-the-integer-zero,542,542,100,SUCCESS,22.3529,Accepted,TRUE
maximum-palindromes-after-operations,507,507,54.9291,SUCCESS,84.5069,Accepted,TRUE
maximum-tastiness-of-candy-basket,40,40,43.3213,SUCCESS,80.819,Accepted,TRUE
the-two-sneaky-numbers-of-digitville,706,706,100,SUCCESS,66.4515,Accepted,TRUE
find-the-maximum-number-of-marked-indices,68,64,,SUCCESS,,Wrong Answer,TRUE
count-equal-and-divisible-pairs-in-an-array,238,238,96.6148,SUCCESS,47.3935,Accepted,TRUE
high-access-employees,1143,1143,61.0666,SUCCESS,85.3333,Accepted,TRUE
find-the-largest-area-of-square-inside-two-rectangles,661,661,67.1875,SUCCESS,14.0625,Accepted,TRUE
minimum-number-of-operations-to-make-x-and-y-equal,948,948,34.2386,SUCCESS,66.8476,Accepted,TRUE
count-the-number-of-ideal-arrays,47,0,,SUCCESS,,Runtime Error,TRUE
find-missing-and-repeated-values,584,584,68.2905,SUCCESS,85.812,Accepted,TRUE
meeting-rooms-iii,81,81,77.7605,SUCCESS,12.2843,Accepted,TRUE
find-the-substring-with-maximum-cost,1054,1054,70.8995,SUCCESS,50.2646,Accepted,TRUE
cycle-length-queries-in-a-tree,27,27,83.9512,SUCCESS,83.1276,Accepted,TRUE
find-the-punishment-number-of-an-integer,216,216,12.677,SUCCESS,73.4615,Accepted,TRUE
subarray-with-elements-greater-than-varying-threshold,68,68,46.8363,SUCCESS,62.0253,Accepted,TRUE
find-score-of-an-array-after-marking-all-elements,1044,1044,63.9313,SUCCESS,55.3576,Accepted,TRUE
permutation-difference-between-two-strings,823,823,100,SUCCESS,84.1015,Accepted,TRUE
make-lexicographically-smallest-array-by-swapping-elements,523,523,60.5389,SUCCESS,95.0414,Accepted,TRUE
minimum-moves-to-spread-stones-over-grid,611,611,37.5816,SUCCESS,87.2613,Accepted,TRUE
minimum-number-of-operations-to-make-word-k-periodic,820,820,42.9757,SUCCESS,10.7441,Accepted,TRUE
longest-unequal-adjacent-groups-subsequence-ii,443,443,88.2839,SUCCESS,87.9688,Accepted,TRUE
valid-arrangement-of-pairs,41,41,54.5035,SUCCESS,31.7551,Accepted,TRUE
check-if-every-row-and-column-contains-all-numbers,227,227,50.9324,SUCCESS,37.9783,Accepted,TRUE
maximum-number-of-integers-to-choose-from-a-range-i,208,208,63.1576,SUCCESS,35.4384,Accepted,TRUE
shortest-impossible-sequence-of-rolls,65,65,41.4142,SUCCESS,23.2324,Accepted,TRUE
count-substrings-that-satisfy-k-constraint-i,780,780,46.8691,SUCCESS,16.6983,Accepted,TRUE
count-pairs-of-connectable-servers-in-a-weighted-tree-network,716,716,39.1284,SUCCESS,98.913,Accepted,TRUE
minimum-changes-to-make-alternating-binary-string,89,89,60.5261,SUCCESS,63.5965,Accepted,TRUE
maximum-difference-between-adjacent-elements-in-a-circular-array,962,962,100,SUCCESS,55.4964,Accepted,TRUE
find-special-substring-of-length-k,812,812,22.9298,SUCCESS,15.2866,Accepted,TRUE
find-the-maximum-factor-score-of-array,752,752,93.6709,SUCCESS,46.8354,Accepted,TRUE
minimum-deletions-to-make-array-divisible,49,43,,SUCCESS,,Wrong Answer,TRUE
check-balanced-string,868,868,100,SUCCESS,20.9359,Accepted,TRUE
determine-the-minimum-sum-of-a-k-avoiding-array,2502,2502,53.3334,SUCCESS,37.7778,Accepted,TRUE
minimum-levels-to-gain-more-points,855,855,23.5303,SUCCESS,21.8489,Accepted,TRUE
maximum-subsequence-score,28,28,88.4683,SUCCESS,29.0204,Accepted,TRUE
find-champion-ii,758,758,76.6094,SUCCESS,52.1459,Accepted,TRUE
find-the-first-player-to-win-k-games-in-a-row,684,684,75.3519,SUCCESS,85.2113,Accepted,TRUE
cat-and-mouse-ii,180,180,5.8135,SUCCESS,26.744,Accepted,TRUE
special-array-ii,536,536,91.4754,SUCCESS,84.2623,Accepted,TRUE
snake-in-matrix,983,983,43.3021,SUCCESS,30.8411,Accepted,TRUE
count-paths-that-can-form-a-palindrome-in-a-tree,666,666,21.4271,SUCCESS,23.8086,Accepted,TRUE
find-number-of-ways-to-reach-the-k-th-stair,600,600,34.2854,SUCCESS,35.2379,Accepted,TRUE
minimum-number-of-increments-on-subarrays-to-form-a-target-array,129,129,93.1696,SUCCESS,32.787,Accepted,TRUE
find-the-original-array-of-prefix-xor,46,46,49.7696,SUCCESS,51.4596,Accepted,TRUE
minimize-string-length,5013,5013,69.2759,SUCCESS,49.3151,Accepted,TRUE
minimize-maximum-of-array,68,68,59.4523,SUCCESS,85.5722,Accepted,TRUE
minimize-the-maximum-difference-of-pairs,1582,1582,39.0175,SUCCESS,10.106,Accepted,TRUE
count-vowel-substrings-of-a-string,88,88,35.9869,SUCCESS,15.049,Accepted,TRUE
find-the-n-th-value-after-k-seconds,708,708,62.2645,SUCCESS,51.5724,Accepted,TRUE
find-all-good-indices,68,68,55.3573,SUCCESS,48.8097,Accepted,TRUE
maximum-energy-boost-from-two-drinks,563,563,43.3819,SUCCESS,86.7647,Accepted,TRUE
collecting-chocolates,2564,2564,19.9981,SUCCESS,19.9999,Accepted,TRUE
sum-of-number-and-its-reverse,258,258,58.921,SUCCESS,9.1893,Accepted,TRUE
painting-a-grid-with-three-different-colors,84,84,94.4312,SUCCESS,66.3729,Accepted,TRUE
maximum-number-of-robots-within-budget,82,82,27.3456,SUCCESS,15.9683,Accepted,TRUE
apply-operations-on-array-to-maximize-sum-of-squares,918,918,51.1624,SUCCESS,16.2791,Accepted,TRUE
merge-bsts-to-create-single-bst,475,475,37.1779,SUCCESS,60.2561,Accepted,TRUE
find-the-longest-equal-subarray,1422,1422,63.8137,SUCCESS,33.8522,Accepted,TRUE
intersection-of-multiple-arrays,151,151,100,SUCCESS,24.8261,Accepted,TRUE
find-xor-sum-of-all-pairs-bitwise-and,84,84,23.3083,SUCCESS,37.594,Accepted,TRUE
beautiful-towers-i,785,785,57.6081,SUCCESS,59.7826,Accepted,TRUE
put-marbles-in-bags,103,103,81.2801,SUCCESS,96.9932,Accepted,TRUE
earliest-second-to-mark-indices-i,570,570,68.254,SUCCESS,7.9366,Accepted,TRUE
divide-players-into-teams-of-equal-skill,89,89,88.1702,SUCCESS,70.6624,Accepted,TRUE
find-the-width-of-columns-of-a-grid,50,8,,SUCCESS,,Wrong Answer,TRUE
decode-the-message,69,69,70.2634,SUCCESS,43.7553,Accepted,TRUE
count-prefix-and-suffix-pairs-i,594,594,99.3933,SUCCESS,14.9046,Accepted,TRUE
longest-non-decreasing-subarray-from-two-arrays,2973,2973,99.2518,SUCCESS,84.7881,Accepted,TRUE
check-if-string-is-transformable-with-substring-sort-operations,138,138,36,SUCCESS,90,Accepted,TRUE
find-the-divisibility-array-of-a-string,51,51,59.9055,SUCCESS,83.9622,Accepted,TRUE
design-graph-with-shortest-path-calculator,36,36,93.3736,SUCCESS,30.1206,Accepted,TRUE
fruits-into-baskets-ii,904,471,,SUCCESS,,Wrong Answer,TRUE
faulty-keyboard,3005,3005,59.4988,SUCCESS,84.5594,Accepted,TRUE
count-the-number-of-incremovable-subarrays-i,615,120,,SUCCESS,,Wrong Answer,TRUE
smallest-missing-non-negative-integer-after-operations,1062,1062,63.9336,SUCCESS,50.8197,Accepted,TRUE
sum-multiples,1000,1000,100,SUCCESS,22.9294,Accepted,TRUE
length-of-longest-subarray-with-at-most-k-frequency,993,993,98.1688,SUCCESS,26.4683,Accepted,TRUE
decode-xored-array,76,76,37.1252,SUCCESS,64.8397,Accepted,TRUE
destroy-sequential-targets,45,45,62.8568,SUCCESS,34.2857,Accepted,TRUE
maximum-deletions-on-a-string,129,129,58.75,SUCCESS,73.75,Accepted,TRUE
minimum-difference-in-sums-after-removal-of-elements,110,110,46.1088,SUCCESS,68.8881,Accepted,TRUE
make-array-empty,514,514,62.5,SUCCESS,26.25,Accepted,TRUE
ways-to-split-array-into-good-subarrays,553,553,84.4153,SUCCESS,21.4278,Accepted,TRUE
minimize-length-of-array-using-operations,523,523,44.8277,SUCCESS,41.3793,Accepted,TRUE
maximum-sum-of-almost-unique-subarray,767,767,46.114,SUCCESS,95.8548,Accepted,TRUE
double-a-number-represented-as-a-linked-list,1265,1265,64.9689,SUCCESS,63.1364,Accepted,TRUE
maximum-number-of-distinct-elements-after-operations,633,633,53.7734,SUCCESS,74.5283,Accepted,TRUE
split-array-into-maximum-number-of-subarrays,887,887,66.102,SUCCESS,32.2033,Accepted,TRUE
count-operations-to-obtain-zero,161,161,100,SUCCESS,52.5974,Accepted,TRUE
find-consecutive-integers-from-a-data-stream,38,38,10.2765,SUCCESS,72.3318,Accepted,TRUE
find-first-palindromic-string-in-the-array,266,266,11.8208,SUCCESS,50.6196,Accepted,TRUE
maximum-strong-pair-xor-i,861,861,77.5887,SUCCESS,37.6909,Accepted,TRUE
make-three-strings-equal,1935,1935,27.1551,SUCCESS,94.8276,Accepted,TRUE
smallest-missing-genetic-value-in-each-subtree,68,68,89.5834,SUCCESS,93.7501,Accepted,TRUE
count-the-number-of-incremovable-subarrays-ii,840,124,,SUCCESS,,Wrong Answer,TRUE
maximize-area-of-square-hole-in-grid,524,524,100,SUCCESS,98.9362,Accepted,TRUE
string-compression-iii,744,712,,SUCCESS,,Wrong Answer,TRUE
count-anagrams,41,41,93.4108,SUCCESS,29.4572,Accepted,TRUE
merge-strings-alternately,108,108,43.8002,SUCCESS,94.5559,Accepted,TRUE
count-number-of-pairs-with-absolute-difference-k,237,237,65.489,SUCCESS,17.7918,Accepted,TRUE
append-characters-to-string-to-make-subsequence,86,86,97.7778,SUCCESS,66.0083,Accepted,TRUE
manhattan-distances-of-all-arrangements-of-pieces,919,919,65.625,SUCCESS,9.375,Accepted,TRUE
longest-subsequence-with-limited-sum,57,57,97.7214,SUCCESS,43.4244,Accepted,TRUE
minimize-deviation-in-array,76,76,63.636,SUCCESS,88.1818,Accepted,TRUE
reward-top-k-students,30,30,54.6219,SUCCESS,28.9916,Accepted,TRUE
maximum-value-of-an-ordered-triplet-ii,599,556,,SUCCESS,,Wrong Answer,TRUE
maximum-subarray-with-equal-products,865,84,,SUCCESS,,Wrong Answer,TRUE
find-the-maximum-divisibility-score,160,160,93.151,SUCCESS,85.3882,Accepted,TRUE
min-max-game,96,96,65.3125,SUCCESS,65,Accepted,TRUE
maximum-number-of-groups-with-increasing-length,2027,2027,63.4781,SUCCESS,92.1739,Accepted,TRUE
longest-uploaded-prefix,24,24,86.3632,SUCCESS,59.0908,Accepted,TRUE
build-a-matrix-with-conditions,53,53,52.7919,SUCCESS,96.7005,Accepted,TRUE
maximum-number-of-k-divisible-components,736,736,37.9998,SUCCESS,97.3333,Accepted,TRUE
strange-printer-ii,153,153,61.6869,SUCCESS,9.0906,Accepted,TRUE
count-array-pairs-divisible-by-k,115,21,,SUCCESS,,Wrong Answer,TRUE
minimum-number-of-days-to-disconnect-island,104,104,76.875,SUCCESS,99.375,Accepted,TRUE
