slug,runtime_percentile_analysis,result_analysis,total_testcases,total_correct,runtime_percentile,state,status_msg,memory_percentile,processed,difficulty_x,difficulty_y
maximum-number-of-moves-in-a-grid,22.2815,Accepted,814,814,17.5108,SUCCESS,67.7044,Accepted,TRUE,Medium,Medium
largest-3-same-digit-number-in-string,100,Accepted,141,141,18.555,SUCCESS,41.0509,Accepted,TRUE,Easy,Easy
shift-distance-between-two-strings,,Wrong Answer,741,741,18.7078,SUCCESS,66.9065,Accepted,TRUE,Medium,Medium
minimize-the-total-price-of-the-trips,86.2068,Accepted,407,407,18.8397,SUCCESS,39.1304,Accepted,TRUE,Hard,Hard
number-of-subarrays-that-match-a-pattern-i,82.2356,Accepted,792,792,18.9258,SUCCESS,64.7058,Accepted,TRUE,Medium,Medium
best-position-for-a-service-centre,97.2223,Accepted,56,56,18.936,SUCCESS,100,Accepted,TRUE,Hard,Hard
find-minimum-time-to-finish-all-jobs,19.7,Accepted,,,19.58,,54.21,Accepted,TRUE,Hard,Hard
goal-parser-interpretation,41.89,Accepted,105,105,19.7825,SUCCESS,89.6043,Accepted,TRUE,Easy,Easy
maximum-length-substring-with-two-occurrences,14.2858,Accepted,709,709,19.8541,SUCCESS,36.6424,Accepted,TRUE,Easy,Easy
divide-nodes-into-the-maximum-number-of-groups,23.7761,Accepted,57,57,20.1378,SUCCESS,66.9967,Accepted,TRUE,Hard,Hard
faulty-keyboard,59.4988,Accepted,3005,3005,20.5318,SUCCESS,15.3618,Accepted,TRUE,Easy,Easy
lexicographically-smallest-string-after-operations-with-constraint,88.57,Accepted,,,20.83,,46.88,Accepted,TRUE,Medium,Medium
partition-array-into-two-arrays-to-minimize-sum-difference,23.1331,Accepted,201,201,20.8311,SUCCESS,56.9794,Accepted,TRUE,Hard,Hard
alternating-groups-i,79.4378,Accepted,795,795,20.9427,SUCCESS,55.3228,Accepted,TRUE,Easy,Easy
count-tested-devices-after-test-operations,100,Accepted,520,520,21.4072,SUCCESS,86.217,Accepted,TRUE,Easy,Easy
concatenation-of-array,17.8806,Accepted,92,92,22.2698,SUCCESS,69.8905,Accepted,TRUE,Easy,Easy
maximum-strength-of-k-disjoint-subarrays,37.7356,Accepted,802,802,22.3898,SUCCESS,22.3887,Accepted,TRUE,Hard,Hard
find-closest-number-to-zero,86.5683,Accepted,227,227,22.7052,SUCCESS,45.898,Accepted,TRUE,Easy,Easy
longest-even-odd-subarray-with-threshold,84.6155,Accepted,6873,6873,22.8715,SUCCESS,95.1339,Accepted,TRUE,Easy,Easy
design-memory-allocator,23.9299,Accepted,109,109,23.2312,SUCCESS,29.4051,Accepted,TRUE,Medium,Medium
recover-the-original-array,,Wrong Answer,110,110,23.8622,SUCCESS,52.2726,Accepted,TRUE,Hard,Hard
minimum-deletions-to-make-string-k-special,19.8234,Accepted,,,24.21,,72.63,Accepted,TRUE,Medium,Medium
minimum-operations-to-make-binary-array-elements-equal-to-one-ii,78.8239,Accepted,691,691,24.242,SUCCESS,85.4545,Accepted,TRUE,Medium,Medium
the-two-sneaky-numbers-of-digitville,100,Accepted,706,706,24.9852,SUCCESS,99.1202,Accepted,TRUE,Easy,Easy
maximum-product-difference-between-two-pairs,91.1196,Accepted,96,96,25.1457,SUCCESS,60.1863,Accepted,TRUE,Easy,Easy
longest-alternating-subarray,83.1169,Accepted,2880,2880,25.2741,SUCCESS,76.3736,Accepted,TRUE,Easy,Easy
sum-of-prefix-scores-of-strings,97.1888,Accepted,38,38,25.3375,SUCCESS,10.4066,Accepted,TRUE,Hard,Hard
minimum-number-of-operations-to-make-x-and-y-equal,34.2386,Accepted,948,948,25.3969,SUCCESS,59.7884,Accepted,TRUE,Medium,Medium
min-max-game,65.3125,Accepted,96,96,25.8171,SUCCESS,40.8497,Accepted,TRUE,Easy,Easy
make-three-strings-equal,27.1551,Accepted,1935,1935,25.9385,SUCCESS,92.1502,Accepted,TRUE,Easy,Easy
neighboring-bitwise-xor,28.82,Accepted,1425,1425,26.1015,SUCCESS,25.7626,Accepted,TRUE,Medium,Medium
painting-a-grid-with-three-different-colors,94.4312,Accepted,84,84,26.5343,SUCCESS,82.0956,Accepted,TRUE,Hard,Hard
count-vowel-substrings-of-a-string,35.9869,Accepted,88,88,27.0898,SUCCESS,82.2388,Accepted,TRUE,Easy,Easy
minimum-operations-to-write-the-letter-y-on-a-grid,84.77,Accepted,,,27.35,,8.92,Accepted,TRUE,Medium,Medium
create-sorted-array-through-instructions,20.1385,Accepted,65,65,27.5726,SUCCESS,61.6217,Accepted,TRUE,Hard,Hard
count-integers-with-even-digit-sum,100,Accepted,71,71,27.77,SUCCESS,89.2005,Accepted,TRUE,Easy,Easy
clear-digits,27.5877,Accepted,688,688,27.989,SUCCESS,78.292,Accepted,TRUE,Easy,Easy
count-square-sum-triples,88.9555,Accepted,91,91,28.7265,SUCCESS,81.3285,Accepted,TRUE,Easy,Easy
movement-of-robots,29.2032,Accepted,2567,2567,28.9161,SUCCESS,5.2209,Accepted,TRUE,Medium,Medium
longest-unequal-adjacent-groups-subsequence-ii,88.2839,Accepted,443,443,29.4491,SUCCESS,68.076,Accepted,TRUE,Medium,Medium
count-pairs-whose-sum-is-less-than-target,100,Accepted,707,707,29.4609,SUCCESS,56.4174,Accepted,TRUE,Easy,Easy
count-ways-to-group-overlapping-ranges,19.3938,Accepted,32,32,30.058,SUCCESS,10.9827,Accepted,TRUE,Medium,Medium
minimum-penalty-for-a-shop,76.3443,Accepted,42,42,30.2923,SUCCESS,12.0389,Accepted,TRUE,Medium,Medium
maximize-amount-after-two-days-of-conversions,21.1696,Accepted,767,767,30.5033,SUCCESS,44.6541,Accepted,TRUE,Medium,Medium
total-distance-traveled,45.283,Accepted,10000,10000,30.6929,SUCCESS,64.6864,Accepted,TRUE,Easy,Easy
most-frequent-prime,85.5071,Accepted,974,974,30.8265,SUCCESS,66.9173,Accepted,TRUE,Medium,Medium
construct-the-minimum-bitwise-array-i,,Wrong Answer,658,658,30.8748,SUCCESS,73.6111,Accepted,TRUE,Easy,Easy
maximum-strictly-increasing-cells-in-a-matrix,87.5,Accepted,566,566,31.0792,SUCCESS,43.2425,Accepted,TRUE,Hard,Hard
maximize-number-of-nice-divisors,6.5789,Accepted,213,213,31.1111,SUCCESS,41.1111,Accepted,TRUE,Hard,Hard
count-subtrees-with-max-distance-between-cities,42.2517,Accepted,31,31,31.2473,SUCCESS,85.7142,Accepted,TRUE,Hard,Hard
minimum-number-of-operations-to-make-array-empty,28.7833,Accepted,748,748,31.549,SUCCESS,31.5492,Accepted,TRUE,Medium,Medium
sum-of-total-strength-of-wizards,21.8762,Accepted,82,82,31.6374,SUCCESS,79.6612,Accepted,TRUE,Hard,Hard
the-score-of-students-solving-math-expression,23.5288,Accepted,274,274,31.708,SUCCESS,78.0488,Accepted,TRUE,Hard,Hard
difference-between-element-sum-and-digit-sum-of-an-array,91.0527,Accepted,142,142,31.8396,SUCCESS,72.0822,Accepted,TRUE,Easy,Easy
make-number-of-distinct-characters-equal,,Wrong Answer,99,99,32.5306,SUCCESS,59.0361,Accepted,TRUE,Medium,Medium
count-pairs-of-similar-strings,83.7885,Accepted,225,225,32.5692,SUCCESS,27.6759,Accepted,TRUE,Easy,Easy
count-symmetric-integers,80.1422,Accepted,1967,1967,32.5729,SUCCESS,49.6624,Accepted,TRUE,Easy,Easy
two-furthest-houses-with-different-colors,100,Accepted,126,126,32.7749,SUCCESS,57.1728,Accepted,TRUE,Easy,Easy
second-minimum-time-to-reach-destination,30.5955,Accepted,77,77,32.9211,SUCCESS,43.4782,Accepted,TRUE,Hard,Hard
minimum-index-of-a-valid-split,35.9449,Accepted,917,917,33.1755,SUCCESS,46.9682,Accepted,TRUE,Medium,Medium
last-day-where-you-can-still-cross,29.4425,Accepted,118,118,33.25,SUCCESS,66.75,Accepted,TRUE,Hard,Hard
maximize-greatness-of-an-array,46.8217,Accepted,1072,1072,33.2884,SUCCESS,54.8994,Accepted,TRUE,Medium,Medium
build-array-where-you-can-find-the-maximum-exactly-k-comparisons,92.0865,Accepted,31,31,33.3315,SUCCESS,71.2118,Accepted,TRUE,Hard,Hard
difference-between-ones-and-zeros-in-row-and-column,80.7188,Accepted,85,85,33.4737,SUCCESS,68.6197,Accepted,TRUE,Medium,Medium
average-value-of-even-numbers-that-are-divisible-by-three,43.2171,Accepted,181,181,33.5272,SUCCESS,27.7132,Accepted,TRUE,Easy,Easy
minimum-deletions-to-make-array-divisible,,Wrong Answer,49,49,34.0785,SUCCESS,80.4469,Accepted,TRUE,Hard,Hard
maximum-number-of-darts-inside-of-a-circular-dartboard,52.0544,Accepted,65,65,34.0899,SUCCESS,79.5454,Accepted,TRUE,Hard,Hard
difference-of-number-of-distinct-values-on-diagonals,40.19,Accepted,709,709,34.375,SUCCESS,70.3125,Accepted,TRUE,Medium,Medium
maximum-sum-of-distinct-subarrays-with-length-k,20.9962,Accepted,93,93,35.0124,SUCCESS,63.1607,Accepted,TRUE,Medium,Medium
minimum-time-to-remove-all-cars-containing-illegal-goods,20.3684,Accepted,89,89,35.1352,SUCCESS,21.6217,Accepted,TRUE,Hard,Hard
minimum-sum-of-mountain-triplets-i,72.14,Accepted,,,35.21,,58.88,Accepted,TRUE,Easy,Easy
check-if-an-original-string-exists-given-two-encoded-strings,52.2374,Accepted,215,215,35.2517,SUCCESS,65.4231,Accepted,TRUE,Hard,Hard
minimum-seconds-to-equalize-a-circular-array,86.842,Accepted,579,579,35.3835,SUCCESS,58.4616,Accepted,TRUE,Medium,Medium
maximum-subsequence-score,88.4683,Accepted,28,28,35.4399,SUCCESS,86.3186,Accepted,TRUE,Medium,Medium
maximum-square-area-by-removing-fences-from-a-field,70.643,Accepted,648,648,35.7118,SUCCESS,51.7852,Accepted,TRUE,Medium,Medium
count-days-without-meetings,57.9029,Accepted,578,578,35.78,SUCCESS,26.551,Accepted,TRUE,Medium,Medium
maximum-value-of-an-ordered-triplet-i,64.5163,Accepted,564,564,35.7936,SUCCESS,14.9158,Accepted,TRUE,Easy,Easy
maximum-sum-queries,67.19,Accepted,1415,1415,36.3644,SUCCESS,18.1824,Accepted,TRUE,Hard,Hard
count-palindromic-subsequences,70.7864,Accepted,63,63,36.4987,SUCCESS,18.4922,Accepted,TRUE,Hard,Hard
insert-greatest-common-divisors-in-linked-list,83.9808,Accepted,582,582,36.5944,SUCCESS,95.2941,Accepted,TRUE,Medium,Medium
count-substrings-that-satisfy-k-constraint-i,46.8691,Accepted,780,780,36.6224,SUCCESS,18.9752,Accepted,TRUE,Easy,Easy
match-substring-after-replacement,24.7188,Accepted,116,116,37.0784,SUCCESS,41.573,Accepted,TRUE,Hard,Hard
count-subarrays-of-length-three-with-a-condition,94.186,Accepted,1691,1691,37.081,SUCCESS,93.2328,Accepted,TRUE,Easy,Easy
find-the-longest-balanced-substring-of-a-binary-string,35.3294,Accepted,1848,1848,37.1727,SUCCESS,31.9371,Accepted,TRUE,Easy,Easy
find-the-number-of-winning-players,94.7369,Accepted,839,839,37.4046,SUCCESS,72.1375,Accepted,TRUE,Easy,Easy
count-pairs-that-form-a-complete-day-ii,46.2582,Accepted,714,714,37.4183,SUCCESS,6.4514,Accepted,TRUE,Medium,Medium
find-score-of-an-array-after-marking-all-elements,63.9313,Accepted,1044,1044,37.7982,SUCCESS,72.7426,Accepted,TRUE,Medium,Medium
maximum-palindromes-after-operations,54.9291,Accepted,507,507,38.0432,SUCCESS,65.2174,Accepted,TRUE,Medium,Medium
find-valid-pair-of-adjacent-digits-in-string,77.6614,Accepted,826,826,38.1985,SUCCESS,86.9474,Accepted,TRUE,Easy,Easy
minimum-operations-to-make-the-integer-zero,100,Accepted,542,542,38.3333,SUCCESS,3.3333,Accepted,TRUE,Medium,Medium
find-the-largest-area-of-square-inside-two-rectangles,67.1875,Accepted,,,38.39,,44.64,Accepted,TRUE,Medium,Medium
sliding-subarray-beauty,92.6071,Accepted,717,717,39.2565,SUCCESS,97.7779,Accepted,TRUE,Medium,Medium
minimum-operations-to-make-the-array-increasing,87.4505,Accepted,94,94,39.2724,SUCCESS,9.4103,Accepted,TRUE,Easy,Easy
cycle-length-queries-in-a-tree,83.9512,Accepted,27,27,39.3049,SUCCESS,43.2837,Accepted,TRUE,Hard,Hard
check-if-string-is-transformable-with-substring-sort-operations,36,Accepted,138,138,39.3163,SUCCESS,57.265,Accepted,TRUE,Hard,Hard
find-the-length-of-the-longest-common-prefix,53.6702,Accepted,718,718,39.8676,SUCCESS,56.1186,Accepted,TRUE,Medium,Medium
minimum-number-of-removals-to-make-mountain-array,95.7806,Accepted,91,91,39.9028,SUCCESS,80.7692,Accepted,TRUE,Hard,Hard
number-of-ways-to-earn-points,60.1058,Accepted,63,63,40.9648,SUCCESS,97.5904,Accepted,TRUE,Hard,Hard
transformed-array,7.3717,Accepted,695,695,41.4635,SUCCESS,29.8103,Accepted,TRUE,Easy,Easy
hash-divided-string,75.08,Accepted,,,41.83,,54.9,Accepted,TRUE,Medium,Medium
find-indices-with-index-and-value-difference-i,10.3773,Accepted,525,525,42.0212,SUCCESS,64.0958,Accepted,TRUE,Easy,Easy
distribute-repeating-integers,46.0522,Accepted,109,109,42.2519,SUCCESS,76.0562,Accepted,TRUE,Hard,Hard
defuse-the-bomb,100,Accepted,74,74,42.4908,SUCCESS,53.4799,Accepted,TRUE,Easy,Easy
minimum-time-to-complete-all-tasks,70.7302,Accepted,1059,1059,42.633,SUCCESS,54.2105,Accepted,TRUE,Hard,Hard
distribute-elements-into-two-arrays-ii,16.8832,Accepted,784,784,42.8564,SUCCESS,84.2857,Accepted,TRUE,Hard,Hard
find-all-k-distant-indices-in-an-array,84.0546,Accepted,87,87,42.9271,SUCCESS,27.317,Accepted,TRUE,Easy,Easy
maximum-number-that-sum-of-the-prices-is-less-than-or-equal-to-k,49.9991,Accepted,932,932,43.1368,SUCCESS,9.8039,Accepted,TRUE,Medium,Medium
find-the-n-th-value-after-k-seconds,62.2645,Accepted,708,708,44.2409,SUCCESS,47.2727,Accepted,TRUE,Medium,Medium
paths-in-matrix-whose-sum-is-divisible-by-k,,Wrong Answer,88,88,44.2541,SUCCESS,67.8163,Accepted,TRUE,Hard,Hard
find-if-digit-game-can-be-won,100,Accepted,897,897,44.455,SUCCESS,34.5023,Accepted,TRUE,Easy,Easy
count-pairs-of-connectable-servers-in-a-weighted-tree-network,39.1284,Accepted,716,716,44.5632,SUCCESS,100,Accepted,TRUE,Medium,Medium
maximum-number-of-achievable-transfer-requests,41.48,Accepted,117,117,44.6174,SUCCESS,72.3077,Accepted,TRUE,Hard,Hard
find-special-substring-of-length-k,22.9298,Accepted,812,812,44.8231,SUCCESS,86.1074,Accepted,TRUE,Easy,Easy
count-of-substrings-containing-every-vowel-and-k-consonants-i,42.105,Accepted,815,815,45.0004,SUCCESS,74.9999,Accepted,TRUE,Medium,Medium
minimum-moves-to-spread-stones-over-grid,37.5816,Accepted,,,45.04,,55.86,Accepted,TRUE,Medium,Medium
number-of-beautiful-integers-in-the-range,59.2102,Accepted,,,45.16,,43.01,Accepted,TRUE,Hard,Hard
maximum-employees-to-be-invited-to-a-meeting,38.0323,Accepted,99,99,45.2166,SUCCESS,21.3033,Accepted,TRUE,Hard,Hard
the-number-of-beautiful-subsets,44.2631,Accepted,1308,1308,45.3423,SUCCESS,51.447,Accepted,TRUE,Medium,Medium
minimum-element-after-replacement-with-digit-sum,58.62,Accepted,835,835,45.4428,SUCCESS,21.4102,Accepted,TRUE,Easy,Easy
shortest-impossible-sequence-of-rolls,41.4142,Accepted,65,65,45.4546,SUCCESS,58.4416,Accepted,TRUE,Hard,Hard
make-array-empty,62.5,Accepted,514,514,45.9448,SUCCESS,68.9187,Accepted,TRUE,Hard,Hard
sum-of-matrix-after-queries,98.8636,Accepted,2688,2688,46.1535,SUCCESS,38.4615,Accepted,TRUE,Medium,Medium
find-x-sum-of-all-k-long-subarrays-i,66.29,Accepted,906,906,46.1958,SUCCESS,97.0271,Accepted,TRUE,Easy,Easy
remove-max-number-of-edges-to-keep-graph-fully-traversable,26.58,Accepted,,,46.29,,89.71,Accepted,TRUE,Hard,Hard
high-access-employees,61.0666,Accepted,1143,1143,46.3942,SUCCESS,21.6345,Accepted,TRUE,Medium,Medium
find-the-maximum-number-of-marked-indices,,Wrong Answer,68,68,46.7067,SUCCESS,32.3354,Accepted,TRUE,Medium,Medium
minimum-levels-to-gain-more-points,23.5303,Accepted,855,855,46.9236,SUCCESS,76.1539,Accepted,TRUE,Medium,Medium
find-the-punishment-number-of-an-integer,12.677,Accepted,216,216,46.9596,SUCCESS,72.694,Accepted,TRUE,Medium,Medium
maximum-number-of-distinct-elements-after-operations,53.7734,Accepted,633,633,46.9678,SUCCESS,79.2929,Accepted,TRUE,Medium,Medium
right-triangles,64.3272,Accepted,637,637,46.9966,SUCCESS,81.4208,Accepted,TRUE,Medium,Medium
count-the-number-of-ideal-arrays,,Runtime Error,47,47,47.0484,SUCCESS,18.2068,Accepted,TRUE,Hard,Hard
count-k-subsequences-of-a-string-with-maximum-beauty,20.7545,Accepted,611,611,47.1696,SUCCESS,83.0188,Accepted,TRUE,Hard,Hard
minimum-time-to-visit-disappearing-nodes,91.06,Accepted,534,534,47.2205,SUCCESS,24.4438,Accepted,TRUE,Medium,Medium
find-the-first-player-to-win-k-games-in-a-row,75.3519,Accepted,684,684,47.4574,SUCCESS,85.5932,Accepted,TRUE,Medium,Medium
find-the-maximum-factor-score-of-array,93.6709,Accepted,752,752,47.7268,SUCCESS,24.9999,Accepted,TRUE,Medium,Medium
stone-game-viii,42.0283,Accepted,78,78,47.7277,SUCCESS,93.1819,Accepted,TRUE,Hard,Hard
maximum-tastiness-of-candy-basket,43.3213,Accepted,40,40,47.7342,SUCCESS,78.3919,Accepted,TRUE,Medium,Medium
minimum-space-wasted-from-packaging,31.9154,Accepted,42,42,48.052,SUCCESS,11.6884,Accepted,TRUE,Hard,Hard
sorting-three-groups,44.2,Accepted,,,48.17,,45.12,Accepted,TRUE,Medium,Medium
subarray-with-elements-greater-than-varying-threshold,46.8363,Accepted,68,68,48.2131,SUCCESS,69.6427,Accepted,TRUE,Hard,Hard
minimize-maximum-of-array,59.4523,Accepted,68,68,48.2681,SUCCESS,97.2773,Accepted,TRUE,Medium,Medium
minimum-number-of-pushes-to-type-word-ii,42.2941,Accepted,877,877,48.5202,SUCCESS,92.0119,Accepted,TRUE,Medium,Medium
find-the-longest-equal-subarray,63.8137,Accepted,1422,1422,48.9968,SUCCESS,16.8676,Accepted,TRUE,Medium,Medium
fruits-into-baskets-ii,,Wrong Answer,904,904,49.1796,SUCCESS,56.4251,Accepted,TRUE,Easy,Easy
count-special-quadruplets,77.3607,Accepted,211,211,49.2186,SUCCESS,57.7244,Accepted,TRUE,Easy,Easy
number-of-valid-words-in-a-sentence,39.9316,Accepted,244,244,49.4648,SUCCESS,97.6445,Accepted,TRUE,Easy,Easy
minimum-increment-operations-to-make-array-beautiful,76.1905,Accepted,570,570,49.495,SUCCESS,39.394,Accepted,TRUE,Medium,Medium
booking-concert-tickets-in-groups,50.9432,Accepted,97,97,49.9996,SUCCESS,67.4417,Accepted,TRUE,Hard,Hard
relocate-marbles,45.2631,Accepted,2129,2129,50,SUCCESS,55.8333,Accepted,TRUE,Medium,Medium
minimize-the-maximum-difference-of-pairs,39.0175,Accepted,1582,1582,50.1835,SUCCESS,38.5456,Accepted,TRUE,Medium,Medium
maximum-possible-number-by-binary-concatenation,33.3333,Accepted,752,752,50.4425,SUCCESS,14.1592,Accepted,TRUE,Medium,Medium
minimum-number-of-operations-to-sort-a-binary-tree-by-level,27.7776,Accepted,146,146,50.5088,SUCCESS,16.0894,Accepted,TRUE,Medium,Medium
maximum-beauty-of-an-array-after-applying-operation,93.3623,Accepted,622,622,50.8043,SUCCESS,69.7676,Accepted,TRUE,Medium,Medium
find-the-longest-valid-obstacle-course-at-each-position,83.3332,Accepted,78,78,50.9711,SUCCESS,64.5634,Accepted,TRUE,Hard,Hard
count-paths-that-can-form-a-palindrome-in-a-tree,21.4271,Accepted,666,666,51.1116,SUCCESS,20.0006,Accepted,TRUE,Hard,Hard
partition-string-into-minimum-beautiful-substrings,,Wrong Answer,,,51.2,,51.2,Accepted,TRUE,Medium,Medium
determine-the-minimum-sum-of-a-k-avoiding-array,53.3334,Accepted,2502,2502,51.8517,SUCCESS,59.8765,Accepted,TRUE,Medium,Medium
check-if-every-row-and-column-contains-all-numbers,50.9324,Accepted,227,227,52.2631,SUCCESS,76.3374,Accepted,TRUE,Easy,Easy
time-needed-to-buy-tickets,56.5537,Accepted,65,65,52.3086,SUCCESS,36.5127,Accepted,TRUE,Easy,Easy
convert-1d-array-into-2d-array,62.896,Accepted,107,107,52.4815,SUCCESS,94.665,Accepted,TRUE,Easy,Easy
mice-and-cheese,52.75,Accepted,564,564,52.7206,SUCCESS,28.0338,Accepted,TRUE,Medium,Medium
neither-minimum-nor-maximum,68.218,Accepted,9558,9558,53.0665,SUCCESS,9.1999,Accepted,TRUE,Easy,Easy
