slug,code,radon
maximize-score-of-numbers-in-ranges,"```python
from typing import List

class Solution:
    def maxPossibleScore(self, start: List[int], d: int) -> int:
        intervals = [(s, s + d) for s in start]
        intervals.sort()
        n = len(intervals)
        low = 0
        high = intervals[-1][1] - intervals[0][0]
        answer = 0
        
        def is_possible(mid):
            prev = intervals[0][0]
            count = 1
            for i in range(1, n):
                current_start, current_end = intervals[i]
                target = prev + mid
                if target <= current_end:
                    prev = max(target, current_start)
                    count += 1
                else:
                    return False
            return count == n
        
        while low <= high:
            mid = (low + high) // 2
            if is_possible(mid):
                answer = mid
                low = mid + 1
            else:
                high = mid - 1
        return answer
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 3}, {'name': 'maxPossibleScore', 'complexity': 4, 'lineno': 4}], 'maintainability_index': 51.70434732021675, 'raw_metrics': {'loc': 30, 'lloc': 30, 'sloc': 30, 'comments': 0}}"
minimum-fuel-cost-to-report-to-the-capital,"```python
from typing import List
from collections import defaultdict, deque

class Solution:
    def minimumFuelCost(self, roads: List[List[int]], seats: int) -> int:
        if not roads:
            return 0
        
        graph = defaultdict(list)
        for a, b in roads:
            graph[a].append(b)
            graph[b].append(a)
        
        parent = {}
        children = defaultdict(list)
        queue = deque([0])
        parent[0] = -1
        
        while queue:
            node = queue.popleft()
            for neighbor in graph[node]:
                if neighbor != parent[node]:
                    parent[neighbor] = node
                    children[node].append(neighbor)
                    queue.append(neighbor)
        
        fuel = 0
        
        def dfs(node):
            nonlocal fuel
            total_people = 1
            for child in children[node]:
                people = dfs(child)
                total_people += people
                fuel += (people + seats - 1) // seats
            return total_people
        
        dfs(0)
        return fuel
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 4}, {'name': 'minimumFuelCost', 'complexity': 6, 'lineno': 5}], 'maintainability_index': 52.19186367531368, 'raw_metrics': {'loc': 33, 'lloc': 33, 'sloc': 33, 'comments': 0}}"
string-compression-ii,"```python
class Solution:
    def getLengthOfOptimalCompression(self, s: str, k: int) -> int:
        memo = {}
        
        def dp(i, last_char, last_count, left):
            if (i, last_char, last_count, left) in memo:
                return memo[(i, last_char, last_count, left)]
            if left < 0:
                return float('inf')
            if i == len(s):
                return 0
            res = float('inf')
            res = min(res, dp(i + 1, last_char, last_count, left - 1))
            if s[i] == last_char:
                carry = 0
                if last_count == 1 or last_count == 9 or last_count == 99:
                    carry = 1
                res = min(res, carry + dp(i + 1, last_char, last_count + 1, left))
            else:
                res = min(res, 1 + dp(i + 1, s[i], 1, left))
            memo[(i, last_char, last_count, left)] = res
            return res
        
        return dp(0, """", 0, k)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 2, 'lineno': 1}, {'name': 'getLengthOfOptimalCompression', 'complexity': 1, 'lineno': 2}], 'maintainability_index': 54.174099984510676, 'raw_metrics': {'loc': 22, 'lloc': 22, 'sloc': 22, 'comments': 0}}"
distribute-elements-into-two-arrays-ii,"```python
import bisect

class Solution:
    def resultArray(self, nums: List[int]) -> List[int]:
        arr1 = [nums[0]]
        arr1_sorted = [nums[0]]
        arr2 = [nums[1]]
        arr2_sorted = [nums[1]]
        
        for num in nums[2:]:
            cnt1 = len(arr1_sorted) - bisect.bisect_right(arr1_sorted, num)
            cnt2 = len(arr2_sorted) - bisect.bisect_right(arr2_sorted, num)
            
            if cnt1 > cnt2:
                bisect.insort(arr1_sorted, num)
                arr1.append(num)
            elif cnt1 < cnt2:
                bisect.insort(arr2_sorted, num)
                arr2.append(num)
            else:
                if len(arr1) <= len(arr2):
                    bisect.insort(arr1_sorted, num)
                    arr1.append(num)
                else:
                    bisect.insort(arr2_sorted, num)
                    arr2.append(num)
        
        return arr1 + arr2
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 3}, {'name': 'resultArray', 'complexity': 5, 'lineno': 4}], 'maintainability_index': 55.76492459982643, 'raw_metrics': {'loc': 25, 'lloc': 25, 'sloc': 25, 'comments': 0}}"
maximum-number-of-non-overlapping-substrings,"```python
class Solution:
    def maxNumOfSubstrings(self, s: str) -> List[str]:
        first = {}
        last = {}
        for i, c in enumerate(s):
            if c not in first:
                first[c] = i
            last[c] = i
        
        intervals = []
        for c in first:
            start = first[c]
            end = last[c]
            left, right = start, end
            changed = True
            while changed:
                changed = False
                new_left, new_right = left, right
                for i in range(left, right + 1):
                    char = s[i]
                    new_left = min(new_left, first[char])
                    new_right = max(new_right, last[char])
                if new_left != left or new_right != right:
                    changed = True
                    left, right = new_left, new_right
            intervals.append((left, right))
        
        intervals = list(set(intervals))
        intervals.sort(key=lambda x: x[1])
        
        res = []
        prev_end = -1
        for start, end in intervals:
            if start > prev_end:
                res.append(s[start:end+1])
                prev_end = end
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 11, 'lineno': 2}, {'name': 'maxNumOfSubstrings', 'complexity': 10, 'lineno': 3}], 'maintainability_index': 50.434789491426095, 'raw_metrics': {'loc': 35, 'lloc': 37, 'sloc': 35, 'comments': 0}}"
maximum-number-of-operations-with-the-same-score-ii,"```python
from typing import List

class Solution:
    def maxOperations(self, nums: List[int]) -> int:
        n = len(nums)
        if n < 2:
            return 0
        
        def helper(start, end, target, memo):
            if start >= end:
                return 0
            if (start, end) in memo:
                return memo[(start, end)]
            
            res = 0
            if nums[start] + nums[start + 1] == target:
                res = max(res, 1 + helper(start + 2, end, target, memo))
            if nums[end] + nums[end - 1] == target:
                res = max(res, 1 + helper(start, end - 2, target, memo))
            if nums[start] + nums[end] == target:
                res = max(res, 1 + helper(start + 1, end - 1, target, memo))
            
            memo[(start, end)] = res
            return res
        
        options = [
            nums[0] + nums[1],
            nums[-1] + nums[-2],
            nums[0] + nums[-1]
        ]
        
        max_ops = 0
        for target in options:
            memo = {}
            current_ops = helper(0, n - 1, target, memo)
            if current_ops > max_ops:
                max_ops = current_ops
        
        return max_ops
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 5, 'lineno': 3}, {'name': 'maxOperations', 'complexity': 4, 'lineno': 4}], 'maintainability_index': 49.25622018675944, 'raw_metrics': {'loc': 33, 'lloc': 29, 'sloc': 33, 'comments': 0}}"
type-of-triangle,"```python
from typing import List

class Solution:
    def triangleType(self, nums: List[int]) -> str:
        a, b, c = sorted(nums)
        if a + b <= c:
            return ""none""
        if a == b == c:
            return ""equilateral""
        if a == b or b == c or a == c:
            return ""isosceles""
        return ""scalene""
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 3}, {'name': 'triangleType', 'complexity': 6, 'lineno': 4}], 'maintainability_index': 62.07888302771768, 'raw_metrics': {'loc': 12, 'lloc': 12, 'sloc': 12, 'comments': 0}}"
range-product-queries-of-powers,"```python
class Solution:
    def productQueries(self, n: int, queries: List[List[int]]) -> List[int]:
        MOD = 10**9 + 7
        powers = []
        current_power = 1
        while current_power <= n:
            if n & current_power:
                powers.append(current_power)
            current_power <<= 1
        
        prefix = [1] * (len(powers) + 1)
        for i in range(len(powers)):
            prefix[i+1] = (prefix[i] * powers[i]) % MOD
        
        answers = []
        for left, right in queries:
            inv = pow(prefix[left], MOD-2, MOD)
            product = (prefix[right+1] * inv) % MOD
            answers.append(product)
        return answers
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 2}, {'name': 'productQueries', 'complexity': 5, 'lineno': 3}], 'maintainability_index': 55.15756842998667, 'raw_metrics': {'loc': 19, 'lloc': 19, 'sloc': 19, 'comments': 0}}"
remove-letter-to-equalize-frequency,"```python
class Solution:
    def equalFrequency(self, word: str) -> bool:
        from collections import defaultdict
        
        for i in range(len(word)):
            temp_word = word[:i] + word[i+1:]
            freq = defaultdict(int)
            for c in temp_word:
                freq[c] += 1
            frequencies = list(freq.values())
            if all(f == frequencies[0] for f in frequencies):
                return True
        return False
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 1}, {'name': 'equalFrequency', 'complexity': 5, 'lineno': 2}], 'maintainability_index': 63.828669357124156, 'raw_metrics': {'loc': 12, 'lloc': 13, 'sloc': 12, 'comments': 0}}"
prime-subtraction-operation,"```python
class Solution:
    def primeSubOperation(self, nums: List[int]) -> bool:
        def is_prime(n):
            if n <= 1:
                return False
            if n == 2:
                return True
            if n % 2 == 0:
                return False
            for i in range(3, int(n**0.5) + 1, 2):
                if n % i == 0:
                    return False
            return True

        def get_primes_less_than(n):
            primes = []
            for p in range(2, n):
                if is_prime(p):
                    primes.append(p)
            return primes

        n = len(nums)
        if n == 1:
            return True
        
        prev = 0
        for i in range(n):
            if nums[i] <= prev:
                return False
            primes = get_primes_less_than(nums[i] - prev)
            max_p = 0
            for p in primes:
                if p < nums[i] - prev and (nums[i] - p) > prev:
                    if p > max_p:
                        max_p = p
            if max_p > 0:
                nums[i] -= max_p
            prev = nums[i]
        return True
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 10, 'lineno': 2}, {'name': 'primeSubOperation', 'complexity': 9, 'lineno': 3}], 'maintainability_index': 47.230537985699364, 'raw_metrics': {'loc': 37, 'lloc': 37, 'sloc': 37, 'comments': 0}}"
find-the-minimum-possible-sum-of-a-beautiful-array,"```python
class Solution:
    def minimumPossibleSum(self, n: int, target: int) -> int:
        mod = 10**9 + 7
        m = target // 2
        if n <= m:
            return (n * (n + 1) // 2) % mod
        else:
            return (m * (m + 1) // 2 + (target + (target + (n - m) - 1)) * (n - m) // 2) % mod
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 3, 'lineno': 1}, {'name': 'minimumPossibleSum', 'complexity': 2, 'lineno': 2}], 'maintainability_index': 62.57966872820126, 'raw_metrics': {'loc': 8, 'lloc': 8, 'sloc': 8, 'comments': 0}}"
number-of-students-unable-to-eat-lunch,"```python
from typing import List

class Solution:
    def countStudents(self, students: List[int], sandwiches: List[int]) -> int:
        from collections import deque
        
        student_queue = deque(students)
        sandwich_stack = sandwiches.copy()
        
        while student_queue and sandwich_stack:
            if student_queue[0] == sandwich_stack[0]:
                student_queue.popleft()
                sandwich_stack.pop(0)
            else:
                if sandwich_stack[0] not in student_queue:
                    break
                student_queue.append(student_queue.popleft())
        
        return len(student_queue)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 3}, {'name': 'countStudents', 'complexity': 5, 'lineno': 4}], 'maintainability_index': 62.90392455935266, 'raw_metrics': {'loc': 16, 'lloc': 16, 'sloc': 16, 'comments': 0}}"
maximum-sum-queries,"```python
import bisect
from typing import List

class Solution:
    def maximumSumQueries(self, nums1: List[int], nums2: List[int], queries: List[List[int]]) -> List[int]:
        pairs = sorted([(a, b) for a, b in zip(nums1, nums2)], key=lambda x: -x[0] - x[1])
        
        
        
        
        
        
        
        stack = []
        for a, b in pairs:
            sum_ab = a + b
            if not stack:
                stack.append((b, sum_ab))
            else:
                if b > stack[-1][0]:
                    stack.append((b, sum_ab))
                else:
                    idx = bisect.bisect_left(stack, (b, 0))
                    if idx == len(stack):
                        if sum_ab > stack[-1][1]:
                            stack.append((b, sum_ab))
                    else:
                        if sum_ab > stack[idx][1]:
                            stack.insert(idx, (b, sum_ab))
        
        
        
        
        
        
        
        all_y = nums2.copy()
        for _, y in queries:
            all_y.append(y)
        sorted_unique_y = sorted(set(all_y))
        y_to_compressed = {y: i for i, y in enumerate(sorted_unique_y)}
        
        
        
        m = len(sorted_unique_y)
        max_val = [ -1 ] * (4 * m)
        
        def update(node, l, r, y, val):
            if l == r:
                max_val[node] = max(max_val[node], val)
                return
            mid = (l + r) // 2
            if y <= sorted_unique_y[mid]:
                update(2 * node + 1, l, mid, y, val)
            else:
                update(2 * node + 2, mid + 1, r, y, val)
            max_val[node] = max(max_val[2 * node + 1], max_val[2 * node + 2])
        
        def query(node, l, r, y_low):
            if y_low <= sorted_unique_y[l]:
                return max_val[node]
            if y_low > sorted_unique_y[r]:
                return -1
            mid = (l + r) // 2
            left = query(2 * node + 1, l, mid, y_low)
            right = query(2 * node + 2, mid + 1, r, y_low)
            return max(left, right)
        
        indexed_queries = [ (xi, yi, i) for i, (xi, yi) in enumerate(queries) ]
        indexed_queries.sort(reverse=True, key=lambda q: q[0])
        pairs.sort(reverse=True, key=lambda p: p[0])
        
        res = [ -1 ] * len(queries)
        ptr = 0
        n = len(pairs)
        
        for xi, yi, idx in indexed_queries:
            while ptr < n and pairs[ptr][0] >= xi:
                a, b = pairs[ptr]
                sum_ab = a + b
                compressed_y = y_to_compressed[b]
                update(0, 0, m - 1, b, sum_ab)
                ptr += 1
            if yi > sorted_unique_y[-1]:
                res[idx] = -1
            else:
                res[idx] = query(0, 0, m - 1, yi)
        
        return res
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 16, 'lineno': 4}, {'name': 'maximumSumQueries', 'complexity': 15, 'lineno': 5}], 'maintainability_index': 37.233800579493945, 'raw_metrics': {'loc': 66, 'lloc': 70, 'sloc': 66, 'comments': 0}}"
longest-unequal-adjacent-groups-subsequence-i,"```python
from typing import List

class Solution:
    def getLongestSubsequence(self, words: List[str], groups: List[int]) -> List[str]:
        if not words:
            return []
        
        n = len(words)
        dp = [1] * n
        prev = [-1] * n
        
        for i in range(1, n):
            for j in range(i):
                if groups[i] != groups[j] and dp[j] + 1 > dp[i]:
                    dp[i] = dp[j] + 1
                    prev[i] = j
        
        max_len = max(dp)
        max_index = dp.index(max_len)
        
        subsequence = []
        current = max_index
        while current != -1:
            subsequence.append(words[current])
            current = prev[current]
        
        return subsequence[::-1]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 8, 'lineno': 3}, {'name': 'getLongestSubsequence', 'complexity': 7, 'lineno': 4}], 'maintainability_index': 54.13395096669208, 'raw_metrics': {'loc': 22, 'lloc': 23, 'sloc': 22, 'comments': 0}}"
minimum-number-of-pushes-to-type-word-ii,"```python
class Solution:
    def minimumPushes(self, word: str) -> int:
        from collections import defaultdict
        
        freq = defaultdict(int)
        for c in word:
            freq[c] += 1
        
        sorted_freq = sorted(freq.values(), reverse=True)
        
        total_pushes = 0
        for i, count in enumerate(sorted_freq):
            if i < 8:
                total_pushes += count * 1
            elif i < 16:
                total_pushes += count * 2
            elif i < 24:
                total_pushes += count * 3
            else:
                total_pushes += count * 4
        
        return total_pushes
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 7, 'lineno': 1}, {'name': 'minimumPushes', 'complexity': 6, 'lineno': 2}], 'maintainability_index': 56.436613555623964, 'raw_metrics': {'loc': 18, 'lloc': 18, 'sloc': 18, 'comments': 0}}"
form-smallest-number-from-two-digit-arrays,"```python
class Solution:
    def minNumber(self, nums1: List[int], nums2: List[int]) -> int:
        common_digits = set(nums1) & set(nums2)
        if common_digits:
            return min(common_digits)
        
        min1 = min(nums1)
        min2 = min(nums2)
        
        return min(min1 * 10 + min2, min2 * 10 + min1)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 3, 'lineno': 2}, {'name': 'minNumber', 'complexity': 2, 'lineno': 3}], 'maintainability_index': 66.89489175386416, 'raw_metrics': {'loc': 9, 'lloc': 9, 'sloc': 9, 'comments': 0}}"
longest-palindromic-subsequence-after-at-most-k-operations,"```python
class Solution:
    def longestPalindromicSubsequence(self, s: str, k: int) -> int:
        n = len(s)
        memo = {}

        def dp(i, j, k_left):
            if (i, j, k_left) in memo:
                return memo[(i, j, k_left)]
            if i > j:
                return 0
            if i == j:
                return 1
            if s[i] == s[j]:
                res = 2 + dp(i + 1, j - 1, k_left)
            else:
                if k_left > 0:
                    cost_i = (ord(s[j]) - ord(s[i])) % 26
                    cost_i = min(cost_i, 26 - cost_i)
                    if cost_i <= k_left:
                        option1 = 2 + dp(i + 1, j - 1, k_left - cost_i)
                    else:
                        option1 = 0
                    cost_j = (ord(s[i]) - ord(s[j])) % 26
                    cost_j = min(cost_j, 26 - cost_j)
                    if cost_j <= k_left:
                        option2 = 2 + dp(i + 1, j - 1, k_left - cost_j)
                    else:
                        option2 = 0
                    option3 = max(dp(i + 1, j, k_left), dp(i, j - 1, k_left))
                    res = max(option1, option2, option3)
                else:
                    res = max(dp(i + 1, j, k_left), dp(i, j - 1, k_left))
            memo[(i, j, k_left)] = res
            return res

        return dp(0, n - 1, k)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 2, 'lineno': 1}, {'name': 'longestPalindromicSubsequence', 'complexity': 1, 'lineno': 2}], 'maintainability_index': 47.87661725626125, 'raw_metrics': {'loc': 34, 'lloc': 34, 'sloc': 34, 'comments': 0}}"
find-indices-with-index-and-value-difference-i,"```python
from typing import List

class Solution:
    def findIndices(self, nums: List[int], indexDifference: int, valueDifference: int) -> List[int]:
        n = len(nums)
        for i in range(n):
            for j in range(n):
                if abs(i - j) >= indexDifference and abs(nums[i] - nums[j]) >= valueDifference:
                    return [i, j]
        return [-1, -1]
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 3}, {'name': 'findIndices', 'complexity': 5, 'lineno': 4}], 'maintainability_index': 64.28115869675968, 'raw_metrics': {'loc': 10, 'lloc': 10, 'sloc': 10, 'comments': 0}}"
clear-digits,"```python
class Solution:
    def clearDigits(self, s: str) -> str:
        stack = []
        for char in s:
            if char.isdigit():
                if stack and not stack[-1].isdigit():
                    stack.pop()
            else:
                stack.append(char)
        return ''.join(stack)
```","{'cyclomatic_complexity': [{'name': 'Solution', 'complexity': 6, 'lineno': 1}, {'name': 'clearDigits', 'complexity': 5, 'lineno': 2}], 'maintainability_index': 68.32264708560068, 'raw_metrics': {'loc': 10, 'lloc': 10, 'sloc': 10, 'comments': 0}}"
